time,throttle_reference,angle_reference
2025/05/07 10:35:29.670676121,13,-45
2025/05/07 10:35:29.762621784,13,-45
2025/05/07 10:35:29.914200947,13,-45
2025/05/07 10:35:30.107035647,13,-45
2025/05/07 10:35:30.265291050,13,-45
2025/05/07 10:35:30.400428564,13,-45
2025/05/07 10:35:30.715395850,12,-45
2025/05/07 10:35:30.862477743,12,-45
2025/05/07 10:35:30.942896308,12,-45
2025/05/07 10:35:31.41139534,12,-45
2025/05/07 10:35:31.145718449,12,-45
2025/05/07 10:35:31.240630579,12,-45
2025/05/07 10:35:31.428607733,12,-45
2025/05/07 10:35:31.562688974,12,-45
2025/05/07 10:35:31.981036472,12,-45
2025/05/07 10:35:32.140945765,12,-45
2025/05/07 10:35:32.234916618,12,-45
2025/05/07 10:35:32.555984086,12,-45
2025/05/07 10:35:32.597333324,12,-45
2025/05/07 10:35:32.797511131,12,-45
2025/05/07 10:35:32.873159899,12,-45
2025/05/07 10:35:33.1285200,12,-45
2025/05/07 10:35:33.151686692,11,-45
2025/05/07 10:35:33.321696122,11,-45
2025/05/07 10:35:33.467607279,11,-45
2025/05/07 10:35:33.585373860,11,-45
2025/05/07 10:35:33.818329437,11,-45
2025/05/07 10:35:33.891930623,11,-45
2025/05/07 10:35:34.65087161,11,-45
2025/05/07 10:35:34.170536208,11,-45
2025/05/07 10:35:34.260809355,11,-45
2025/05/07 10:35:34.378565979,11,-45
2025/05/07 10:35:34.486279504,11,-45
2025/05/07 10:35:34.569780845,11,-45
2025/05/07 10:35:34.677124294,11,-45
2025/05/07 10:35:34.773974490,11,-45
2025/05/07 10:35:34.865488449,11,-45
2025/05/07 10:35:34.966928115,11,-45
2025/05/07 10:35:35.107086601,11,-45
2025/05/07 10:35:35.199770343,11,-45
2025/05/07 10:35:35.297719884,11,-45
2025/05/07 10:35:35.400936213,10,-45
2025/05/07 10:35:35.498728115,10,-45
2025/05/07 10:35:35.600215167,10,-45
2025/05/07 10:35:35.713872512,10,-45
2025/05/07 10:35:35.806679693,10,-45
2025/05/07 10:35:35.890553376,10,-45
2025/05/07 10:35:35.989111853,10,-45
2025/05/07 10:35:36.103726098,10,-45
2025/05/07 10:35:36.199691157,10,-45
2025/05/07 10:35:36.345033453,10,-45
2025/05/07 10:35:36.441021541,10,-45
2025/05/07 10:35:36.531900366,10,-45
2025/05/07 10:35:36.620719336,10,-45
2025/05/07 10:35:36.706779109,10,-45
2025/05/07 10:35:36.815220796,10,-45
2025/05/07 10:35:36.905996689,10,-45
2025/05/07 10:35:36.998414794,10,-45
2025/05/07 10:35:37.139420400,10,-45
2025/05/07 10:35:37.246410561,10,-45
2025/05/07 10:35:37.325707602,10,-45
2025/05/07 10:35:37.392692021,10,-45
2025/05/07 10:35:37.563958834,10,-45
2025/05/07 10:35:37.719726176,10,-45
2025/05/07 10:35:37.868696385,9,-45
2025/05/07 10:35:37.991527388,12,-44
2025/05/07 10:35:38.159394322,12,-44
2025/05/07 10:35:38.276948892,12,-44
2025/05/07 10:35:38.509122352,11,-44
2025/05/07 10:35:38.662805755,22,-68
2025/05/07 10:35:38.816291908,34,-76
2025/05/07 10:35:38.898732220,47,-79
2025/05/07 10:35:39.28863664,46,-79
2025/05/07 10:35:39.120062538,46,-79
2025/05/07 10:35:39.314100112,45,-79
2025/05/07 10:35:39.448232245,45,-79
2025/05/07 10:35:39.633952004,45,-79
2025/05/07 10:35:39.857032486,44,-79
2025/05/07 10:35:40.97352045,44,-79
2025/05/07 10:35:40.262892871,43,-79
2025/05/07 10:35:40.360026766,43,-79
2025/05/07 10:35:40.530935435,43,-79
2025/05/07 10:35:40.687197522,42,-79
2025/05/07 10:35:40.845444309,42,-79
2025/05/07 10:35:41.422653721,42,-79
2025/05/07 10:35:41.533132006,54,-81
2025/05/07 10:35:41.630999163,66,-83
2025/05/07 10:35:41.728784612,77,-84
2025/05/07 10:35:41.806302994,77,-84
2025/05/07 10:35:41.883067853,76,-84
2025/05/07 10:35:41.985601202,75,-84
2025/05/07 10:35:42.80830062,75,-84
2025/05/07 10:35:42.185478351,74,-84
2025/05/07 10:35:42.276987944,73,-84
2025/05/07 10:35:42.384184385,73,-84
2025/05/07 10:35:42.483389282,72,-84
2025/05/07 10:35:42.596673815,71,-84
2025/05/07 10:35:42.711944902,71,-84
2025/05/07 10:35:42.833909996,70,-84
2025/05/07 10:35:42.935881819,69,-84
2025/05/07 10:35:43.8762895,69,-84
2025/05/07 10:35:43.93480783,68,-83
2025/05/07 10:35:43.184437868,67,-83
2025/05/07 10:35:43.312349775,67,-83
2025/05/07 10:35:43.401414957,66,-83
2025/05/07 10:35:43.491030063,66,-83
2025/05/07 10:35:43.591655232,67,-73
2025/05/07 10:35:43.686982258,72,-63
2025/05/07 10:35:43.784229395,88,-59
2025/05/07 10:35:43.892668340,102,-56
2025/05/07 10:35:44.55665472,108,-50
2025/05/07 10:35:44.335927992,116,-46
2025/05/07 10:35:44.595853914,124,-42
2025/05/07 10:35:44.851612736,133,-39
2025/05/07 10:35:45.84510043,142,-36
2025/05/07 10:35:45.161649764,150,-33
2025/05/07 10:35:45.243357418,159,-30
2025/05/07 10:35:45.318454044,167,-28
2025/05/07 10:35:45.402546774,176,-26
2025/05/07 10:35:45.490573120,185,-25
2025/05/07 10:35:45.589387175,194,-23
2025/05/07 10:35:45.683141696,203,-22
