time,transforms_0
2025/05/07 10:35:35.58757687,"{'header': {'stamp': {'secs': 1746606935, 'nsecs': 36979998}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 288.35371064527163, 'y': 988.8155087850816, 'z': -40.80706844746878}, 'rotation': {'x': 0.0008948620437719403, 'y': -0.016181490086828006, 'z': 0.26359006378854055, 'w': 0.9644986453450548}}}"
2025/05/07 10:35:35.440598783,"{'header': {'stamp': {'secs': 1746606933, 'nsecs': 976185385}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 288.4153658095197, 'y': 988.7858839567475, 'z': -40.8107366404069}, 'rotation': {'x': -0.004214612779811255, 'y': -0.004507254857963384, 'z': 0.2359100377745413, 'w': 0.9717553065303921}}}"
2025/05/07 10:35:35.786797631,"{'header': {'stamp': {'secs': 1746606935, 'nsecs': 768916614}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 288.282490298388, 'y': 988.8211270652198, 'z': -40.80507842450001}, 'rotation': {'x': 0.0003891097754581481, 'y': -0.014441720061478437, 'z': 0.2691650636041771, 'w': 0.9629856976353324}}}"
2025/05/07 10:35:36.75240259,"{'header': {'stamp': {'secs': 1746606932, 'nsecs': 655158093}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 288.4411902167064, 'y': 988.7554355370311, 'z': -40.812924326387076}, 'rotation': {'x': -0.004754326783703324, 'y': -0.004569322045950975, 'z': 0.22180754724623244, 'w': 0.9750681666721996}}}"
2025/05/07 10:35:36.141188059,"{'header': {'stamp': {'secs': 1746606930, 'nsecs': 268681123}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 288.5230811880545, 'y': 988.7103375538344, 'z': -40.81916561352005}, 'rotation': {'x': -0.0029120542949276304, 'y': -0.005375066080543352, 'z': 0.20703630983828017, 'w': 0.9783141596710951}}}"
2025/05/07 10:35:36.493656488,"{'header': {'stamp': {'secs': 1746606936, 'nsecs': 476917951}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 288.2285128345431, 'y': 988.8173833747766, 'z': -40.807199300753716}, 'rotation': {'x': 0.001074596175545258, 'y': -0.015107273491534635, 'z': 0.2700833495366665, 'w': 0.9627178194225795}}}"
2025/05/07 10:35:37.314406124,"{'header': {'stamp': {'secs': 1746606937, 'nsecs': 304044139}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 288.128350535435, 'y': 988.8154634254789, 'z': -40.81573283099232}, 'rotation': {'x': 0.0004563219922990645, 'y': -0.01425608748287001, 'z': 0.30541788244335216, 'w': 0.9521115863299527}}}"
2025/05/07 10:35:37.594366003,"{'header': {'stamp': {'secs': 1746606931, 'nsecs': 491479796}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 288.4639167837766, 'y': 988.7289702686434, 'z': -40.81648061616739}, 'rotation': {'x': -0.0023539533108905848, 'y': -0.004196356798321658, 'z': 0.21850137801128564, 'w': 0.9758247779702054}}}"
2025/05/07 10:35:38.920949383,"{'header': {'stamp': {'secs': 1746606938, 'nsecs': 527226295}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 288.07895399991685, 'y': 988.8406111630626, 'z': -40.821633544004406}, 'rotation': {'x': 0.0006609222004720148, 'y': -0.014788698324372206, 'z': 0.3160895552529107, 'w': 0.9486138575014246}}}"
2025/05/07 10:35:39.955189226,"{'header': {'stamp': {'secs': 1746606939, 'nsecs': 766089060}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 288.03726426353063, 'y': 988.9122009619637, 'z': -40.818689635250855}, 'rotation': {'x': 0.0013105167203522933, 'y': -0.014696743670604397, 'z': 0.3509389411238955, 'w': 0.9362820877674876}}}"
