time,transforms_0
2025/05/07 10:53:14.170694151,"{'header': {'stamp': {'secs': 1746607993, 'nsecs': 964013084}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 262.18420939844685, 'y': 1014.6879901641737, 'z': -40.76190720165664}, 'rotation': {'x': -0.0004327679832673731, 'y': -0.01053944572272529, 'z': -0.3784281543550828, 'w': 0.9255705617548217}}}"
2025/05/07 10:53:15.222338824,"{'header': {'stamp': {'secs': 1746607995, 'nsecs': 198405287}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 261.66052158314113, 'y': 1014.6594862991617, 'z': -40.7812663906705}, 'rotation': {'x': -0.0016727690023401556, 'y': -0.009651278095831519, 'z': -0.5443320817899565, 'w': 0.8388126366532599}}}"
2025/05/07 10:53:15.293280982,"{'header': {'stamp': {'secs': 1746607988, 'nsecs': 387258705}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 263.830435289229, 'y': 1015.1556527161404, 'z': -40.7443935368238}, 'rotation': {'x': 0.0035250267818369985, 'y': -0.006535260767061227, 'z': 0.1557240266330352, 'w': 0.9877726925169007}}}"
2025/05/07 10:53:15.772528665,"{'header': {'stamp': {'secs': 1746607990, 'nsecs': 557262428}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 263.3604806363465, 'y': 1014.9863997073946, 'z': -40.75053853002676}, 'rotation': {'x': 0.00171650888425749, 'y': -0.008459509723866093, 'z': -0.013952646656774948, 'w': 0.9998653979130159}}}"
2025/05/07 10:53:16.37332442,"{'header': {'stamp': {'secs': 1746607992, 'nsecs': 359035404}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 262.7438474118418, 'y': 1014.7919312767469, 'z': -40.75514120226112}, 'rotation': {'x': 0.0015759010726350386, 'y': -0.009012567663779492, 'z': -0.2567261607533348, 'w': 0.9664408769007901}}}"
2025/05/07 10:53:16.377428667,"{'header': {'stamp': {'secs': 1746607986, 'nsecs': 629384974}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 264.21788411648083, 'y': 1015.2508465787528, 'z': -40.73628267900684}, 'rotation': {'x': 0.0039925024831621875, 'y': -0.006650657082634587, 'z': 0.25028234326032905, 'w': 0.9681418167481508}}}"
2025/05/07 10:53:16.456306106,"{'header': {'stamp': {'secs': 1746607996, 'nsecs': 433147516}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 261.5528973829363, 'y': 1014.6322571292575, 'z': -40.80399388854091}, 'rotation': {'x': -0.0035610078475303954, 'y': -0.010053643836815701, 'z': -0.6294571632322362, 'w': 0.7769619830624522}}}"
2025/05/07 10:53:17.927045159,"{'header': {'stamp': {'secs': 1746607997, 'nsecs': 890126248}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 261.54164702390904, 'y': 1014.5399363177972, 'z': -40.78937190415622}, 'rotation': {'x': -0.0057339528107693775, 'y': -0.0046171223306521545, 'z': -0.7266358745543194, 'w': 0.6869833402472195}}}"
2025/05/07 10:53:19.234532604,"{'header': {'stamp': {'secs': 1746607999, 'nsecs': 203208679}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 261.4333982727193, 'y': 1014.1743747274289, 'z': -40.72464368471538}, 'rotation': {'x': -0.0038533372947942386, 'y': -0.0033861075568559352, 'z': -0.81632067082087, 'w': 0.5775761841158886}}}"
2025/05/07 10:53:20.478981837,"{'header': {'stamp': {'secs': 1746608000, 'nsecs': 460112211}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 261.2371550190941, 'y': 1013.6674356489476, 'z': -40.685494988858174}, 'rotation': {'x': -0.003377215796655085, 'y': -0.0051524436749367745, 'z': -0.8045028507676225, 'w': 0.5939168374818212}}}"
2025/05/07 10:53:21.692184954,"{'header': {'stamp': {'secs': 1746608001, 'nsecs': 682383413}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 261.07333273030736, 'y': 1013.1981543529546, 'z': -40.73493098413654}, 'rotation': {'x': -0.000650979263662861, 'y': -0.006021938123527323, 'z': -0.7614078739291767, 'w': 0.6482448318389322}}}"
2025/05/07 10:53:22.894274544,"{'header': {'stamp': {'secs': 1746608002, 'nsecs': 857941553}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 260.921010124743, 'y': 1012.618319447161, 'z': -40.78564060260961}, 'rotation': {'x': -0.004980190174059871, 'y': -0.006961201648908838, 'z': -0.7127163576015406, 'w': 0.701400123313809}}}"
2025/05/07 10:53:23.905210448,"{'header': {'stamp': {'secs': 1746608003, 'nsecs': 900194956}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 260.79044324607975, 'y': 1011.9862278255865, 'z': -40.78402404818839}, 'rotation': {'x': -0.005440286619509125, 'y': -0.00828794876778538, 'z': -0.66799425303876, 'w': 0.7441003904675156}}}"
2025/05/07 10:53:25.75590966,"{'header': {'stamp': {'secs': 1746608005, 'nsecs': 64697797}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 260.7017598666031, 'y': 1011.3407211824925, 'z': -40.75461002208573}, 'rotation': {'x': -0.0030567749070360742, 'y': -0.011205580242324617, 'z': -0.6032849674395964, 'w': 0.797441119556802}}}"
2025/05/07 10:53:26.98118618,"{'header': {'stamp': {'secs': 1746608006, 'nsecs': 89723560}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 260.6890030064162, 'y': 1010.9228071495351, 'z': -40.74112567679048}, 'rotation': {'x': -0.0013776410551744026, 'y': -0.010623349530177942, 'z': -0.5388534418484586, 'w': 0.8423314162240138}}}"
2025/05/07 10:53:27.280355128,"{'header': {'stamp': {'secs': 1746608007, 'nsecs': 268659081}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 260.74131040452465, 'y': 1010.5353552175408, 'z': -40.74992599118171}, 'rotation': {'x': 0.0008618228338080581, 'y': -0.010252363641659944, 'z': -0.4377666315010727, 'w': 0.8990297673855779}}}"
2025/05/07 10:53:28.489194336,"{'header': {'stamp': {'secs': 1746608008, 'nsecs': 481801647}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 260.87188051640726, 'y': 1010.1774626519018, 'z': -40.7787664095387}, 'rotation': {'x': 0.0017686170876419994, 'y': -0.011653220947175618, 'z': -0.33268300580877863, 'w': 0.942965053478224}}}"
2025/05/07 10:53:29.706062703,"{'header': {'stamp': {'secs': 1746608009, 'nsecs': 699035293}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 261.1082697423456, 'y': 1009.7902046936001, 'z': -40.8116765715734}, 'rotation': {'x': 0.0039708121347871075, 'y': -0.011333290159787473, 'z': -0.23082240019957648, 'w': 0.9729217896374049}}}"
2025/05/07 10:53:30.908631171,"{'header': {'stamp': {'secs': 1746608010, 'nsecs': 902500405}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 261.4257559189575, 'y': 1009.481691499236, 'z': -40.80163771084631}, 'rotation': {'x': 0.0039959173265552645, 'y': -0.009595109085194294, 'z': -0.15082991272001753, 'w': 0.9885050854473307}}}"
2025/05/07 10:53:32.100658955,"{'header': {'stamp': {'secs': 1746608012, 'nsecs': 78988325}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 261.80140490690115, 'y': 1009.3375289784426, 'z': -40.7530603813085}, 'rotation': {'x': 0.004900108891338878, 'y': -0.009816886712813302, 'z': -0.08328964466337042, 'w': 0.9964649781903879}}}"
2025/05/07 10:53:33.275918130,"{'header': {'stamp': {'secs': 1746608013, 'nsecs': 267421671}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 262.25523995824165, 'y': 1009.3572184682669, 'z': -40.714157905229285}, 'rotation': {'x': 0.006027517482291191, 'y': -0.010307117293962742, 'z': -0.048375851441597506, 'w': 0.998757833192506}}}"
2025/05/07 10:53:34.417377850,"{'header': {'stamp': {'secs': 1746608014, 'nsecs': 409565678}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 262.7544372391227, 'y': 1009.4729765423033, 'z': -40.72130059885316}, 'rotation': {'x': 0.008038811379700363, 'y': -0.009063030626901131, 'z': -0.05168585315028448, 'w': 0.9985899116111602}}}"
2025/05/07 10:53:35.533585918,"{'header': {'stamp': {'secs': 1746608015, 'nsecs': 471342647}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 263.26020006858477, 'y': 1009.5972886693353, 'z': -40.761406474700266}, 'rotation': {'x': 0.005069588326162364, 'y': -0.008002045015219585, 'z': -0.07597898237530697, 'w': 0.9970644215831745}}}"
2025/05/07 10:53:36.649913300,"{'header': {'stamp': {'secs': 1746608016, 'nsecs': 614384457}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 263.84571073114125, 'y': 1009.7401222378503, 'z': -40.79196338042841}, 'rotation': {'x': 0.0026899170672121542, 'y': -0.009430892176201649, 'z': -0.1086818379968364, 'w': 0.9940282092116711}}}"
2025/05/07 10:53:37.894542859,"{'header': {'stamp': {'secs': 1746608017, 'nsecs': 846678654}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 264.51390202988256, 'y': 1009.9252897577599, 'z': -40.77457524453365}, 'rotation': {'x': -0.0012549611725417762, 'y': -0.009012766260013221, 'z': -0.17029876834628505, 'w': 0.9853504577644119}}}"
2025/05/07 10:53:39.1232948,"{'header': {'stamp': {'secs': 1746608018, 'nsecs': 995468664}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 265.2177346276274, 'y': 1010.1382882031268, 'z': -40.72853017315336}, 'rotation': {'x': -0.0015758263523170009, 'y': -0.010248211108703583, 'z': -0.24073367891838238, 'w': 0.9705358245705308}}}"
2025/05/07 10:53:40.150600937,"{'header': {'stamp': {'secs': 1746608020, 'nsecs': 139240581}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 265.9476958382243, 'y': 1010.3231975760658, 'z': -40.71121013104168}, 'rotation': {'x': -0.0028524448878332535, 'y': -0.00859982255337512, 'z': -0.3240015645420941, 'w': 0.9460131567713462}}}"
2025/05/07 10:53:41.277267418,"{'header': {'stamp': {'secs': 1746608021, 'nsecs': 268577097}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 266.679761537494, 'y': 1010.3969353196056, 'z': -40.74417886814691}, 'rotation': {'x': -0.0024846681927766347, 'y': -0.008263081761969687, 'z': -0.40562536814598327, 'w': 0.9139986918044262}}}"
2025/05/07 10:53:42.479172255,"{'header': {'stamp': {'secs': 1746608022, 'nsecs': 473327002}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 267.42565445862556, 'y': 1010.318333882714, 'z': -40.78916767204148}, 'rotation': {'x': -0.0029719304270435657, 'y': -0.007292744816677699, 'z': -0.5039734806179544, 'w': 0.8636832256889097}}}"
2025/05/07 10:53:43.656540115,"{'header': {'stamp': {'secs': 1746608023, 'nsecs': 644241999}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 268.0901368285306, 'y': 1010.1127663246739, 'z': -40.799791823855685}, 'rotation': {'x': -0.003913971607040703, 'y': -0.008245862827499416, 'z': -0.5692776444974808, 'w': 0.822094672192862}}}"
2025/05/07 10:53:44.740248719,"{'header': {'stamp': {'secs': 1746608024, 'nsecs': 729136881}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 268.65513475509056, 'y': 1009.8358603458943, 'z': -40.78353543732905}, 'rotation': {'x': -0.0034428588419039355, 'y': -0.008569834682220761, 'z': -0.6109935723003721, 'w': 0.7915816819912801}}}"
2025/05/07 10:53:46.33965935,"{'header': {'stamp': {'secs': 1746608025, 'nsecs': 977342430}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 269.2494757650561, 'y': 1009.4172549943572, 'z': -40.74864760117413}, 'rotation': {'x': -0.004491165264977521, 'y': -0.008118536307704134, 'z': -0.6591875098098879, 'w': 0.7519213693687806}}}"
2025/05/07 10:53:47.165438188,"{'header': {'stamp': {'secs': 1746608027, 'nsecs': 153443673}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 269.77459398595545, 'y': 1008.867219497022, 'z': -40.711310233557334}, 'rotation': {'x': -0.00423047897354539, 'y': -0.00682223376256089, 'z': -0.6684004403598248, 'w': 0.7437583018030357}}}"
