time,header_stamp_secs,header_stamp_nsecs,header_frame_id,sentence
2025/05/07 10:53:04.218250630,1746607984,217509377,hemisphere,"$GPHDT,22.723,T*03"
2025/05/07 10:53:04.235209342,1746607984,234380021,hemisphere,"$GPGGA,085304.20,6326.47677442,N,01025.16665169,E,4,13,0.8,2.122,M,40.936,M,1.2,0415*41"
2025/05/07 10:53:04.242220649,1746607984,241591854,hemisphere,"$GPRMC,085304.20,A,6326.47677442,N,01025.16665169,E,1.12,184.82,070525,4.7,E,D,S*48"
2025/05/07 10:53:04.267830927,1746607984,267170245,hemisphere,"$GPHDT,22.861,T*0A"
2025/05/07 10:53:04.284838528,1746607984,284096650,hemisphere,"$GPGGA,085304.25,6326.47676131,N,01025.16664544,E,4,13,0.8,2.123,M,40.936,M,1.3,0415*4E"
2025/05/07 10:53:04.291529358,1746607984,291294234,hemisphere,"$GPRMC,085304.25,A,6326.47676131,N,01025.16664544,E,1.10,191.42,070525,4.7,E,D,S*4D"
2025/05/07 10:53:04.318265289,1746607984,317592318,hemisphere,"$GPHDT,22.994,T*01"
2025/05/07 10:53:04.335682060,1746607984,334488257,hemisphere,"$GPGGA,085304.30,6326.47674384,N,01025.16664124,E,4,13,0.8,2.119,M,40.936,M,1.3,0415*4F"
2025/05/07 10:53:04.342478950,1746607984,342184891,hemisphere,"$GPRMC,085304.30,A,6326.47674384,N,01025.16664124,E,1.09,190.55,070525,4.7,E,D,S*4A"
2025/05/07 10:53:04.367543256,1746607984,367279557,hemisphere,"$GPHDT,23.114,T*00"
2025/05/07 10:53:04.387116203,1746607984,386313603,hemisphere,"$GPGGA,085304.35,6326.47673012,N,01025.16663668,E,4,13,0.8,2.120,M,40.936,M,1.3,0415*43"
2025/05/07 10:53:04.393831509,1746607984,393580693,hemisphere,"$GPRMC,085304.35,A,6326.47673012,N,01025.16663668,E,1.08,187.83,070525,4.7,E,D,S*40"
2025/05/07 10:53:04.418047798,1746607984,416997371,hemisphere,"$GPHDT,23.237,T*02"
2025/05/07 10:53:04.434218659,1746607984,433905653,hemisphere,"$GPGGA,085304.40,6326.47671702,N,01025.16662923,E,4,13,0.8,2.127,M,40.936,M,0.4,0415*45"
2025/05/07 10:53:04.441326696,1746607984,441093163,hemisphere,"$GPRMC,085304.40,A,6326.47671702,N,01025.16662923,E,1.07,195.23,070525,4.7,E,D,S*41"
2025/05/07 10:53:04.467677387,1746607984,467409426,hemisphere,"$GPHDT,23.345,T*06"
2025/05/07 10:53:04.484884109,1746607984,484377392,hemisphere,"$GPGGA,085304.45,6326.47670372,N,01025.16662498,E,4,13,0.8,2.132,M,40.936,M,0.4,0415*4B"
2025/05/07 10:53:04.823539130,1746607984,491535418,hemisphere,"$GPRMC,085304.45,A,6326.47670372,N,01025.16662498,E,1.06,189.59,070525,4.7,E,D,S*4A"
2025/05/07 10:53:04.823657493,1746607984,517104166,hemisphere,"$GPHDT,23.456,T*03"
2025/05/07 10:53:04.824797623,1746607984,667643941,hemisphere,"$GPHDT,23.764,T*01"
2025/05/07 10:53:04.824969655,1746607984,683983165,hemisphere,"$GPGGA,085304.65,6326.47665156,N,01025.16660432,E,4,13,0.8,2.140,M,40.936,M,0.6,0415*4C"
2025/05/07 10:53:04.825121166,1746607984,693113522,hemisphere,"$GPRMC,085304.65,A,6326.47665156,N,01025.16660432,E,1.03,191.23,070525,4.7,E,D,S*4B"
2025/05/07 10:53:04.825230310,1746607984,717383982,hemisphere,"$GPHDT,23.865,T*0F"
2025/05/07 10:53:04.825313969,1746607984,733614714,hemisphere,"$GPGGA,085304.70,6326.47663729,N,01025.16659787,E,4,13,0.8,2.133,M,40.936,M,0.7,0415*42"
2025/05/07 10:53:04.825395224,1746607984,740769361,hemisphere,"$GPRMC,085304.70,A,6326.47663729,N,01025.16659787,E,1.02,190.15,070525,4.7,E,D,S*45"
2025/05/07 10:53:04.825468418,1746607984,767038598,hemisphere,"$GPHDT,23.964,T*0F"
2025/05/07 10:53:04.825513240,1746607984,783245458,hemisphere,"$GPGGA,085304.75,6326.47662485,N,01025.16659197,E,4,13,0.8,2.135,M,40.936,M,0.7,0415*42"
2025/05/07 10:53:04.825551034,1746607984,791588965,hemisphere,"$GPRMC,085304.75,A,6326.47662485,N,01025.16659197,E,1.02,190.46,070525,4.7,E,D,S*45"
2025/05/07 10:53:04.825593874,1746607984,817940943,hemisphere,"$GPHDT,24.060,T*05"
2025/05/07 10:53:04.834726533,1746607984,834363082,hemisphere,"$GPGGA,085304.80,6326.47660998,N,01025.16658939,E,4,13,0.8,2.133,M,40.936,M,0.8,0415*4F"
2025/05/07 10:53:04.842019647,1746607984,841747456,hemisphere,"$GPRMC,085304.80,A,6326.47660998,N,01025.16658939,E,1.02,188.00,070525,4.7,E,D,S*4A"
2025/05/07 10:53:04.867664900,1746607984,867198042,hemisphere,"$GPHDT,24.151,T*06"
2025/05/07 10:53:04.883712698,1746607984,883358385,hemisphere,"$GPGGA,085304.85,6326.47659878,N,01025.16658350,E,4,13,0.8,2.141,M,40.936,M,0.8,0415*4F"
2025/05/07 10:53:04.891218599,1746607984,890580286,hemisphere,"$GPRMC,085304.85,A,6326.47659878,N,01025.16658350,E,1.00,191.28,070525,4.7,E,D,S*4F"
2025/05/07 10:53:04.920547774,1746607984,918414480,hemisphere,"$GPHDT,24.234,T*06"
