time,north,east,heading
2025/04/09 11:15:45.331783529,6.742844370961658e-05,4.423452200086329e-06,-8.30460061647556e-06
2025/04/09 11:15:45.397527151,6.685960880545886e-05,4.386135395861855e-06,-8.234541952228638e-06
2025/04/09 11:15:45.497016667,6.629517324867643e-05,4.3491071984647065e-06,-8.165025119003117e-06
2025/04/09 11:15:45.600962291,6.573512332224178e-05,4.312366707637237e-06,-8.096048427488768e-06
2025/04/09 11:15:45.697601134,6.517944422768133e-05,4.2759129527780705e-06,-8.027610054924101e-06
2025/04/09 11:15:45.797486315,6.462812014973488e-05,4.239744897205355e-06,-7.95970805363835e-06
2025/04/09 11:15:45.897100732,6.40811343266993e-05,4.203861440998934e-06,-7.892340359150342e-06
2025/04/09 11:15:45.996964321,6.353846911082465e-05,4.16826142597415e-06,-7.825504797846502e-06
2025/04/09 11:15:46.97341649,6.300010602586818e-05,4.132943639234553e-06,-7.759199094259206e-06
2025/04/09 11:15:46.197761587,6.246602582606935e-05,4.097906818856244e-06,-7.69342087796559e-06
2025/04/09 11:15:46.297143960,6.19362085473089e-05,4.063149656730046e-06,-7.628167690125909e-06
2025/04/09 11:15:46.397160241,6.141063355684687e-05,4.028670797850962e-06,-7.5634369896796445e-06
2025/04/09 11:15:46.497062221,6.08892796030606e-05,3.994468847423603e-06,-7.499226159216548e-06
2025/04/09 11:15:46.597066956,6.0372124859498314e-05,3.960542374414897e-06,-7.435532510539054e-06
2025/04/09 11:15:46.697109340,5.9859146967511746e-05,3.926889911554097e-06,-7.372353289931597e-06
2025/04/09 11:15:46.797289042,5.935032307604652e-05,3.8935099603065715e-06,-7.309685683151617e-06
2025/04/09 11:15:46.897265616,5.88456298842747e-05,3.860400992294897e-06,-7.24752682015631e-06
2025/04/09 11:15:46.997037446,5.834504367072705e-05,3.827561450719938e-06,-7.185873779578451e-06
2025/04/09 11:15:47.97682795,5.7848540333793976e-05,3.7949897546241095e-06,-7.124723592963954e-06
2025/04/09 11:15:47.198522910,5.735609542085777e-05,3.7626842996019125e-06,-7.064073248783239e-06
2025/04/09 11:15:47.297502139,5.6867684163109205e-05,3.7306434613526536e-06,-7.003919696227784e-06
2025/04/09 11:15:47.397231408,5.6383281498995445e-05,3.6988655956804424e-06,-6.944259848802791e-06
2025/04/09 11:15:47.497020523,5.590286210548393e-05,3.6673490413363626e-06,-6.885090587726226e-06
2025/04/09 11:15:47.597062998,5.542640042435246e-05,3.636092121439558e-06,-6.82640876514404e-06
2025/04/09 11:15:47.697038858,5.4953870684926556e-05,3.6050931456088596e-06,-6.7682112071709435e-06
2025/04/09 11:15:47.797235551,5.448524692965898e-05,3.57435041067333e-06,-6.71049471676548e-06
2025/04/09 11:15:47.897014722,5.402050303402498e-05,3.543862202803891e-06,-6.65325607644786e-06
2025/04/09 11:15:47.997240636,5.3559612730680694e-05,3.513626799644951e-06,-6.596492050868543e-06
2025/04/09 11:15:48.97084734,5.310254962225295e-05,3.483642468182777e-06,-6.540199389235081e-06
2025/04/09 11:15:48.197009567,5.2649287209760955e-05,3.4539074704298377e-06,-6.484374827604508e-06
2025/04/09 11:15:48.297455693,5.219979890185337e-05,3.4244200627142596e-06,-6.42901509104804e-06
2025/04/09 11:15:48.396912479,5.175405803612458e-05,3.395178494969284e-06,-6.3741168956946226e-06
2025/04/09 11:15:48.497096141,5.1312037890483366e-05,3.3661810142859825e-06,-6.319676950659474e-06
2025/04/09 11:15:48.597016115,5.087371170446923e-05,3.3374258649132546e-06,-6.265691959863503e-06
2025/04/09 11:15:48.697115758,5.0439052687068314e-05,3.3089112911000005e-06,-6.21215862374915e-06
2025/04/09 11:15:48.797054246,5.000803403305591e-05,3.2806355321213207e-06,-6.1590736408979465e-06
2025/04/09 11:15:48.896936295,0.05,-0.00034124832219148974,-1.2060635012292523e-05
2025/04/09 11:15:48.997907893,0.05,-0.0005630597316162778,-1.9900047770282663e-05
2025/04/09 11:15:49.97182469,0.05,-0.0007012653021035932,-2.4784604950261135e-05
2025/04/09 11:15:49.196921227,0.05,-0.0007812027215763352,-2.7609808701890656e-05
2025/04/09 11:15:49.296946422,0.05,-0.00082077686294042,-2.9008465468472455e-05
2025/04/09 11:15:49.397699531,0.05,-0.0008326283105304811,-2.9427327553500933e-05
2025/04/09 11:15:49.497065056,0.05,-0.0008256698093525472,-2.9181395376016836e-05
2025/04/09 11:15:49.597294305,0.05,-0.0008061748440347572,-2.8492390783228006e-05
2025/04/09 11:15:49.697356269,0.05,-0.0007785488722589662,-2.7516014517652887e-05
2025/04/09 11:15:49.797312762,0.05,-0.0007458756994509486,-2.6361256570718478e-05
2025/04/09 11:15:49.898017809,0.05,-0.0007103045286228849,-2.5104075566700194e-05
2025/04/09 11:15:49.998425612,0.05,-0.0006733241209971652,-2.3797088337834036e-05
2025/04/09 11:15:50.97010503,0.05,-0.0006359569704798673,-2.247643257331574e-05
2025/04/09 11:15:50.197168425,0.05,-0.0005988968061508615,-2.1166626527682874e-05
2025/04/09 11:15:50.297157715,0.05,-0.0005626059424628238,-1.988400963916238e-05
2025/04/09 11:15:50.396952663,0.05,-0.0005273841824461556,-1.8639177754491836e-05
