time,transforms_0
2025/04/09 11:15:45.331702413,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 322502742}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9947127122217, 'y': -299.9549547845425, 'z': 2.350059805268033}, 'rotation': {'x': 0.029088898601438068, 'y': 0.0004911477368885295, 'z': -0.001860134372688545, 'w': 0.999574977003812}}}"
2025/04/09 11:15:45.359314931,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 356854009}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.99466417172704, 'y': -299.95215024373516, 'z': 2.35122059604794}, 'rotation': {'x': 0.02936290454698837, 'y': 0.0004883657449823811, 'z': -0.001857973610399893, 'w': 0.999566970877653}}}"
2025/04/09 11:15:45.408157355,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 199027284}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9949083742605, 'y': -299.9428716678198, 'z': 2.35475493134663}, 'rotation': {'x': -0.010135760407037548, 'y': 0.0005300128487907268, 'z': -0.0018417104230023474, 'w': 0.9999467953596677}}}"
2025/04/09 11:15:45.408217898,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 286833169}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.99473570541824, 'y': -299.9410044069072, 'z': 2.3556472070587846}, 'rotation': {'x': -0.003246939933930833, 'y': 0.0005071707136046299, 'z': -0.0018457865046835067, 'w': 0.9999928965903268}}}"
2025/04/09 11:15:45.419690074,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 416291359}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.99478858434304, 'y': -300.0654061916271, 'z': 2.301118612894382}, 'rotation': {'x': -0.02840146799448186, 'y': 0.0007784748257880054, 'z': -0.00189257932154229, 'w': 0.9995945021538564}}}"
2025/04/09 11:15:45.460062864,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 458039593}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.99416043544863, 'y': -300.0007407162733, 'z': 2.3274181522282738}, 'rotation': {'x': -0.028391899427197317, 'y': 0.0009018861701434506, 'z': -0.0018904199023281648, 'w': 0.9995946743359755}}}"
2025/04/09 11:15:45.519125355,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 517521353}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9933825215144, 'y': -299.9540489119508, 'z': 2.3463800984146626}, 'rotation': {'x': -0.0019612243519140145, 'y': 0.0005845960816604311, 'z': -0.0018288578253172292, 'w': 0.9999962335556658}}}"
2025/04/09 11:15:45.573747556,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 558946801}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.99352513471086, 'y': -299.96556028465864, 'z': 2.342730354452513}, 'rotation': {'x': 0.02443238818692933, 'y': 0.0004933678223491302, 'z': -0.001842042382755527, 'w': 0.9996996658374631}}}"
2025/04/09 11:15:45.608621619,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 606141783}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.99388736467125, 'y': -300.017937726982, 'z': 2.3204685825357587}, 'rotation': {'x': -0.0024683245315243814, 'y': 0.0005637870274843699, 'z': -0.0017991048437625587, 'w': 0.9999951763583442}}}"
2025/04/09 11:15:45.656249215,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 652898379}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.99401216194053, 'y': -300.0103484785523, 'z': 2.3245264637677603}, 'rotation': {'x': 0.0027617818840721077, 'y': 0.0005538582945537078, 'z': -0.0018020398909371173, 'w': 0.9999944092113945}}}"
2025/04/09 11:15:45.714787330,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 713189500}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9941239045445, 'y': -300.01347199686495, 'z': 2.323827472349044}, 'rotation': {'x': 0.0032267638095066463, 'y': 0.0004866712397879017, 'z': -0.0018390966895750148, 'w': 0.999992984410285}}}"
2025/04/09 11:15:45.766335529,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 764721029}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.99433652253634, 'y': -300.01617902727, 'z': 2.323106328746779}, 'rotation': {'x': -0.0017753913811927801, 'y': 0.0005379770977689282, 'z': -0.0018365130674486488, 'w': 0.9999965928871153}}}"
2025/04/09 11:15:45.818561514,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 816761046}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9943774917726, 'y': -300.0096011751156, 'z': 2.3261485581373935}, 'rotation': {'x': -0.03361719400008842, 'y': 0.0005942759020177507, 'z': -0.0018212150266755432, 'w': 0.9994329463648571}}}"
2025/04/09 11:15:45.868805867,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 866694196}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.99428327614305, 'y': -299.9504190099826, 'z': 2.3488779374769506}, 'rotation': {'x': -0.0022249563755954915, 'y': 0.000512627538627058, 'z': -0.0018389266683656155, 'w': 0.9999957025561869}}}"
2025/04/09 11:15:45.919888028,"{'header': {'stamp': {'secs': 1744190145, 'nsecs': 917434839}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9945057323987, 'y': -299.96154115164194, 'z': 2.3449739211870657}, 'rotation': {'x': 0.02919045867080205, 'y': 0.0004134552986537698, 'z': -0.0018763460048405827, 'w': 0.9995720211685472}}}"
