time,throttle_reference,angle_reference
2025/05/06 15:48:33.265398366,666,-45
2025/05/06 15:48:33.354468261,671,-45
2025/05/06 15:48:33.422612138,667,-45
2025/05/06 15:48:33.506280557,667,-44
2025/05/06 15:48:33.592109491,667,-45
2025/05/06 15:48:33.650040766,667,-44
2025/05/06 15:48:33.736700033,667,-45
2025/05/06 15:48:33.838204565,667,-44
2025/05/06 15:48:33.963294029,668,-45
2025/05/06 15:48:34.38031106,672,-45
2025/05/06 15:48:34.136065531,673,-45
2025/05/06 15:48:34.242358070,678,-45
2025/05/06 15:48:34.347020534,677,-46
2025/05/06 15:48:34.441551331,677,-45
2025/05/06 15:48:34.557071085,677,-46
2025/05/06 15:48:34.665397319,677,-45
2025/05/06 15:48:34.757125342,677,-46
2025/05/06 15:48:34.856411431,677,-45
2025/05/06 15:48:34.941322554,677,-46
2025/05/06 15:48:35.38386140,677,-45
2025/05/06 15:48:35.173288198,673,-45
2025/05/06 15:48:35.236990883,678,-45
2025/05/06 15:48:35.394254719,673,-45
2025/05/06 15:48:35.506866072,678,-45
2025/05/06 15:48:35.622588239,673,-45
2025/05/06 15:48:35.742630726,673,-44
2025/05/06 15:48:35.876761424,673,-45
2025/05/06 15:48:36.87714015,673,-44
2025/05/06 15:48:36.202076874,673,-45
2025/05/06 15:48:36.341603922,673,-44
2025/05/06 15:48:36.484807881,673,-45
2025/05/06 15:48:36.587540162,674,-44
2025/05/06 15:48:37.10969123,674,-45
2025/05/06 15:48:37.196602274,679,-45
2025/05/06 15:48:37.399874772,679,-46
2025/05/06 15:48:37.463742316,684,-46
2025/05/06 15:48:37.526748779,679,-46
2025/05/06 15:48:37.682095743,684,-46
2025/05/06 15:48:37.768089516,679,-46
2025/05/06 15:48:37.859973929,684,-46
2025/05/06 15:48:37.892615949,679,-46
2025/05/06 15:48:38.34100607,684,-46
2025/05/06 15:48:38.109187309,679,-46
2025/05/06 15:48:38.257306366,684,-45
2025/05/06 15:48:38.435387557,679,-45
2025/05/06 15:48:38.586019900,679,-45
2025/05/06 15:48:38.793920119,674,-45
2025/05/06 15:48:38.838387056,675,-44
2025/05/06 15:48:38.928229995,675,-45
2025/05/06 15:48:39.182725807,675,-44
2025/05/06 15:48:39.253526090,675,-45
2025/05/06 15:48:39.423303914,675,-44
2025/05/06 15:48:39.659364633,677,-44
2025/05/06 15:48:39.781849351,682,-44
2025/05/06 15:48:40.17843800,686,-44
2025/05/06 15:48:40.178099979,691,-44
2025/05/06 15:48:40.740859672,696,-44
2025/05/06 15:48:41.15966917,696,-43
2025/05/06 15:48:41.443446455,697,-43
2025/05/06 15:48:41.831011962,698,-42
2025/05/06 15:48:42.68404152,701,-42
2025/05/06 15:48:42.841597361,701,-41
2025/05/06 15:48:43.175491071,701,-41
2025/05/06 15:48:43.542006396,703,-40
