time,throttle_reference,angle_reference
2025/05/19 01:45:02.330405652,6,135
2025/05/19 01:45:02.341423480,6,135
2025/05/19 01:45:02.350464531,6,135
2025/05/19 01:45:02.360410108,6,135
2025/05/19 01:45:02.370523966,6,135
2025/05/19 01:45:02.380929750,6,135
2025/05/19 01:45:02.392004458,6,135
2025/05/19 01:45:02.400403009,6,135
2025/05/19 01:45:02.410661876,6,135
2025/05/19 01:45:02.422278692,6,135
2025/05/19 01:45:02.430404256,6,135
2025/05/19 01:45:02.445883990,6,135
2025/05/19 01:45:02.454165396,6,135
2025/05/19 01:45:02.460744795,6,135
2025/05/19 01:45:02.470414692,6,135
2025/05/19 01:45:02.480992643,6,135
2025/05/19 01:45:02.492788622,6,135
2025/05/19 01:45:02.501021406,6,135
2025/05/19 01:45:02.510848228,6,135
2025/05/19 01:45:02.521423639,6,135
2025/05/19 01:45:02.530401400,6,135
2025/05/19 01:45:02.541286258,6,135
2025/05/19 01:45:02.551489032,6,135
2025/05/19 01:45:02.560427804,6,135
2025/05/19 01:45:02.570835934,6,135
2025/05/19 01:45:02.582072594,6,135
2025/05/19 01:45:02.593032322,6,135
2025/05/19 01:45:02.600439857,6,135
2025/05/19 01:45:02.610408554,6,135
2025/05/19 01:45:02.622021309,6,135
2025/05/19 01:45:02.633267709,6,135
2025/05/19 01:45:02.642719234,6,135
2025/05/19 01:45:02.651061939,6,135
2025/05/19 01:45:02.660605818,6,135
2025/05/19 01:45:02.670423896,6,135
2025/05/19 01:45:02.682914222,6,135
2025/05/19 01:45:02.691625829,6,135
2025/05/19 01:45:02.700822682,6,135
2025/05/19 01:45:02.711390784,6,135
2025/05/19 01:45:02.723946345,6,135
2025/05/19 01:45:02.734212299,6,135
2025/05/19 01:45:02.740413781,6,135
2025/05/19 01:45:02.750578400,6,135
2025/05/19 01:45:02.764005480,6,135
2025/05/19 01:45:02.777248575,6,135
2025/05/19 01:45:02.782551199,6,135
2025/05/19 01:45:02.792715494,6,135
2025/05/19 01:45:02.800539181,6,135
2025/05/19 01:45:02.811731207,6,135
2025/05/19 01:45:02.820525642,6,135
2025/05/19 01:45:02.832026719,6,135
2025/05/19 01:45:02.841664918,6,135
2025/05/19 01:45:02.851484516,6,135
2025/05/19 01:45:02.861500666,6,135
2025/05/19 01:45:02.870792779,6,135
2025/05/19 01:45:02.881629942,6,135
2025/05/19 01:45:02.893282098,6,135
2025/05/19 01:45:02.902593747,6,135
2025/05/19 01:45:02.910934305,6,135
2025/05/19 01:45:02.921148801,6,135
2025/05/19 01:45:02.932266014,6,135
2025/05/19 01:45:02.941509408,6,135
2025/05/19 01:45:02.950532855,6,135
2025/05/19 01:45:02.962503795,6,135
2025/05/19 01:45:02.973053802,6,135
2025/05/19 01:45:02.980553873,6,135
2025/05/19 01:45:02.991512824,6,135
2025/05/19 01:45:03.750406,6,135
2025/05/19 01:45:03.10795900,6,135
2025/05/19 01:45:03.20468006,6,135
2025/05/19 01:45:03.31669049,6,135
2025/05/19 01:45:03.47545127,6,135
2025/05/19 01:45:03.50671100,6,135
2025/05/19 01:45:03.61356683,6,135
2025/05/19 01:45:03.71339227,6,135
2025/05/19 01:45:03.82206162,6,135
2025/05/19 01:45:03.94327247,6,135
2025/05/19 01:45:03.100424015,6,135
2025/05/19 01:45:03.112482445,6,135
2025/05/19 01:45:03.120584058,6,135
2025/05/19 01:45:03.130825943,6,135
2025/05/19 01:45:03.141601933,6,135
2025/05/19 01:45:03.150514691,6,135
2025/05/19 01:45:03.163756797,6,135
2025/05/19 01:45:03.170401087,6,135
2025/05/19 01:45:03.183398729,6,135
2025/05/19 01:45:03.191509014,6,135
2025/05/19 01:45:03.200503899,6,135
2025/05/19 01:45:03.210855196,6,135
2025/05/19 01:45:03.220787534,6,135
2025/05/19 01:45:03.231391476,6,135
2025/05/19 01:45:03.244367612,6,135
2025/05/19 01:45:03.250498292,6,135
2025/05/19 01:45:03.260942052,6,135
2025/05/19 01:45:03.271104096,6,135
2025/05/19 01:45:03.280660749,6,135
2025/05/19 01:45:03.290751046,6,135
2025/05/19 01:45:03.301439061,6,135
2025/05/19 01:45:03.312195318,6,135
2025/05/19 01:45:03.320427882,6,135
2025/05/19 01:45:03.330608128,6,135
2025/05/19 01:45:03.342733258,6,135
2025/05/19 01:45:03.351246865,6,135
2025/05/19 01:45:03.360604314,6,135
2025/05/19 01:45:03.370694760,6,135
2025/05/19 01:45:03.380888411,6,135
2025/05/19 01:45:03.390854199,6,135
2025/05/19 01:45:03.400434972,6,135
2025/05/19 01:45:03.412752722,6,135
2025/05/19 01:45:03.421331277,6,135
2025/05/19 01:45:03.432359547,6,135
2025/05/19 01:45:03.440989055,6,135
2025/05/19 01:45:03.451290341,6,135
2025/05/19 01:45:03.460751477,6,135
2025/05/19 01:45:03.470961797,6,135
2025/05/19 01:45:03.483352010,6,135
2025/05/19 01:45:03.496617579,6,135
2025/05/19 01:45:03.504611770,6,135
2025/05/19 01:45:03.510508376,6,135
2025/05/19 01:45:03.520848125,6,135
2025/05/19 01:45:03.532128574,6,135
2025/05/19 01:45:03.542596698,6,135
2025/05/19 01:45:03.550659790,6,135
2025/05/19 01:45:03.561921986,6,135
2025/05/19 01:45:03.571619063,6,135
2025/05/19 01:45:03.583613930,6,135
2025/05/19 01:45:03.591055983,6,135
2025/05/19 01:45:03.604932900,6,135
2025/05/19 01:45:03.614396332,6,135
2025/05/19 01:45:03.622415214,6,135
2025/05/19 01:45:03.631113541,6,135
2025/05/19 01:45:03.645917419,6,135
2025/05/19 01:45:03.656551047,6,135
2025/05/19 01:45:03.660621204,6,135
2025/05/19 01:45:03.670745079,6,135
2025/05/19 01:45:03.682871236,6,135
2025/05/19 01:45:03.691035948,6,135
2025/05/19 01:45:03.702757081,6,135
2025/05/19 01:45:03.710589405,6,135
2025/05/19 01:45:03.720635730,6,135
2025/05/19 01:45:03.730658346,6,135
2025/05/19 01:45:03.741845206,6,135
2025/05/19 01:45:03.752658449,6,135
2025/05/19 01:45:03.762762655,6,135
2025/05/19 01:45:03.770962384,6,135
2025/05/19 01:45:03.781709007,6,135
2025/05/19 01:45:03.792860764,6,135
2025/05/19 01:45:03.804049265,6,135
2025/05/19 01:45:03.812139546,6,135
2025/05/19 01:45:03.822097563,6,135
2025/05/19 01:45:03.833724396,6,135
2025/05/19 01:45:03.845640311,6,135
2025/05/19 01:45:03.851701952,6,135
2025/05/19 01:45:03.860738064,6,135
2025/05/19 01:45:03.871031650,6,135
2025/05/19 01:45:03.881659786,6,135
2025/05/19 01:45:03.892477955,6,135
2025/05/19 01:45:03.901195325,6,135
2025/05/19 01:45:03.915440774,6,135
2025/05/19 01:45:03.921865492,6,135
2025/05/19 01:45:03.932534215,6,135
2025/05/19 01:45:03.945979363,6,135
2025/05/19 01:45:03.952205360,6,135
2025/05/19 01:45:03.965547433,6,135
2025/05/19 01:45:03.970519484,6,135
2025/05/19 01:45:03.981032062,6,135
2025/05/19 01:45:04.4361746,6,135
2025/05/19 01:45:04.18646147,6,135
2025/05/19 01:45:04.18738972,6,135
2025/05/19 01:45:04.23471476,6,135
2025/05/19 01:45:04.39054069,6,135
2025/05/19 01:45:04.47585536,6,135
2025/05/19 01:45:04.53112264,6,135
2025/05/19 01:45:04.67452631,6,135
2025/05/19 01:45:04.71842522,6,135
2025/05/19 01:45:04.82645936,6,135
2025/05/19 01:45:04.91937414,6,135
2025/05/19 01:45:04.104236314,6,135
2025/05/19 01:45:04.112252936,6,135
2025/05/19 01:45:04.123370679,6,135
2025/05/19 01:45:04.130871840,6,135
2025/05/19 01:45:04.142089193,6,135
2025/05/19 01:45:04.154969950,6,135
2025/05/19 01:45:04.162641128,14,107
2025/05/19 01:45:04.173144197,19,103
2025/05/19 01:45:04.184557150,23,100
2025/05/19 01:45:04.193815209,27,99
2025/05/19 01:45:04.201153061,27,99
2025/05/19 01:45:04.215546091,26,99
2025/05/19 01:45:04.225927419,25,99
2025/05/19 01:45:04.231783026,25,100
2025/05/19 01:45:04.240484160,24,100
2025/05/19 01:45:04.265552448,25,100
2025/05/19 01:45:04.265705352,24,100
2025/05/19 01:45:04.271468563,25,100
2025/05/19 01:45:04.280629620,25,100
2025/05/19 01:45:04.294435306,25,100
2025/05/19 01:45:04.300832401,25,100
2025/05/19 01:45:04.310411838,25,100
2025/05/19 01:45:04.321827478,25,100
2025/05/19 01:45:04.331196881,25,100
2025/05/19 01:45:04.341673254,25,100
2025/05/19 01:45:04.351040712,25,100
2025/05/19 01:45:04.360262553,25,100
2025/05/19 01:45:04.370556684,25,100
2025/05/19 01:45:04.380398745,25,100
2025/05/19 01:45:04.391652257,25,100
2025/05/19 01:45:04.400254344,25,100
2025/05/19 01:45:04.410556705,25,100
2025/05/19 01:45:04.421514848,25,100
2025/05/19 01:45:04.431791149,25,100
2025/05/19 01:45:04.442943622,25,100
2025/05/19 01:45:04.450618117,25,100
2025/05/19 01:45:04.460376797,25,100
2025/05/19 01:45:04.470956402,25,100
2025/05/19 01:45:04.481304234,25,100
2025/05/19 01:45:04.490255887,25,100
2025/05/19 01:45:04.501331175,25,100
2025/05/19 01:45:04.510898726,25,100
2025/05/19 01:45:04.520379111,25,100
2025/05/19 01:45:04.530402464,25,99
2025/05/19 01:45:04.540968329,25,100
2025/05/19 01:45:04.550225158,25,99
2025/05/19 01:45:04.561763673,25,100
2025/05/19 01:45:04.572075442,25,99
2025/05/19 01:45:04.582327546,25,100
2025/05/19 01:45:04.595079561,25,99
2025/05/19 01:45:04.600269951,25,100
2025/05/19 01:45:04.610815985,25,99
2025/05/19 01:45:04.620298766,25,100
2025/05/19 01:45:04.630993416,25,99
2025/05/19 01:45:04.640723534,25,100
2025/05/19 01:45:04.650258355,25,99
2025/05/19 01:45:04.660575541,25,99
2025/05/19 01:45:04.671697900,25,99
2025/05/19 01:45:04.681163439,25,99
2025/05/19 01:45:04.693867124,25,99
2025/05/19 01:45:04.700488636,25,99
2025/05/19 01:45:04.713086827,25,99
2025/05/19 01:45:04.721736669,25,99
2025/05/19 01:45:04.730639463,25,99
2025/05/19 01:45:04.740753171,25,99
2025/05/19 01:45:04.751916339,25,99
2025/05/19 01:45:04.760477413,25,99
2025/05/19 01:45:04.770285321,25,99
2025/05/19 01:45:04.783716339,25,99
2025/05/19 01:45:04.791858156,25,99
2025/05/19 01:45:04.801777482,25,99
2025/05/19 01:45:04.812342187,25,99
2025/05/19 01:45:04.820506582,25,99
2025/05/19 01:45:04.830852673,25,99
2025/05/19 01:45:04.840951845,25,99
2025/05/19 01:45:04.850464173,25,99
2025/05/19 01:45:04.861945757,25,99
2025/05/19 01:45:04.871800718,25,99
2025/05/19 01:45:04.881904404,25,99
2025/05/19 01:45:04.892409124,25,99
2025/05/19 01:45:04.901198906,25,99
2025/05/19 01:45:04.911114209,25,99
2025/05/19 01:45:04.920313753,25,99
2025/05/19 01:45:04.930286140,25,99
2025/05/19 01:45:04.941177549,25,99
2025/05/19 01:45:04.951575584,25,99
2025/05/19 01:45:04.960512929,23,100
2025/05/19 01:45:04.972848252,22,101
2025/05/19 01:45:04.981263716,21,101
2025/05/19 01:45:04.992942902,21,101
2025/05/19 01:45:05.6129300,20,102
2025/05/19 01:45:05.11894941,20,102
2025/05/19 01:45:05.22534759,19,102
2025/05/19 01:45:05.31110354,18,103
2025/05/19 01:45:05.42494760,18,103
2025/05/19 01:45:05.50301587,17,104
2025/05/19 01:45:05.60293610,16,104
2025/05/19 01:45:05.70700492,16,105
2025/05/19 01:45:05.80343229,15,106
2025/05/19 01:45:05.91154826,15,106
2025/05/19 01:45:05.100572567,14,107
2025/05/19 01:45:05.110448183,13,108
2025/05/19 01:45:05.121257775,13,108
2025/05/19 01:45:05.130598311,12,109
2025/05/19 01:45:05.141129648,12,110
2025/05/19 01:45:05.150405842,11,111
2025/05/19 01:45:05.160412007,11,111
2025/05/19 01:45:05.170361050,11,111
2025/05/19 01:45:05.180918574,11,111
2025/05/19 01:45:05.193497164,11,111
2025/05/19 01:45:05.202428305,11,111
2025/05/19 01:45:05.210308876,11,111
2025/05/19 01:45:05.220709317,11,111
2025/05/19 01:45:05.230355685,11,111
2025/05/19 01:45:05.243721689,11,111
2025/05/19 01:45:05.250882348,11,111
2025/05/19 01:45:05.260965298,11,111
2025/05/19 01:45:05.270318303,11,111
2025/05/19 01:45:05.284468810,11,111
