time,transforms_0
2025/05/25 18:47:31.639387572,"{'header': {'stamp': {'secs': 1748191651, 'nsecs': 528177953}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -22.281655294853984, 'y': 11.419083489887575, 'z': 0.4336923965105167}, 'rotation': {'x': -0.0003955494655273413, 'y': -1.3311548837416315e-05, 'z': -0.12098077502589279, 'w': 0.9926547715281266}}}"
2025/05/25 18:47:31.639406679,"{'header': {'stamp': {'secs': 1748191651, 'nsecs': 624904803}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -22.281475043158384, 'y': 11.419071039397265, 'z': 0.4336913743228085}, 'rotation': {'x': -0.00038371458911419894, 'y': 7.882147107394467e-05, 'z': -0.1209790041984119, 'w': 0.9926549889530856}}}"
2025/05/25 18:47:31.727341824,"{'header': {'stamp': {'secs': 1748191651, 'nsecs': 723488155}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -504.2868343767432, 'y': -299.7980148663659, 'z': 2.3768725720707335}, 'rotation': {'x': -0.026900917781578805, 'y': 0.0036397848234159752, 'z': -0.12092247708504915, 'w': 0.9922907069627146}}}"
2025/05/25 18:47:31.735743653,"{'header': {'stamp': {'secs': 1748191651, 'nsecs': 732332595}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -22.281233469252015, 'y': 11.419043587216898, 'z': 0.433689645923626}, 'rotation': {'x': -0.00037484361740279954, 'y': 0.00015543968933529552, 'z': -0.12097727513990145, 'w': 0.9926551940278608}}}"
2025/05/25 18:47:31.743346726,"{'header': {'stamp': {'secs': 1748191651, 'nsecs': 737835821}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -504.29002040993424, 'y': -299.8104874619969, 'z': 2.3717543420745693}, 'rotation': {'x': 0.030458525817431872, 'y': -0.00330436703314799, 'z': -0.12093231654974196, 'w': 0.9921878522625905}}}"
2025/05/25 18:47:31.753006716,"{'header': {'stamp': {'secs': 1748191651, 'nsecs': 748253890}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -504.2941004856801, 'y': -299.8264600309783, 'z': 2.365199869846412}, 'rotation': {'x': 0.02479937833157638, 'y': -0.002612109785838129, 'z': -0.12095130968691191, 'w': 0.9923451760359673}}}"
2025/05/25 18:47:31.761887427,"{'header': {'stamp': {'secs': 1748191651, 'nsecs': 758559678}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -504.2981100905996, 'y': -299.84215672269545, 'z': 2.3587586060738754}, 'rotation': {'x': -0.031916022276745795, 'y': 0.004253800683723148, 'z': -0.12090453277401074, 'w': 0.9921418077354021}}}"
2025/05/25 18:47:31.771353978,"{'header': {'stamp': {'secs': 1748191651, 'nsecs': 768954926}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -504.302202741562, 'y': -299.8581785207906, 'z': 2.3521839322826925}, 'rotation': {'x': -0.026933321642020152, 'y': 0.003645357259463291, 'z': -0.12092440640869616, 'w': 0.9922895723983413}}}"
2025/05/25 18:47:31.779976825,"{'header': {'stamp': {'secs': 1748191651, 'nsecs': 776327211}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -504.30636601600884, 'y': -299.874476793772, 'z': 2.3454958047968835}, 'rotation': {'x': 0.030455308308506866, 'y': -0.003301224316590682, 'z': -0.12093439708372118, 'w': 0.9921877079040247}}}"
2025/05/25 18:47:31.826801000,"{'header': {'stamp': {'secs': 1748191651, 'nsecs': 824762726}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -22.28101463625599, 'y': 11.41902286338184, 'z': 0.4336861789879994}, 'rotation': {'x': -0.0003705319515843326, 'y': 0.00021024171723767223, 'z': -0.12097561055037769, 'w': 0.9926553884185874}}}"
2025/05/25 18:47:31.933620346,"{'header': {'stamp': {'secs': 1748191651, 'nsecs': 926262304}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -22.28097810661084, 'y': 11.419046894968865, 'z': 0.43368327816215385}, 'rotation': {'x': -0.0003682426245587614, 'y': 0.0002544238521199862, 'z': -0.12097403842020073, 'w': 0.9926555705249333}}}"
2025/05/25 18:47:32.30719997,"{'header': {'stamp': {'secs': 1748191652, 'nsecs': 28033575}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -22.280821209488312, 'y': 11.41904092136478, 'z': 0.43367916494380665}, 'rotation': {'x': -0.00037418696889508866, 'y': 0.00023750910925648066, 'z': -0.12097254031937378, 'w': 0.9926557550642684}}}"
2025/05/25 18:47:32.130542616,"{'header': {'stamp': {'secs': 1748191652, 'nsecs': 129165682}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -22.280790863767514, 'y': 11.419064458488869, 'z': 0.4336763558837409}, 'rotation': {'x': -0.0003824062791762363, 'y': 0.00019782015749073847, 'z': -0.12097110453225615, 'w': 0.9926559356095489}}}"
