time,throttle_reference,angle_reference
2025/05/25 16:43:53.698498979,3,-39
2025/05/25 16:43:53.796090340,3,-38
2025/05/25 16:43:53.902564317,32,-72
2025/05/25 16:43:53.997277698,35,-72
2025/05/25 16:43:54.97369712,33,-73
2025/05/25 16:43:54.196391193,33,-75
2025/05/25 16:43:54.296052711,33,-76
2025/05/25 16:43:54.395849827,34,-77
2025/05/25 16:43:54.495729584,34,-79
2025/05/25 16:43:54.598579468,34,-79
2025/05/25 16:43:54.695193811,34,-81
2025/05/25 16:43:54.803963905,34,-81
2025/05/25 16:43:54.895922649,33,-82
2025/05/25 16:43:54.998364285,30,-82
2025/05/25 16:43:55.95371737,27,-82
2025/05/25 16:43:55.195835174,24,-81
2025/05/25 16:43:55.297444334,22,-81
2025/05/25 16:43:55.397109038,20,-81
2025/05/25 16:43:55.499029806,18,-81
2025/05/25 16:43:55.595528892,16,-81
2025/05/25 16:43:55.697619872,15,-80
2025/05/25 16:43:55.795553757,13,-79
2025/05/25 16:43:55.896612395,12,-78
2025/05/25 16:43:55.996622609,11,-78
2025/05/25 16:43:56.96604605,10,-78
2025/05/25 16:43:56.200263679,38,-75
2025/05/25 16:43:56.296607734,71,-73
2025/05/25 16:43:56.397101645,68,-74
2025/05/25 16:43:56.496000278,67,-75
2025/05/25 16:43:56.596098876,67,-76
2025/05/25 16:43:56.695334717,66,-78
2025/05/25 16:43:56.799840278,66,-79
2025/05/25 16:43:56.898349422,66,-80
2025/05/25 16:43:56.996425445,66,-81
2025/05/25 16:43:57.95487658,66,-81
2025/05/25 16:43:57.196349961,66,-82
2025/05/25 16:43:57.295838007,63,-82
2025/05/25 16:43:57.399011787,58,-82
2025/05/25 16:43:57.495645611,53,-83
2025/05/25 16:43:57.595989230,53,-83
2025/05/25 16:43:57.697224851,53,-84
2025/05/25 16:43:57.797131901,53,-84
2025/05/25 16:43:57.896410285,53,-84
2025/05/25 16:43:57.996876746,53,-84
2025/05/25 16:43:58.95193425,53,-85
2025/05/25 16:43:58.195756427,53,-85
2025/05/25 16:43:58.296376505,51,-85
2025/05/25 16:43:58.397868082,46,-85
2025/05/25 16:43:58.496824819,42,-85
2025/05/25 16:43:58.596162768,38,-84
2025/05/25 16:43:58.696652705,34,-84
2025/05/25 16:43:58.795882034,31,-84
2025/05/25 16:43:58.898986401,28,-84
2025/05/25 16:43:58.996356864,52,-32
2025/05/25 16:43:59.99783165,142,-19
2025/05/25 16:43:59.195779616,266,-21
2025/05/25 16:43:59.295522217,267,-22
2025/05/25 16:43:59.395928669,270,-22
2025/05/25 16:43:59.495403407,271,-22
2025/05/25 16:43:59.596041123,272,-22
2025/05/25 16:43:59.696730751,273,-21
2025/05/25 16:43:59.795729893,275,-21
2025/05/25 16:43:59.898977737,277,-20
2025/05/25 16:43:59.995318594,280,-20
2025/05/25 16:44:00.96320201,282,-20
2025/05/25 16:44:00.196171981,280,-19
2025/05/25 16:44:00.295266858,280,-18
2025/05/25 16:44:00.405043134,282,-17
2025/05/25 16:44:00.496563579,285,-16
2025/05/25 16:44:00.595756735,289,-15
2025/05/25 16:44:00.695559176,293,-15
2025/05/25 16:44:00.795231843,297,-15
2025/05/25 16:44:00.898461275,301,-14
2025/05/25 16:44:00.996390606,306,-14
2025/05/25 16:44:01.95284672,311,-14
2025/05/25 16:44:01.198281687,316,-14
2025/05/25 16:44:01.295182198,307,-13
2025/05/25 16:44:01.396143183,308,-13
2025/05/25 16:44:01.497092062,309,-12
2025/05/25 16:44:01.595561231,311,-11
2025/05/25 16:44:01.695802205,314,-10
2025/05/25 16:44:01.797195160,318,-10
2025/05/25 16:44:01.895198793,323,-10
2025/05/25 16:44:01.995751489,327,-10
2025/05/25 16:44:02.98667385,333,-10
2025/05/25 16:44:02.200277845,328,-9
2025/05/25 16:44:02.295317817,330,-9
