time,transforms_0
2025/05/14 12:38:24.316136792,"{'header': {'stamp': {'secs': 1747219104, 'nsecs': 311687480}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.740097348184653, 'y': 11.634272555091133, 'z': 0.4336972778014963}, 'rotation': {'x': -0.00040013817098422225, 'y': -2.407017173478524e-06, 'z': -0.0008922691859875562, 'w': 0.9999995218695608}}}"
2025/05/14 12:38:24.421650113,"{'header': {'stamp': {'secs': 1747219104, 'nsecs': 414119572}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.740016347716421, 'y': 11.634387920235998, 'z': 0.4336949180229136}, 'rotation': {'x': -0.0004414491299306498, 'y': 4.106293420959665e-06, 'z': -0.0008623595749739229, 'w': 0.9999995307207736}}}"
2025/05/14 12:38:24.527347867,"{'header': {'stamp': {'secs': 1747219104, 'nsecs': 518424625}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.739892218672809, 'y': 11.634482707152754, 'z': 0.433691791786882}, 'rotation': {'x': -0.00046823392429228423, 'y': 4.4481558885629145e-06, 'z': -0.0008330749305470815, 'w': 0.9999995433615788}}}"
2025/05/14 12:38:24.617197958,"{'header': {'stamp': {'secs': 1747219104, 'nsecs': 613093947}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.739693441659703, 'y': 11.634576341045646, 'z': 0.43368864133370094}, 'rotation': {'x': -0.0004828727052188757, 'y': -4.771337385992747e-06, 'z': -0.0007995057964080231, 'w': 0.9999995638007381}}}"
2025/05/14 12:38:24.730926015,"{'header': {'stamp': {'secs': 1747219104, 'nsecs': 721307379}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.73960268399497, 'y': 11.634750653605096, 'z': 0.433686232163633}, 'rotation': {'x': -0.000508024843297084, 'y': 2.099708525746393e-06, 'z': -0.0007442580157829439, 'w': 0.9999995939930955}}}"
2025/05/14 12:38:24.822656211,"{'header': {'stamp': {'secs': 1747219104, 'nsecs': 815221414}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.73946485702344, 'y': 11.634887942372794, 'z': 0.4336853262702658}, 'rotation': {'x': -0.0005037888326850772, 'y': 3.406415129964596e-06, 'z': -0.0006904403380139172, 'w': 0.9999996347386073}}}"
2025/05/14 12:38:24.921095252,"{'header': {'stamp': {'secs': 1747219104, 'nsecs': 916593493}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.739249880737878, 'y': 11.635035230581726, 'z': 0.4336877625303248}, 'rotation': {'x': -0.00048456986508505233, 'y': -1.898038809486182e-06, 'z': -0.0006352530030279057, 'w': 0.9999996808209818}}}"
2025/05/14 12:38:25.32278791,"{'header': {'stamp': {'secs': 1747219105, 'nsecs': 21566485}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.7391596760469366, 'y': 11.635150901760644, 'z': 0.4336931692448917}, 'rotation': {'x': -0.0004406737249958338, 'y': 6.086835681915011e-06, 'z': -0.0005753413843320226, 'w': 0.9999997373759205}}}"
2025/05/14 12:38:25.122007059,"{'header': {'stamp': {'secs': 1747219105, 'nsecs': 114020790}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.7390123287905315, 'y': 11.635248362023313, 'z': 0.43369854742023706}, 'rotation': {'x': -0.00038390038186668715, 'y': 1.0415917740043451e-05, 'z': -0.0005270219670519035, 'w': 0.9999997873799032}}}"
2025/05/14 12:38:25.150009066,"{'header': {'stamp': {'secs': 1747219105, 'nsecs': 98847358}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -486.53654739675244, 'y': -299.7072850892269, 'z': 2.3361397314767323}, 'rotation': {'x': 0.0019776424055218574, 'y': 0.0003557202480148878, 'z': -0.00036041666753313, 'w': 0.9999979162445525}}}"
