time,throttle_reference,angle_reference
2025/05/14 14:46:32.282948355,202,-136
2025/05/14 14:46:32.422189107,208,-133
2025/05/14 14:46:32.484503818,206,-133
2025/05/14 14:46:32.698509712,212,-136
2025/05/14 14:46:32.798273964,210,-136
2025/05/14 14:46:32.906449428,208,-136
2025/05/14 14:46:32.996925860,206,-136
2025/05/14 14:46:33.55271647,205,-136
2025/05/14 14:46:33.113130751,211,-133
2025/05/14 14:46:33.220073049,217,-136
2025/05/14 14:46:33.416591833,215,-136
2025/05/14 14:46:33.521133829,213,-136
2025/05/14 14:46:33.647621027,211,-136
2025/05/14 14:46:33.761490117,209,-136
2025/05/14 14:46:33.882956912,207,-136
2025/05/14 14:46:34.44360138,205,-136
2025/05/14 14:46:34.107139993,211,-133
2025/05/14 14:46:34.158311520,218,-131
2025/05/14 14:46:34.212102820,216,-131
2025/05/14 14:46:34.316127579,222,-133
2025/05/14 14:46:34.412755231,220,-133
2025/05/14 14:46:34.501898795,218,-133
2025/05/14 14:46:34.604432075,216,-133
2025/05/14 14:46:34.708296145,214,-133
2025/05/14 14:46:34.809130240,212,-133
2025/05/14 14:46:34.904981703,210,-133
2025/05/14 14:46:35.10811036,208,-133
2025/05/14 14:46:35.135610504,206,-133
2025/05/14 14:46:35.215332698,204,-133
2025/05/14 14:46:35.306505044,210,-136
2025/05/14 14:46:35.411768598,208,-136
2025/05/14 14:46:35.534057668,207,-136
2025/05/14 14:46:35.722481404,213,-133
2025/05/14 14:46:35.834870207,219,-131
2025/05/14 14:46:35.895945926,226,-129
2025/05/14 14:46:35.950997743,232,-127
2025/05/14 14:46:36.8845462,239,-126
2025/05/14 14:46:36.110839459,244,-128
2025/05/14 14:46:36.204926061,241,-128
2025/05/14 14:46:36.338594789,239,-128
2025/05/14 14:46:36.474160613,237,-128
2025/05/14 14:46:36.527683784,235,-128
2025/05/14 14:46:36.691618424,233,-128
2025/05/14 14:46:36.751440418,231,-128
2025/05/14 14:46:36.804016445,238,-126
2025/05/14 14:46:36.907531987,235,-126
2025/05/14 14:46:37.14532931,233,-126
2025/05/14 14:46:37.102928343,238,-128
2025/05/14 14:46:37.205445111,245,-127
2025/05/14 14:46:37.306801034,242,-127
2025/05/14 14:46:37.415685140,240,-127
2025/05/14 14:46:37.541670297,238,-127
2025/05/14 14:46:37.604505474,236,-127
2025/05/14 14:46:37.702571942,234,-127
2025/05/14 14:46:37.813905002,232,-127
2025/05/14 14:46:37.917370122,231,-127
2025/05/14 14:46:38.4901951,229,-127
2025/05/14 14:46:38.105549825,234,-130
2025/05/14 14:46:38.219562895,232,-130
2025/05/14 14:46:38.316426751,230,-130
2025/05/14 14:46:38.415093922,237,-128
2025/05/14 14:46:38.542668846,234,-128
2025/05/14 14:46:38.780457315,232,-128
2025/05/14 14:46:38.997464864,230,-128
2025/05/14 14:46:39.179689146,228,-128
2025/05/14 14:46:39.241031029,226,-128
2025/05/14 14:46:39.314162337,224,-128
2025/05/14 14:46:39.409996503,222,-128
2025/05/14 14:46:39.504127253,220,-128
2025/05/14 14:46:39.609185371,218,-128
2025/05/14 14:46:39.708741714,216,-128
2025/05/14 14:46:39.805400864,214,-128
2025/05/14 14:46:39.904457379,212,-128
2025/05/14 14:46:40.6425658,210,-128
2025/05/14 14:46:40.108688414,208,-128
2025/05/14 14:46:40.234437193,206,-128
2025/05/14 14:46:40.306922288,204,-128
2025/05/14 14:46:40.414940412,203,-128
2025/05/14 14:46:40.512810634,201,-128
2025/05/14 14:46:40.612362430,199,-128
2025/05/14 14:46:40.707385921,197,-128
2025/05/14 14:46:40.807416835,195,-128
2025/05/14 14:46:40.904511291,194,-128
2025/05/14 14:46:41.5361561,192,-128
2025/05/14 14:46:41.109743987,190,-128
2025/05/14 14:46:41.214707502,188,-128
2025/05/14 14:46:41.313094878,187,-128
2025/05/14 14:46:41.479802683,185,-128
2025/05/14 14:46:41.544534469,183,-128
2025/05/14 14:46:41.621993932,181,-128
2025/05/14 14:46:41.709295805,180,-128
2025/05/14 14:46:41.807238648,180,-127
2025/05/14 14:46:41.912509563,178,-127
2025/05/14 14:46:42.7978636,177,-127
2025/05/14 14:46:42.106827195,175,-127
2025/05/14 14:46:42.203982854,173,-127
2025/05/14 14:46:42.307609580,172,-127
2025/05/14 14:46:42.412206749,180,-125
2025/05/14 14:46:42.504874510,178,-125
2025/05/14 14:46:42.631632429,176,-125
2025/05/14 14:46:42.707162496,175,-125
2025/05/14 14:46:42.804716653,183,-123
2025/05/14 14:46:42.906886612,181,-123
2025/05/14 14:46:43.15194608,185,-125
2025/05/14 14:46:43.118774215,183,-125
2025/05/14 14:46:43.223032492,181,-125
2025/05/14 14:46:43.307663204,187,-128
2025/05/14 14:46:43.527158452,185,-128
2025/05/14 14:46:43.656491020,191,-131
2025/05/14 14:46:43.706017030,189,-131
2025/05/14 14:46:43.753385717,187,-131
2025/05/14 14:46:43.830982468,193,-134
2025/05/14 14:46:43.907526522,191,-134
2025/05/14 14:46:44.3018935,189,-134
2025/05/14 14:46:44.103080013,187,-134
2025/05/14 14:46:44.204487983,194,-136
2025/05/14 14:46:44.414891896,200,-134
2025/05/14 14:46:44.465606445,207,-131
2025/05/14 14:46:44.515534308,213,-129
2025/05/14 14:46:44.605264434,220,-127
2025/05/14 14:46:44.718496929,227,-125
2025/05/14 14:46:44.803557486,234,-123
2025/05/14 14:46:44.904441884,242,-122
2025/05/14 14:46:45.39675492,249,-120
2025/05/14 14:46:45.103853767,256,-119
2025/05/14 14:46:45.203814584,263,-118
2025/05/14 14:46:45.371068224,266,-120
2025/05/14 14:46:45.417195394,264,-120
2025/05/14 14:46:45.505241954,267,-122
2025/05/14 14:46:45.607764622,265,-122
2025/05/14 14:46:45.708021770,263,-122
2025/05/14 14:46:45.819144346,260,-122
2025/05/14 14:46:45.907201002,258,-122
2025/05/14 14:46:46.5225168,256,-122
2025/05/14 14:46:46.108894210,253,-122
2025/05/14 14:46:46.235696714,251,-122
2025/05/14 14:46:46.314456805,249,-122
2025/05/14 14:46:46.406507300,247,-122
2025/05/14 14:46:46.504313634,251,-125
2025/05/14 14:46:46.607464168,248,-125
2025/05/14 14:46:46.705633629,246,-125
2025/05/14 14:46:46.804151540,244,-125
2025/05/14 14:46:46.906800102,242,-125
2025/05/14 14:46:47.9442190,239,-125
2025/05/14 14:46:47.109345757,237,-125
2025/05/14 14:46:47.212355583,235,-125
2025/05/14 14:46:47.310199509,233,-125
2025/05/14 14:46:47.441493769,231,-125
2025/05/14 14:46:47.504772054,229,-125
2025/05/14 14:46:47.604935293,227,-125
2025/05/14 14:46:47.706710741,225,-125
2025/05/14 14:46:47.809687418,223,-125
2025/05/14 14:46:47.904397013,221,-125
2025/05/14 14:46:48.4962944,219,-125
2025/05/14 14:46:48.104488410,217,-125
2025/05/14 14:46:48.210112600,215,-125
2025/05/14 14:46:48.313059106,213,-125
2025/05/14 14:46:48.532029390,220,-123
2025/05/14 14:46:48.619234208,228,-121
2025/05/14 14:46:48.721878037,235,-120
2025/05/14 14:46:48.768558978,243,-118
2025/05/14 14:46:48.813480567,250,-117
2025/05/14 14:46:48.905414625,258,-116
2025/05/14 14:46:49.6386602,265,-115
2025/05/14 14:46:49.107079531,273,-113
2025/05/14 14:46:49.204816211,280,-112
2025/05/14 14:46:49.302893669,278,-112
2025/05/14 14:46:49.406251211,275,-112
2025/05/14 14:46:49.509313802,273,-112
2025/05/14 14:46:49.603964443,271,-113
2025/05/14 14:46:49.706318578,268,-113
2025/05/14 14:46:49.831195201,266,-113
2025/05/14 14:46:49.911129059,263,-113
2025/05/14 14:46:50.4214077,261,-113
2025/05/14 14:46:50.103432266,259,-113
2025/05/14 14:46:50.205816511,256,-113
2025/05/14 14:46:50.309926088,254,-113
2025/05/14 14:46:50.407444962,256,-115
2025/05/14 14:46:50.502582596,254,-115
2025/05/14 14:46:50.610230406,252,-115
2025/05/14 14:46:50.711385979,249,-115
2025/05/14 14:46:50.801914070,247,-115
2025/05/14 14:46:50.903760619,245,-115
2025/05/14 14:46:51.32280238,243,-115
2025/05/14 14:46:51.112543512,241,-115
2025/05/14 14:46:51.211041717,238,-115
2025/05/14 14:46:51.311462766,236,-115
2025/05/14 14:46:51.415521095,234,-115
2025/05/14 14:46:51.507351619,237,-118
2025/05/14 14:46:51.613685241,235,-118
2025/05/14 14:46:51.710049876,233,-118
2025/05/14 14:46:51.805479362,231,-118
2025/05/14 14:46:51.907327772,229,-118
2025/05/14 14:46:52.14782462,226,-118
2025/05/14 14:46:52.110783778,224,-118
2025/05/14 14:46:52.235941114,222,-118
2025/05/14 14:46:52.308227299,220,-118
2025/05/14 14:46:52.404676352,218,-118
2025/05/14 14:46:52.501812602,216,-118
2025/05/14 14:46:52.612115796,214,-118
2025/05/14 14:46:52.708599403,212,-118
2025/05/14 14:46:52.805618503,211,-118
2025/05/14 14:46:52.904828407,209,-118
2025/05/14 14:46:53.10476110,207,-118
2025/05/14 14:46:53.106337260,205,-118
2025/05/14 14:46:53.210451891,203,-118
2025/05/14 14:46:53.308019118,211,-116
2025/05/14 14:46:53.442691467,219,-115
2025/05/14 14:46:53.505414932,218,-115
2025/05/14 14:46:53.605463699,216,-115
