time,stamp_secs,stamp_nsecs,level,name,msg,file,function,line
2025/05/14 14:46:31.445283522,1747226791,426169978,20,rosbag2_recorder,Press SPACE for pausing/resuming,./src/rosbag2_transport/recorder.cpp,Recorder,104
2025/05/14 14:46:31.445305476,1747226791,441259407,20,rosbag2_recorder,Listening for topics...,./src/rosbag2_transport/recorder.cpp,record,195
2025/05/14 14:46:31.445328335,1747226791,441269116,20,rosbag2_recorder,Event publisher thread: Starting,./src/rosbag2_transport/recorder.cpp,event_publisher_thread_main,215
2025/05/14 14:46:31.445339525,1747226791,443253351,20,rosbag2_recorder,Subscribed to topic '/rosout',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:31.445348596,1747226791,444103823,20,rosbag2_recorder,Subscribed to topic '/events/write_split',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:31.445357646,1747226791,444399890,20,rosbag2_recorder,Recording...,./src/rosbag2_transport/recorder.cpp,record,209
2025/05/14 14:46:31.656766275,1747226791,656531785,20,rosbag2_recorder,Subscribed to topic '/allocator_mode',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:31.662116696,1747226791,658261835,20,rosbag2_recorder,Subscribed to topic '/dynamic_positioning/control_action',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:31.667580390,1747226791,666540262,20,rosbag2_recorder,Subscribed to topic '/joy',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:31.668781966,1747226791,668711553,20,rosbag2_recorder,Subscribed to topic '/parameter_events',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:31.998064419,1747226791,996242555,20,rosbag2_player,Set rate to 1,./src/rosbag2_transport/player.cpp,set_rate,295
2025/05/14 14:46:32.28827934,1747226792,28394763,20,rosbag2_player,Adding keyboard callbacks.,./src/rosbag2_transport/player.cpp,add_keyboard_callbacks,626
2025/05/14 14:46:32.28862123,1747226792,28470203,20,rosbag2_player,Press SPACE for Pause/Resume,./src/rosbag2_transport/player.cpp,add_key_callback,615
2025/05/14 14:46:32.28874207,1747226792,28495850,20,rosbag2_player,Press CURSOR_RIGHT for Play Next Message,./src/rosbag2_transport/player.cpp,add_key_callback,615
2025/05/14 14:46:32.28885121,1747226792,28514855,20,rosbag2_player,Press CURSOR_UP for Increase Rate 10%,./src/rosbag2_transport/player.cpp,add_key_callback,615
2025/05/14 14:46:32.28895892,1747226792,28539042,20,rosbag2_player,Press CURSOR_DOWN for Decrease Rate 10%,./src/rosbag2_transport/player.cpp,add_key_callback,615
2025/05/14 14:46:32.32454341,1747226792,31743546,20,rosbag2_recorder,Subscribed to topic '/navigation/pose',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.34724312,1747226792,34459422,20,rosbag2_recorder,Subscribed to topic '/ma1/thrusters',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.37073118,1747226792,36595702,20,rosbag2_recorder,Subscribed to topic '/ma1/servos',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.43782691,1747226792,39401628,20,rosbag2_recorder,Subscribed to topic '/ma1/odom',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.45841506,1747226782,768866879,20,thrust_allocation_node,Allocator mode set to: maneuvering,/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,mode_callback,92
2025/05/14 14:46:32.46109569,1747226782,817030986,20,thrust_allocation_node,theta: [0. 0. 0. 0. 0.],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.46402342,1747226784,505566270,20,thrust_allocation_node,theta: [-26.61737667  22.50258361  17.58174267  26.30085413 -18.07126801],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.46598286,1747226784,603615992,20,thrust_allocation_node,theta: [-30.82004852  26.0555624   20.35775985  30.45354959 -20.92457735],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.46760594,1747226784,706855233,20,thrust_allocation_node,theta: [-30.516213    25.79869696  20.15706546  30.15332715 -20.71829507],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.46779409,1747226784,814330735,20,thrust_allocation_node,theta: [-34.67989649  29.31871461  22.90732942  34.26749788 -23.54513413],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.46792398,1747226784,927948984,20,thrust_allocation_node,theta: [-34.33746248  29.02921764  22.68113934  33.92913595 -23.31264628],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.46804948,1747226785,23557525,20,thrust_allocation_node,theta: [-38.46293347  32.51693009  25.40616255  38.0055486  -26.11354184],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.46822400,1747226785,121946788,20,thrust_allocation_node,theta: [-38.0826691   32.19545097  25.15498414  37.62980616 -25.85536991],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.46836204,1747226785,202930118,20,thrust_allocation_node,theta: [-42.17068803  35.65150109  27.85526891  41.66921211 -28.63083823],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.46848718,1747226785,330036146,20,thrust_allocation_node,theta: [-41.7533461   35.29867625  27.57959943  41.25683304 -28.34749334],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.46861581,1747226785,406881063,20,thrust_allocation_node,theta: [-45.80465826  38.72369412  30.25563805  45.25996871 -31.09804042],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.47373726,1747226791,13163970,20,thrust_allocation_node,theta: [-50.          49.66201239  50.          50.         -49.96554608],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.47412528,1747226791,107710121,20,thrust_allocation_node,theta: [-50.  50.  50.  50. -50.],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.47425771,1747226791,223409800,20,thrust_allocation_node,theta: [-50.          50.          49.53367658  50.         -50.        ],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.47438336,1747226791,344685558,20,thrust_allocation_node,theta: [-50.  50.  50.  50. -50.],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.47450585,1747226791,403170068,20,thrust_allocation_node,theta: [-50.  50.  50.  50. -50.],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.47463391,1747226791,500631598,20,thrust_allocation_node,theta: [-50.          50.          49.96127958  50.         -50.        ],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.47475726,1747226791,609675464,20,thrust_allocation_node,theta: [-50.          50.          50.          49.91713502 -50.        ],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.47488065,1747226791,713216291,20,thrust_allocation_node,theta: [-50.          50.          50.          49.62016991 -50.        ],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.47500740,1747226791,807562785,20,thrust_allocation_node,theta: [-50.          50.          50.          50.         -48.36507281],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.47514328,1747226791,906703700,20,thrust_allocation_node,theta: [-50.  50.  50.  50. -50.],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.51486167,1747226792,50394776,20,rosbag2_recorder,Subscribed to topic '/navigation/twist_body',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.62483638,1747226792,60769327,20,rosbag2_recorder,Subscribed to topic '/sim/vessel_state',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.70021743,1747226792,68098763,20,rosbag2_recorder,Subscribed to topic '/thruster_2',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.86069648,1747226792,84095605,20,rosbag2_recorder,Subscribed to topic '/tf',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.86843434,1747226792,86622830,20,thrust_allocation_node,theta: [-50.  50.  50.  50. -50.],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.87522718,1747226792,85322580,20,rosbag2_recorder,Subscribed to topic '/actuators/actuator_3/thruster/motor_state',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.92743976,1747226792,90107161,20,rosbag2_recorder,Subscribed to topic '/thruster_4',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.96258811,1747226792,95856541,20,rosbag2_recorder,Subscribed to topic '/vectorVS330/fix',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.100517290,1747226792,98088193,20,rosbag2_recorder,Subscribed to topic '/tau_diff',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.103671707,1747226792,103412698,20,rosbag2_recorder,Subscribed to topic '/tau_actual',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.107732568,1747226792,106418446,20,rosbag2_recorder,Subscribed to topic '/actuators/actuator_2/thruster/motor_state',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.110471478,1747226792,110048121,20,rosbag2_recorder,Subscribed to topic '/actuators/actuator_1/azimuth_angle',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.119798671,1747226792,115500667,20,rosbag2_recorder,Subscribed to topic '/actuator_ref_4',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.121091189,1747226792,120462339,20,rosbag2_recorder,Subscribed to topic '/guidance/waypoint',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.128493084,1747226792,127857934,20,rosbag2_recorder,Subscribed to topic '/guidance/reference/acceleration',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.132975366,1747226792,132662768,20,rosbag2_recorder,Subscribed to topic '/thruster_3',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.136559363,1747226792,135649718,20,rosbag2_recorder,Subscribed to topic '/guidance/reference/velocity',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.140897993,1747226792,140173794,20,rosbag2_recorder,Subscribed to topic '/xsens/imu',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.146441725,1747226792,145887133,20,rosbag2_recorder,Subscribed to topic '/thruster_1',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.154340788,1747226792,153276507,20,rosbag2_recorder,Subscribed to topic '/ma1/gps',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
2025/05/14 14:46:32.159990234,1747226792,151121775,20,thrust_allocation_node,theta: [-50.  50.  50.  50. -50.],/home/anders/milliAmpere/ros2_ws/install/thrust_allocation/lib/thrust_allocation/thrust_allocation_all.py,timer_callback,112
2025/05/14 14:46:32.163035533,1747226792,162664503,20,rosbag2_recorder,Subscribed to topic '/actuators/actuator_4/azimuth_angle',./src/rosbag2_transport/recorder.cpp,subscribe_topic,368
