time,transforms_0
2025/05/14 14:46:32.126891198,"{'header': {'stamp': {'secs': 1747226792, 'nsecs': 116065417}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.629291051815245, 'y': 9.71905210438856, 'z': 0.43368933153112166}, 'rotation': {'x': -0.0003243383310793901, 'y': -9.15751399152428e-06, 'z': -0.0900048233658615, 'w': 0.9959412766281288}}}"
2025/05/14 14:46:32.242840688,"{'header': {'stamp': {'secs': 1747226792, 'nsecs': 221535381}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.629345727031813, 'y': 9.718909815376746, 'z': 0.43368469933362097}, 'rotation': {'x': -0.00024397166091170075, 'y': -7.66608132898466e-06, 'z': -0.09002546637494435, 'w': 0.9959394338126358}}}"
2025/05/14 14:46:32.331848558,"{'header': {'stamp': {'secs': 1747226792, 'nsecs': 321806955}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.629283303129876, 'y': 9.718808502228024, 'z': 0.4336809187253601}, 'rotation': {'x': -0.00020857229070353416, 'y': -1.1122227191411573e-05, 'z': -0.09004492477130097, 'w': 0.9959376827376432}}}"
2025/05/14 14:46:32.459542706,"{'header': {'stamp': {'secs': 1747226792, 'nsecs': 421933413}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.629322925754091, 'y': 9.718790344852584, 'z': 0.4336778040618122}, 'rotation': {'x': -0.000221997689560233, 'y': 5.0071944025387374e-06, 'z': -0.09005439547534978, 'w': 0.9959368235724207}}}"
2025/05/14 14:46:32.524264164,"{'header': {'stamp': {'secs': 1747226792, 'nsecs': 517417877}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.6292537278063, 'y': 9.718806971214917, 'z': 0.43367718977658615}, 'rotation': {'x': -0.00027963294079177584, 'y': 1.4246800676460084e-05, 'z': -0.09006095497039535, 'w': 0.9959362158252242}}}"
2025/05/14 14:46:32.619644259,"{'header': {'stamp': {'secs': 1747226792, 'nsecs': 614002121}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.629263846615881, 'y': 9.718899683156346, 'z': 0.4336776780483453}, 'rotation': {'x': -0.0003723068775373147, 'y': 4.3238459522048636e-05, 'z': -0.09007110417660277, 'w': 0.9959352668273336}}}"
2025/05/14 14:46:32.721974303,"{'header': {'stamp': {'secs': 1747226792, 'nsecs': 713951896}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.629175661056271, 'y': 9.718966990769086, 'z': 0.43368072156399096}, 'rotation': {'x': -0.0004667412163363822, 'y': 5.6506244524105205e-05, 'z': -0.0900842257250412, 'w': 0.9959340396006159}}}"
2025/05/14 14:46:32.826506971,"{'header': {'stamp': {'secs': 1747226792, 'nsecs': 812481369}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.629199874993852, 'y': 9.719023485337184, 'z': 0.4336855411958578}, 'rotation': {'x': -0.0005393467345081321, 'y': 7.901263758362113e-05, 'z': -0.09009748212173563, 'w': 0.9959328022399034}}}"
2025/05/14 14:46:32.927483099,"{'header': {'stamp': {'secs': 1747226792, 'nsecs': 918466249}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.629127689071807, 'y': 9.71903406636561, 'z': 0.4336905065072625}, 'rotation': {'x': -0.0005831942289722041, 'y': 7.99238827306244e-05, 'z': -0.09010555449122341, 'w': 0.9959320471530643}}}"
2025/05/14 14:46:33.15875029,"{'header': {'stamp': {'secs': 1747226793, 'nsecs': 12598345}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -4.629195868597758, 'y': 9.71902389992886, 'z': 0.4336930731930565}, 'rotation': {'x': -0.0005859131860474937, 'y': 8.362922093335623e-05, 'z': -0.0901011983639578, 'w': 0.9959324393578465}}}"
