time,throttle_reference,angle_reference
2025/05/19 11:48:20.28346885,6,45
2025/05/19 11:48:20.129639943,6,45
2025/05/19 11:48:20.228424499,6,45
2025/05/19 11:48:20.327317148,6,45
2025/05/19 11:48:20.438761393,6,45
2025/05/19 11:48:20.548644693,6,45
2025/05/19 11:48:20.627547899,6,45
2025/05/19 11:48:20.727675653,6,45
2025/05/19 11:48:20.827329386,6,45
2025/05/19 11:48:20.929465412,6,45
2025/05/19 11:48:21.28150535,6,45
2025/05/19 11:48:21.127515429,6,45
2025/05/19 11:48:21.227327704,6,45
2025/05/19 11:48:21.327653767,6,45
2025/05/19 11:48:21.427312039,6,45
2025/05/19 11:48:21.527471180,6,45
2025/05/19 11:48:21.627275387,6,45
2025/05/19 11:48:21.728179536,6,45
2025/05/19 11:48:21.827466899,6,45
2025/05/19 11:48:21.932143154,6,45
2025/05/19 11:48:22.40686588,6,45
2025/05/19 11:48:22.128738499,6,45
2025/05/19 11:48:22.230885028,6,45
2025/05/19 11:48:22.328507666,6,45
2025/05/19 11:48:22.428469460,6,45
2025/05/19 11:48:22.527374433,6,45
2025/05/19 11:48:22.893008479,6,45
2025/05/19 11:48:22.898081480,6,45
2025/05/19 11:48:22.929590273,6,45
2025/05/19 11:48:23.29036464,6,45
2025/05/19 11:48:23.127404784,6,45
2025/05/19 11:48:23.228466130,6,45
2025/05/19 11:48:23.327831144,6,45
2025/05/19 11:48:23.430731562,6,45
2025/05/19 11:48:23.527532879,6,45
2025/05/19 11:48:23.629537519,6,45
2025/05/19 11:48:23.728744247,6,45
2025/05/19 11:48:23.827291920,6,43
2025/05/19 11:48:23.927266098,6,43
2025/05/19 11:48:24.27397076,6,44
2025/05/19 11:48:24.129544831,6,44
2025/05/19 11:48:24.229354457,6,44
2025/05/19 11:48:24.330881468,6,44
2025/05/19 11:48:24.428971469,6,44
2025/05/19 11:48:24.527382985,6,44
2025/05/19 11:48:24.627404766,6,44
2025/05/19 11:48:24.727458397,6,44
2025/05/19 11:48:24.828516782,7,53
2025/05/19 11:48:24.927364740,7,52
2025/05/19 11:48:25.27378937,7,52
2025/05/19 11:48:25.128909140,7,52
