time,throttle_reference,angle_reference
2025/05/20 13:08:12.404124099,12,44
2025/05/20 13:08:12.503802675,12,44
2025/05/20 13:08:12.603839044,12,44
2025/05/20 13:08:12.703744210,12,44
2025/05/20 13:08:12.803666391,12,44
2025/05/20 13:08:12.903753131,12,44
2025/05/20 13:08:13.3826308,12,44
2025/05/20 13:08:13.103817780,13,44
2025/05/20 13:08:13.204204532,13,44
2025/05/20 13:08:13.304719412,13,44
2025/05/20 13:08:13.404296222,13,44
2025/05/20 13:08:13.505000285,13,44
2025/05/20 13:08:13.603838407,13,44
2025/05/20 13:08:13.704726011,13,44
2025/05/20 13:08:13.803717185,13,44
2025/05/20 13:08:13.903945057,14,44
2025/05/20 13:08:14.3794489,14,44
2025/05/20 13:08:14.103932314,14,44
2025/05/20 13:08:14.203715610,14,44
2025/05/20 13:08:14.303919864,14,44
2025/05/20 13:08:14.403742789,14,44
2025/05/20 13:08:14.503807905,14,44
2025/05/20 13:08:14.603760718,14,44
2025/05/20 13:08:14.703898654,14,44
2025/05/20 13:08:14.803912619,15,44
2025/05/20 13:08:14.903866322,15,44
2025/05/20 13:08:15.3853071,15,44
2025/05/20 13:08:15.103749423,15,44
2025/05/20 13:08:15.203783471,15,44
2025/05/20 13:08:15.303659744,15,44
2025/05/20 13:08:15.404631341,15,44
2025/05/20 13:08:15.503785605,15,44
2025/05/20 13:08:15.603822865,16,44
2025/05/20 13:08:15.707608963,16,44
2025/05/20 13:08:15.803780662,16,44
2025/05/20 13:08:15.903849886,15,42
2025/05/20 13:08:16.3786417,17,47
2025/05/20 13:08:16.103705306,19,54
2025/05/20 13:08:16.203688601,19,54
2025/05/20 13:08:16.303791454,20,54
2025/05/20 13:08:16.403819566,21,56
2025/05/20 13:08:16.503848103,21,57
2025/05/20 13:08:16.603806021,21,57
2025/05/20 13:08:16.703855394,21,57
2025/05/20 13:08:16.803749750,21,57
2025/05/20 13:08:16.904068234,22,57
2025/05/20 13:08:17.3735883,22,57
2025/05/20 13:08:17.103843296,22,57
2025/05/20 13:08:17.205797062,22,57
2025/05/20 13:08:17.303802973,22,56
2025/05/20 13:08:17.403848961,22,56
2025/05/20 13:08:17.503812557,22,56
2025/05/20 13:08:17.604015568,23,56
2025/05/20 13:08:17.703908768,23,56
2025/05/20 13:08:17.803817524,23,56
2025/05/20 13:08:17.903814369,23,56
2025/05/20 13:08:18.3802750,23,56
2025/05/20 13:08:18.103860359,23,56
2025/05/20 13:08:18.203847420,23,56
2025/05/20 13:08:18.303832110,23,56
2025/05/20 13:08:18.404164283,24,57
2025/05/20 13:08:18.504398759,25,57
2025/05/20 13:08:18.604204403,25,57
2025/05/20 13:08:18.703792307,25,57
2025/05/20 13:08:18.803784226,25,57
2025/05/20 13:08:18.903877258,25,57
2025/05/20 13:08:19.4285139,25,57
2025/05/20 13:08:19.103827729,25,57
2025/05/20 13:08:19.203984593,25,57
2025/05/20 13:08:19.303755152,26,57
2025/05/20 13:08:19.403983434,27,59
2025/05/20 13:08:19.503825708,32,65
2025/05/20 13:08:19.604150363,37,68
2025/05/20 13:08:19.703941379,37,68
2025/05/20 13:08:19.803900718,37,68
2025/05/20 13:08:19.903802783,37,68
2025/05/20 13:08:20.3718146,37,68
2025/05/20 13:08:20.103790187,57,45
2025/05/20 13:08:20.203890606,118,28
2025/05/20 13:08:20.303879356,197,22
2025/05/20 13:08:20.403827493,262,20
2025/05/20 13:08:20.503777296,258,20
2025/05/20 13:08:20.603793627,259,20
2025/05/20 13:08:20.703790771,260,20
2025/05/20 13:08:20.803801182,262,20
2025/05/20 13:08:20.903833130,263,20
2025/05/20 13:08:21.3845985,265,20
2025/05/20 13:08:21.104376514,267,20
2025/05/20 13:08:21.203794593,269,20
2025/05/20 13:08:21.304001751,272,20
2025/05/20 13:08:21.403822056,276,20
2025/05/20 13:08:21.503900451,278,20
2025/05/20 13:08:21.603857081,281,20
2025/05/20 13:08:21.703798333,284,20
2025/05/20 13:08:21.803991266,287,20
2025/05/20 13:08:21.903812204,290,20
2025/05/20 13:08:22.4855348,294,20
2025/05/20 13:08:22.103827480,298,20
2025/05/20 13:08:22.203896069,302,19
2025/05/20 13:08:22.303826921,305,19
2025/05/20 13:08:22.403908057,340,19
2025/05/20 13:08:22.503861539,343,20
