time,transforms_0
2025/05/21 10:41:23.596915296,"{'header': {'stamp': {'secs': 1747816883, 'nsecs': 589799884}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 26.491114743912387, 'y': 0.5961112634485692, 'z': 0.43369549451768363}, 'rotation': {'x': -0.0002877862995301153, 'y': -0.00028199082095965115, 'z': 0.7101777286724236, 'w': 0.7040223230536801}}}"
2025/05/21 10:41:23.695813140,"{'header': {'stamp': {'secs': 1747816883, 'nsecs': 690377776}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 26.491200631662945, 'y': 0.5961749661231038, 'z': 0.4336958240981234}, 'rotation': {'x': -0.00028749994682044077, 'y': -0.00028428857607144754, 'z': 0.7101645630783892, 'w': 0.7040356027016438}}}"
2025/05/21 10:41:23.809032754,"{'header': {'stamp': {'secs': 1747816883, 'nsecs': 795404004}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 26.491286413752366, 'y': 0.5963281249076053, 'z': 0.433695418813209}, 'rotation': {'x': -0.00027837927033397676, 'y': -0.00029455165446823416, 'z': 0.7101514390203699, 'w': 0.7040488402103952}}}"
2025/05/21 10:41:23.900678888,"{'header': {'stamp': {'secs': 1747816883, 'nsecs': 891692192}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 26.491374765189885, 'y': 0.5962676150137375, 'z': 0.43369474670981384}, 'rotation': {'x': -0.00028993107895004697, 'y': -0.00028373873465437023, 'z': 0.7101382259644605, 'w': 0.7040621673235602}}}"
2025/05/21 10:41:24.4920334,"{'header': {'stamp': {'secs': 1747816883, 'nsecs': 990178360}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 26.4914631927524, 'y': 0.5963608427415122, 'z': 0.4336938005004858}, 'rotation': {'x': -0.00028551548748629706, 'y': -0.0002872244735003115, 'z': 0.7101249832985008, 'w': 0.7040755244136188}}}"
2025/05/21 10:41:24.101454023,"{'header': {'stamp': {'secs': 1747816884, 'nsecs': 93440684}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 26.491551549121795, 'y': 0.5964269275455714, 'z': 0.4336932340007381}, 'rotation': {'x': -0.000283128721854058, 'y': -0.00028899300332473624, 'z': 0.7101117488491155, 'w': 0.7040888725634155}}}"
2025/05/21 10:41:24.201723565,"{'header': {'stamp': {'secs': 1747816884, 'nsecs': 191839525}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 26.4916414914906, 'y': 0.5964332567904472, 'z': 0.43369183782528287}, 'rotation': {'x': -0.0002868451174034485, 'y': -0.0002832296836545968, 'z': 0.7100985348319798, 'w': 0.7041022002027124}}}"
2025/05/21 10:41:24.306358055,"{'header': {'stamp': {'secs': 1747816884, 'nsecs': 295139420}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 26.49173069141114, 'y': 0.5965338822518215, 'z': 0.43369097392515643}, 'rotation': {'x': -0.00028149195268825997, 'y': -0.0002860533973511823, 'z': 0.7100853459051174, 'w': 0.7041155022200152}}}"
2025/05/21 10:41:24.404023224,"{'header': {'stamp': {'secs': 1747816884, 'nsecs': 393369640}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 26.491820092394345, 'y': 0.5965985083040186, 'z': 0.4336903789632328}, 'rotation': {'x': -0.0002801458319713881, 'y': -0.0002848751350448505, 'z': 0.7100721711294757, 'w': 0.7041287894639323}}}"
2025/05/21 10:41:24.512775090,"{'header': {'stamp': {'secs': 1747816884, 'nsecs': 495099677}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 26.491909796982167, 'y': 0.5966111146044607, 'z': 0.4336895997980751}, 'rotation': {'x': -0.00028479956287264657, 'y': -0.000277710398268473, 'z': 0.7100590152716715, 'w': 0.704142057114591}}}"
