time,throttle_reference,angle_reference
2025/05/07 10:38:44.715593820,0,135
2025/05/07 10:38:44.815459800,0,135
2025/05/07 10:38:44.916309290,0,135
2025/05/07 10:38:45.12645417,0,135
2025/05/07 10:38:45.114844130,0,135
2025/05/07 10:38:45.212484351,0,135
2025/05/07 10:38:45.312053472,0,135
2025/05/07 10:38:45.412321477,0,135
2025/05/07 10:38:45.512720735,0,135
2025/05/07 10:38:45.614721820,0,135
2025/05/07 10:38:45.715133316,0,135
2025/05/07 10:38:45.812743464,0,135
2025/05/07 10:38:45.912043530,0,135
2025/05/07 10:38:46.12125566,0,135
2025/05/07 10:38:46.129510178,0,135
2025/05/07 10:38:46.216323077,0,135
2025/05/07 10:38:46.320222570,0,135
2025/05/07 10:38:46.416113245,0,135
2025/05/07 10:38:46.788965926,0,135
2025/05/07 10:38:46.790880587,0,135
2025/05/07 10:38:46.791122421,0,135
2025/05/07 10:38:46.818530334,0,135
2025/05/07 10:38:46.916502727,0,135
2025/05/07 10:38:47.16438460,0,135
2025/05/07 10:38:47.112710343,0,135
2025/05/07 10:38:47.218691514,0,135
2025/05/07 10:38:47.316473953,0,135
2025/05/07 10:38:47.419708371,0,135
2025/05/07 10:38:47.527842521,0,135
2025/05/07 10:38:47.632266237,0,135
2025/05/07 10:38:47.774303448,0,135
2025/05/07 10:38:47.817434297,0,135
2025/05/07 10:38:47.987787856,0,135
2025/05/07 10:38:48.23972484,0,135
2025/05/07 10:38:48.124191246,0,135
2025/05/07 10:38:48.216896721,0,135
2025/05/07 10:38:48.360824245,0,135
2025/05/07 10:38:48.421468369,0,135
2025/05/07 10:38:48.537682734,0,135
2025/05/07 10:38:48.653734346,0,135
2025/05/07 10:38:48.726272903,0,135
2025/05/07 10:38:48.824398336,0,135
2025/05/07 10:38:48.916805049,0,135
2025/05/07 10:38:49.19408090,0,135
2025/05/07 10:38:49.119079666,0,135
2025/05/07 10:38:49.220965223,0,135
2025/05/07 10:38:49.321124690,0,135
2025/05/07 10:38:49.420302147,0,135
2025/05/07 10:38:49.513871279,0,135
2025/05/07 10:38:49.621516390,0,135
2025/05/07 10:38:49.716912734,0,135
2025/05/07 10:38:49.812756480,0,135
2025/05/07 10:38:49.914025959,0,135
2025/05/07 10:38:50.12328177,0,135
2025/05/07 10:38:50.115986818,0,135
2025/05/07 10:38:50.212470252,0,135
2025/05/07 10:38:50.314897379,0,135
2025/05/07 10:38:50.415369653,0,135
2025/05/07 10:38:50.520268436,0,135
2025/05/07 10:38:50.653581160,0,135
2025/05/07 10:38:50.728660661,0,135
2025/05/07 10:38:50.857907484,0,135
2025/05/07 10:38:50.952774838,0,135
2025/05/07 10:38:51.20228947,0,135
2025/05/07 10:38:51.121065656,0,135
2025/05/07 10:38:51.255663875,0,135
2025/05/07 10:38:51.327792048,0,135
2025/05/07 10:38:51.426593030,0,135
2025/05/07 10:38:51.524254063,0,135
2025/05/07 10:38:51.668827711,0,135
2025/05/07 10:38:51.747240733,0,135
2025/05/07 10:38:51.814988195,0,135
2025/05/07 10:38:51.916362151,0,135
2025/05/07 10:38:52.21115096,0,135
2025/05/07 10:38:52.127680230,0,135
2025/05/07 10:38:52.213959807,0,135
2025/05/07 10:38:52.312651069,0,135
2025/05/07 10:38:52.426788818,0,135
2025/05/07 10:38:52.547745961,0,135
2025/05/07 10:38:52.668734097,0,135
2025/05/07 10:38:52.768419428,0,135
2025/05/07 10:38:52.814776048,0,135
2025/05/07 10:38:52.914394399,0,135
2025/05/07 10:38:53.17953144,0,135
2025/05/07 10:38:53.119956406,0,135
2025/05/07 10:38:53.214098356,0,135
2025/05/07 10:38:53.312881258,0,135
2025/05/07 10:38:53.415010373,0,135
2025/05/07 10:38:53.515508416,0,135
2025/05/07 10:38:53.612535192,0,135
2025/05/07 10:38:53.712627666,0,135
2025/05/07 10:38:53.814520020,0,135
2025/05/07 10:38:53.914958694,0,135
2025/05/07 10:38:54.12010205,0,135
2025/05/07 10:38:54.111895444,0,135
2025/05/07 10:38:54.212513310,0,135
2025/05/07 10:38:54.311910437,0,135
2025/05/07 10:38:54.412308704,0,135
2025/05/07 10:38:54.522276603,0,135
2025/05/07 10:38:54.615712568,0,135
2025/05/07 10:38:54.713827049,0,135
2025/05/07 10:38:54.811937882,0,135
2025/05/07 10:38:54.915103379,0,135
2025/05/07 10:38:55.11799955,0,135
2025/05/07 10:38:55.116086826,0,135
2025/05/07 10:38:55.215015407,0,135
2025/05/07 10:38:55.312767467,0,135
2025/05/07 10:38:55.411832085,0,135
2025/05/07 10:38:55.512315575,0,135
2025/05/07 10:38:55.612322297,0,135
2025/05/07 10:38:55.715228145,0,135
2025/05/07 10:38:55.812413309,0,135
2025/05/07 10:38:55.912093426,0,135
2025/05/07 10:38:56.12478014,0,135
2025/05/07 10:38:56.112580378,0,135
2025/05/07 10:38:56.213167113,0,135
2025/05/07 10:38:56.320539547,0,135
2025/05/07 10:38:56.412994813,0,135
2025/05/07 10:38:56.511925372,0,135
2025/05/07 10:38:56.611935119,0,135
2025/05/07 10:38:56.712067122,0,135
2025/05/07 10:38:56.813410796,0,135
2025/05/07 10:38:56.912455046,0,135
2025/05/07 10:38:57.11957680,0,135
2025/05/07 10:38:57.111857157,0,135
2025/05/07 10:38:57.212318560,0,135
2025/05/07 10:38:57.311985662,0,135
2025/05/07 10:38:57.412014960,0,135
2025/05/07 10:38:57.524550044,0,135
2025/05/07 10:38:57.615521452,0,135
2025/05/07 10:38:57.712133720,0,135
2025/05/07 10:38:57.814260939,0,135
2025/05/07 10:38:57.912043395,0,135
2025/05/07 10:38:58.12233910,0,135
2025/05/07 10:38:58.113151318,0,135
2025/05/07 10:38:58.212323243,0,135
2025/05/07 10:38:58.312674637,0,135
2025/05/07 10:38:58.412951507,0,135
2025/05/07 10:38:58.512183255,0,135
2025/05/07 10:38:58.612277028,0,135
2025/05/07 10:38:58.711890868,0,135
