time,throttle_reference,angle_reference
2025/05/07 10:40:42.434639417,0,-113
2025/05/07 10:40:42.514678946,0,-113
2025/05/07 10:40:42.622734037,0,-114
2025/05/07 10:40:42.720798213,0,-114
2025/05/07 10:40:42.844116595,0,-115
2025/05/07 10:40:42.913480879,0,-115
2025/05/07 10:40:43.44721462,0,-115
2025/05/07 10:40:43.123594063,0,-116
2025/05/07 10:40:43.223431080,0,-116
2025/05/07 10:40:43.326650643,0,-117
2025/05/07 10:40:43.443308296,0,-117
2025/05/07 10:40:43.600884765,0,-117
2025/05/07 10:40:43.660908482,0,-118
2025/05/07 10:40:43.732826393,0,-118
2025/05/07 10:40:43.835253881,0,-118
2025/05/07 10:40:43.928554331,0,-119
2025/05/07 10:40:44.35050820,0,-119
2025/05/07 10:40:44.117072341,0,-119
2025/05/07 10:40:44.219426495,0,-119
2025/05/07 10:40:44.394146995,0,-120
2025/05/07 10:40:44.445892952,0,-120
2025/05/07 10:40:44.541669092,0,-120
2025/05/07 10:40:44.622808011,0,-121
2025/05/07 10:40:44.733833627,0,-121
2025/05/07 10:40:45.30994537,0,-122
2025/05/07 10:40:45.112400114,0,-122
2025/05/07 10:40:45.254513444,0,-122
2025/05/07 10:40:45.351600571,0,-122
2025/05/07 10:40:45.419714408,0,-123
2025/05/07 10:40:45.523776915,0,-123
2025/05/07 10:40:45.619677118,0,-123
2025/05/07 10:40:45.734942114,0,-123
2025/05/07 10:40:45.854901814,0,-124
2025/05/07 10:40:45.928098108,0,-124
2025/05/07 10:40:46.31667591,0,-124
2025/05/07 10:40:46.118020962,0,-124
2025/05/07 10:40:46.220477698,0,-124
2025/05/07 10:40:46.385719031,0,-125
2025/05/07 10:40:46.415053130,0,-125
2025/05/07 10:40:46.516043471,0,-125
2025/05/07 10:40:46.615551926,0,-125
2025/05/07 10:40:46.718822889,0,-125
2025/05/07 10:40:46.817954091,0,-126
2025/05/07 10:40:46.920567344,0,-126
2025/05/07 10:40:47.20136809,0,-126
2025/05/07 10:40:47.128843086,0,-126
2025/05/07 10:40:47.221086819,0,-126
2025/05/07 10:40:47.324813199,0,-126
2025/05/07 10:40:47.417686118,0,-127
2025/05/07 10:40:47.549895832,0,-127
2025/05/07 10:40:47.630155145,0,-127
2025/05/07 10:40:47.714688716,0,-127
2025/05/07 10:40:47.813956800,0,-127
2025/05/07 10:40:47.919925925,48,-127
2025/05/07 10:40:48.30456166,0,-127
2025/05/07 10:40:48.114019688,0,-128
2025/05/07 10:40:48.213148697,0,-128
2025/05/07 10:40:48.312809843,0,-128
2025/05/07 10:40:48.414928836,0,-128
2025/05/07 10:40:48.515486126,0,-128
2025/05/07 10:40:48.616593514,0,-128
2025/05/07 10:40:48.714442141,0,-128
2025/05/07 10:40:48.830394700,0,-128
2025/05/07 10:40:48.914362534,0,-129
2025/05/07 10:40:49.37272421,12,-129
2025/05/07 10:40:49.113143147,12,-129
2025/05/07 10:40:49.213567878,12,-129
2025/05/07 10:40:49.312022051,12,-129
2025/05/07 10:40:49.412025244,12,-129
2025/05/07 10:40:49.512041510,12,-129
2025/05/07 10:40:49.611490578,12,-129
2025/05/07 10:40:49.711281046,12,-129
2025/05/07 10:40:49.811942328,12,-130
2025/05/07 10:40:49.911904264,12,-130
2025/05/07 10:40:50.11957129,12,-130
2025/05/07 10:40:50.111468367,12,-130
2025/05/07 10:40:50.212114697,12,-130
2025/05/07 10:40:50.312858625,12,-130
2025/05/07 10:40:50.413922916,12,-130
2025/05/07 10:40:50.512036642,12,-130
2025/05/07 10:40:50.615647641,12,-130
2025/05/07 10:40:50.713512632,12,-130
2025/05/07 10:40:50.814030521,70,-130
2025/05/07 10:40:50.913715225,70,-130
2025/05/07 10:40:51.11768476,70,-130
2025/05/07 10:40:51.111876214,70,-130
2025/05/07 10:40:51.211637650,70,-130
2025/05/07 10:40:51.313038815,70,-130
2025/05/07 10:40:51.411959496,69,-130
2025/05/07 10:40:51.512457726,25,-130
2025/05/07 10:40:51.611752480,25,-130
2025/05/07 10:40:51.711281069,25,-130
2025/05/07 10:40:51.811252683,25,-131
2025/05/07 10:40:51.912945399,25,-131
