time,data
2025/05/07 10:40:43.665164621,direct_actuator_control
2025/05/07 10:40:43.834813429,direct_actuator_control
2025/05/07 10:40:43.860312692,direct_actuator_control
2025/05/07 10:40:44.34924331,direct_actuator_control
2025/05/07 10:40:44.63154517,direct_actuator_control
2025/05/07 10:40:44.160818928,direct_actuator_control
2025/05/07 10:40:44.265559618,direct_actuator_control
2025/05/07 10:40:44.403220884,direct_actuator_control
2025/05/07 10:40:44.461676519,direct_actuator_control
2025/05/07 10:40:44.563442630,direct_actuator_control
2025/05/07 10:40:44.668458233,direct_actuator_control
2025/05/07 10:40:44.803183985,direct_actuator_control
2025/05/07 10:40:45.33788713,direct_actuator_control
2025/05/07 10:40:45.33915931,direct_actuator_control
2025/05/07 10:40:45.67690904,direct_actuator_control
2025/05/07 10:40:45.238814926,direct_actuator_control
2025/05/07 10:40:45.268332753,direct_actuator_control
2025/05/07 10:40:45.383678715,direct_actuator_control
2025/05/07 10:40:45.523977191,direct_actuator_control
2025/05/07 10:40:45.576172471,direct_actuator_control
2025/05/07 10:40:45.669245931,direct_actuator_control
2025/05/07 10:40:45.806355047,direct_actuator_control
2025/05/07 10:40:45.875950588,direct_actuator_control
2025/05/07 10:40:45.977099302,direct_actuator_control
2025/05/07 10:40:46.93080422,direct_actuator_control
2025/05/07 10:40:46.220596185,direct_actuator_control
2025/05/07 10:40:46.287023918,direct_actuator_control
2025/05/07 10:40:46.386680948,direct_actuator_control
2025/05/07 10:40:46.488060582,direct_actuator_control
2025/05/07 10:40:46.586827965,direct_actuator_control
2025/05/07 10:40:46.686995755,direct_actuator_control
2025/05/07 10:40:46.787609404,direct_actuator_control
2025/05/07 10:40:46.887720559,direct_actuator_control
2025/05/07 10:40:46.997124984,direct_actuator_control
2025/05/07 10:40:47.88444166,direct_actuator_control
2025/05/07 10:40:47.189615205,direct_actuator_control
2025/05/07 10:40:47.289718219,direct_actuator_control
2025/05/07 10:40:47.389167187,direct_actuator_control
2025/05/07 10:40:47.489240019,direct_actuator_control
2025/05/07 10:40:47.589643151,direct_actuator_control
2025/05/07 10:40:47.690263359,direct_actuator_control
2025/05/07 10:40:47.790809312,direct_actuator_control
2025/05/07 10:40:47.890632150,direct_actuator_control
2025/05/07 10:40:47.994958162,dp
2025/05/07 10:40:47.995629814,dp
2025/05/07 10:40:48.91921626,dp
2025/05/07 10:40:48.191486798,dp
2025/05/07 10:40:48.291724291,dp
2025/05/07 10:40:48.392239562,dp
2025/05/07 10:40:48.498141259,dp
2025/05/07 10:40:48.592600716,dp
2025/05/07 10:40:48.692725590,dp
2025/05/07 10:40:48.793325252,dp
2025/05/07 10:40:48.894123750,dp
2025/05/07 10:40:48.994222422,dp
2025/05/07 10:40:49.94297886,dp
2025/05/07 10:40:49.194637686,dp
2025/05/07 10:40:49.295246068,dp
2025/05/07 10:40:49.395202466,dp
2025/05/07 10:40:49.495473311,dp
2025/05/07 10:40:49.596771266,dp
2025/05/07 10:40:49.695960565,dp
2025/05/07 10:40:49.796392198,dp
2025/05/07 10:40:49.896397768,dp
2025/05/07 10:40:49.997203771,dp
