time,transforms_0
2025/05/07 10:42:11.486310583,"{'header': {'stamp': {'secs': 1746607331, 'nsecs': 475665209}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 302.20782098596544, 'y': 978.3873268552212, 'z': -40.82689315202038}, 'rotation': {'x': 0.008392897294508636, 'y': -0.00894287211311115, 'z': 0.34894087688986003, 'w': 0.9370644848401352}}}"
2025/05/07 10:42:11.532518889,"{'header': {'stamp': {'secs': 1746607329, 'nsecs': 656496692}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 301.70174131949597, 'y': 977.8670059008135, 'z': -40.82621772461451}, 'rotation': {'x': 0.007353581318308803, 'y': -0.008472015334464098, 'z': 0.3388651814250711, 'w': 0.9407680578206944}}}"
2025/05/07 10:42:11.532893684,"{'header': {'stamp': {'secs': 1746607330, 'nsecs': 709606553}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 301.97590206794695, 'y': 978.1468759698, 'z': -40.821895682271176}, 'rotation': {'x': 0.00796138234191386, 'y': -0.009607822344386518, 'z': 0.3449301155901248, 'w': 0.93854542857551}}}"
2025/05/07 10:42:11.658783911,"{'header': {'stamp': {'secs': 1746607328, 'nsecs': 569315745}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 301.5606115952731, 'y': 977.724370125326, 'z': -40.83068701530139}, 'rotation': {'x': 0.00837701342708055, 'y': -0.009681988809437684, 'z': 0.3414388830907255, 'w': 0.9398167767456029}}}"
2025/05/07 10:42:12.226442154,"{'header': {'stamp': {'secs': 1746607332, 'nsecs': 210092892}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 302.4572631943109, 'y': 978.6479132640094, 'z': -40.84063264287312}, 'rotation': {'x': 0.008313169859838682, 'y': -0.007763745491573025, 'z': 0.3540250631541565, 'w': 0.9351667605948787}}}"
2025/05/07 10:42:12.924573246,"{'header': {'stamp': {'secs': 1746607332, 'nsecs': 905707866}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 302.6559129428403, 'y': 978.8660909189837, 'z': -40.845158449931}, 'rotation': {'x': 0.009291629315141376, 'y': -0.008515251390042841, 'z': 0.35734943960325094, 'w': 0.9338857179193164}}}"
2025/05/07 10:42:13.603883551,"{'header': {'stamp': {'secs': 1746607333, 'nsecs': 585496435}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 302.78750827987295, 'y': 979.0224745600634, 'z': -40.84315104530645}, 'rotation': {'x': 0.008930439261295515, 'y': -0.007550571475335929, 'z': 0.35956980701547264, 'w': 0.9330449024606757}}}"
2025/05/07 10:42:13.760388473,"{'header': {'stamp': {'secs': 1746607327, 'nsecs': 689439822}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 301.2051224420085, 'y': 977.3724491159552, 'z': -40.84426724983682}, 'rotation': {'x': 0.006661047655289248, 'y': -0.009771282331641701, 'z': 0.3384526964356999, 'w': 0.9409090948445197}}}"
2025/05/07 10:42:14.205112716,"{'header': {'stamp': {'secs': 1746607334, 'nsecs': 200871596}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 302.9147399367934, 'y': 979.1750700507431, 'z': -40.83944132589486}, 'rotation': {'x': 0.012198624035811666, 'y': -0.010729790448449919, 'z': 0.36255696285004413, 'w': 0.9318200007820808}}}"
2025/05/07 10:42:14.877470575,"{'header': {'stamp': {'secs': 1746607334, 'nsecs': 871343645}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 303.0342304389245, 'y': 979.3169475063461, 'z': -40.84138993116565}, 'rotation': {'x': 0.011710811113005754, 'y': -0.009562207047201784, 'z': 0.3661611330089237, 'w': 0.9304286355078949}}}"
2025/05/07 10:42:15.660301637,"{'header': {'stamp': {'secs': 1746607335, 'nsecs': 586404461}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 303.1572337696009, 'y': 979.4641561537732, 'z': -40.84628966703901}, 'rotation': {'x': 0.00995773632972776, 'y': -0.008016151262245901, 'z': 0.36983675760188245, 'w': 0.9290088037971734}}}"
2025/05/07 10:42:16.371447635,"{'header': {'stamp': {'secs': 1746607336, 'nsecs': 359443212}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 303.2950389985191, 'y': 979.6355959919381, 'z': -40.848692078141546}, 'rotation': {'x': 0.007940947737334572, 'y': -0.008560761990767309, 'z': 0.3749143087077944, 'w': 0.9269859307612641}}}"
2025/05/07 10:42:17.361449306,"{'header': {'stamp': {'secs': 1746607337, 'nsecs': 328457004}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 303.44923699682397, 'y': 979.8487011744112, 'z': -40.83981059631035}, 'rotation': {'x': 0.006405201601233956, 'y': -0.007995597890892337, 'z': 0.3830238116571694, 'w': 0.9236816570174098}}}"
2025/05/07 10:42:18.654371874,"{'header': {'stamp': {'secs': 1746607338, 'nsecs': 563396662}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 303.6284547118481, 'y': 980.1326367117864, 'z': -40.82437521280183}, 'rotation': {'x': 0.005356186944005563, 'y': -0.009055045541690973, 'z': 0.39266222488457425, 'w': 0.9196225826720192}}}"
2025/05/07 10:42:19.519591032,"{'header': {'stamp': {'secs': 1746607339, 'nsecs': 514559679}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 303.74413164442836, 'y': 980.3364886325528, 'z': -40.82975577045985}, 'rotation': {'x': 0.005399172649853594, 'y': -0.009827192936931992, 'z': 0.395327572443654, 'w': 0.9184717664030206}}}"
2025/05/07 10:42:20.109592230,"{'header': {'stamp': {'secs': 1746607340, 'nsecs': 105609473}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 303.8063962830657, 'y': 980.4544387725971, 'z': -40.83596803188715}, 'rotation': {'x': 0.0035961982767082684, 'y': -0.0099257653968176, 'z': 0.3959395546821425, 'w': 0.9182158872385887}}}"
2025/05/07 10:42:20.670624884,"{'header': {'stamp': {'secs': 1746607340, 'nsecs': 656410922}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 303.8586281320808, 'y': 980.5581852235589, 'z': -40.83616868314677}, 'rotation': {'x': 0.001878269861506878, 'y': -0.011327892991214747, 'z': 0.399271562924965, 'w': 0.916760803035428}}}"
2025/05/07 10:42:21.360147446,"{'header': {'stamp': {'secs': 1746607341, 'nsecs': 340619500}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 303.91745637581425, 'y': 980.6793540425518, 'z': -40.83160841882951}, 'rotation': {'x': 0.004053868373396101, 'y': -0.010153267209599127, 'z': 0.4057741563542182, 'w': 0.9139079884491678}}}"
2025/05/07 10:42:21.930050278,"{'header': {'stamp': {'secs': 1746607341, 'nsecs': 925613057}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 303.9766976998367, 'y': 980.7895832444871, 'z': -40.82886482225351}, 'rotation': {'x': 0.004909887277130799, 'y': -0.009898845706344722, 'z': 0.4093632596215253, 'w': 0.9123045695011329}}}"
2025/05/07 10:42:22.503658619,"{'header': {'stamp': {'secs': 1746607342, 'nsecs': 499388829}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 304.0386001038854, 'y': 980.8994376207553, 'z': -40.82720054481526}, 'rotation': {'x': 0.004150751856976665, 'y': -0.01071527700311941, 'z': 0.41323442913399877, 'w': 0.9105521735057616}}}"
2025/05/07 10:42:23.102611789,"{'header': {'stamp': {'secs': 1746607343, 'nsecs': 98977803}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 304.09642813129835, 'y': 981.0099541088586, 'z': -40.82509835228528}, 'rotation': {'x': 0.004182261808541103, 'y': -0.009960898782503422, 'z': 0.4182493382919202, 'w': 0.9082680112169428}}}"
2025/05/07 10:42:23.802580301,"{'header': {'stamp': {'secs': 1746607343, 'nsecs': 797021964}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 304.1576155243712, 'y': 981.1340595720526, 'z': -40.82409502239003}, 'rotation': {'x': 0.005726910481580642, 'y': -0.01144363517971015, 'z': 0.4245707673662159, 'w': 0.9053043185626987}}}"
2025/05/07 10:42:24.449480969,"{'header': {'stamp': {'secs': 1746607344, 'nsecs': 444798789}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 304.2173294667061, 'y': 981.262933284796, 'z': -40.82340700260321}, 'rotation': {'x': 0.003792860569810006, 'y': -0.009979937494225717, 'z': 0.42971893155062346, 'w': 0.9028995818601867}}}"
2025/05/07 10:42:25.84790949,"{'header': {'stamp': {'secs': 1746607345, 'nsecs': 80192198}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 304.27867280281464, 'y': 981.3984879832034, 'z': -40.82517015435861}, 'rotation': {'x': 0.004000650154369948, 'y': -0.010746742254001258, 'z': 0.4358191385109744, 'w': 0.8999612107401188}}}"
2025/05/07 10:42:25.682367411,"{'header': {'stamp': {'secs': 1746607345, 'nsecs': 678141097}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 304.341278278557, 'y': 981.531688137082, 'z': -40.831060734897925}, 'rotation': {'x': 0.0036153782599456733, 'y': -0.011557886353050455, 'z': 0.44007355921659347, 'w': 0.8978800625815939}}}"
2025/05/07 10:42:26.279500148,"{'header': {'stamp': {'secs': 1746607346, 'nsecs': 275097843}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 304.40631047454207, 'y': 981.6722169321594, 'z': -40.836179119855984}, 'rotation': {'x': 0.004644475962384168, 'y': -0.011098681917366208, 'z': 0.4444658005317151, 'w': 0.8957150217900969}}}"
2025/05/07 10:42:26.858089153,"{'header': {'stamp': {'secs': 1746607346, 'nsecs': 854762210}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 304.47290932068944, 'y': 981.8193949911855, 'z': -40.834659751950745}, 'rotation': {'x': 0.003803224674185793, 'y': -0.010093643118419177, 'z': 0.4475442942121669, 'w': 0.8941967113386232}}}"
2025/05/07 10:42:27.470872001,"{'header': {'stamp': {'secs': 1746607347, 'nsecs': 439261702}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 304.5365975879069, 'y': 981.9644145610487, 'z': -40.83325484074718}, 'rotation': {'x': 0.005075368955974016, 'y': -0.010689776641668024, 'z': 0.4509388705591671, 'w': 0.8924763886647841}}}"
2025/05/07 10:42:28.64095829,"{'header': {'stamp': {'secs': 1746607348, 'nsecs': 47283985}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 304.611913074216, 'y': 982.1294615270289, 'z': -40.83820911524585}, 'rotation': {'x': 0.006281438822563661, 'y': -0.010311301207259075, 'z': 0.4550794921017991, 'w': 0.8903689552438923}}}"
2025/05/07 10:42:28.636316057,"{'header': {'stamp': {'secs': 1746607348, 'nsecs': 632041946}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 304.69835591071666, 'y': 982.3005777920306, 'z': -40.84611840047248}, 'rotation': {'x': 0.005579232952932165, 'y': -0.010405361183710578, 'z': 0.457640703289644, 'w': 0.8890588210635185}}}"
2025/05/07 10:42:29.211399248,"{'header': {'stamp': {'secs': 1746607349, 'nsecs': 206828889}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 304.7857863445298, 'y': 982.4850835910052, 'z': -40.844875416198526}, 'rotation': {'x': 0.005496734322966769, 'y': -0.008117100149583745, 'z': 0.4576820031472088, 'w': 0.8890619115630265}}}"
2025/05/07 10:42:29.790374769,"{'header': {'stamp': {'secs': 1746607349, 'nsecs': 771457309}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 304.8643462619421, 'y': 982.6702003020148, 'z': -40.83583389534904}, 'rotation': {'x': 0.005525497604288185, 'y': -0.008935577444259997, 'z': 0.45684290224089164, 'w': 0.8894853495162705}}}"
2025/05/07 10:42:30.390746338,"{'header': {'stamp': {'secs': 1746607350, 'nsecs': 366406008}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 304.9517882820885, 'y': 982.874656000594, 'z': -40.82747403571353}, 'rotation': {'x': 0.005442167789676296, 'y': -0.0090381342284761, 'z': 0.45777390119170297, 'w': 0.8890060462826707}}}"
2025/05/07 10:42:30.940337716,"{'header': {'stamp': {'secs': 1746607350, 'nsecs': 936469386}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 305.0370642774703, 'y': 983.0628470531841, 'z': -40.82940156937703}, 'rotation': {'x': 0.00506196194193429, 'y': -0.010083113901671657, 'z': 0.45991752108243866, 'w': 0.8878899600495148}}}"
2025/05/07 10:42:31.518400676,"{'header': {'stamp': {'secs': 1746607351, 'nsecs': 512818860}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 305.1313383056929, 'y': 983.2769914067774, 'z': -40.83644921539334}, 'rotation': {'x': 0.0051072885157263355, 'y': -0.010069847897004007, 'z': 0.46044543087609685, 'w': 0.8876162002536198}}}"
2025/05/07 10:42:32.137104124,"{'header': {'stamp': {'secs': 1746607352, 'nsecs': 122843809}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 305.22892959325054, 'y': 983.5066313708245, 'z': -40.8401387140273}, 'rotation': {'x': 0.004982323827870823, 'y': -0.008248848214710681, 'z': 0.4586013453208844, 'w': 0.8885898598466447}}}"
2025/05/07 10:42:32.768087469,"{'header': {'stamp': {'secs': 1746607352, 'nsecs': 743134614}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 305.33517833546756, 'y': 983.7516113634016, 'z': -40.836006891220904}, 'rotation': {'x': 0.005136860514160728, 'y': -0.01011505143088529, 'z': 0.45660494345669383, 'w': 0.8895972257204482}}}"
2025/05/07 10:42:33.320953517,"{'header': {'stamp': {'secs': 1746607353, 'nsecs': 316670702}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 305.44869125390903, 'y': 984.0084035533645, 'z': -40.82646574670124}, 'rotation': {'x': 0.0055602349089590355, 'y': -0.010807643988279807, 'z': 0.4574186649034091, 'w': 0.8891684000329536}}}"
2025/05/07 10:42:33.891019729,"{'header': {'stamp': {'secs': 1746607353, 'nsecs': 886373719}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 305.5633402775669, 'y': 984.2508642318701, 'z': -40.82165820485833}, 'rotation': {'x': 0.005835427335346197, 'y': -0.009573009931367183, 'z': 0.46118344029802355, 'w': 0.8872339824778733}}}"
2025/05/07 10:42:34.482720661,"{'header': {'stamp': {'secs': 1746607354, 'nsecs': 477411902}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 305.70801172621, 'y': 984.528742708136, 'z': -40.82166471819102}, 'rotation': {'x': 0.00527315902747532, 'y': -0.01063021062354886, 'z': 0.46579724504963443, 'w': 0.8848119116061565}}}"
2025/05/07 10:42:35.86813198,"{'header': {'stamp': {'secs': 1746607355, 'nsecs': 56037525}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 305.86499570143377, 'y': 984.8306758162134, 'z': -40.82077947536257}, 'rotation': {'x': 0.0052660087446043625, 'y': -0.00970955359025651, 'z': 0.46795283024286877, 'w': 0.8836844133448708}}}"
2025/05/07 10:42:35.672930044,"{'header': {'stamp': {'secs': 1746607355, 'nsecs': 642017034}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 306.0160843274645, 'y': 985.1303167695758, 'z': -40.819880332476636}, 'rotation': {'x': 0.005669718887462118, 'y': -0.010136478628276425, 'z': 0.4677761720484622, 'w': 0.8837706483881682}}}"
2025/05/07 10:42:36.205099147,"{'header': {'stamp': {'secs': 1746607356, 'nsecs': 201943623}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 306.18802298111035, 'y': 985.4752246057225, 'z': -40.82317489071432}, 'rotation': {'x': 0.005372400282497921, 'y': -0.010055076533796994, 'z': 0.46702335821575136, 'w': 0.884171485421231}}}"
2025/05/07 10:42:36.803467359,"{'header': {'stamp': {'secs': 1746607356, 'nsecs': 800012287}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 306.3707309556532, 'y': 985.8306006238574, 'z': -40.82847407088929}, 'rotation': {'x': 0.003916867643688638, 'y': -0.011602679744240089, 'z': 0.4667271655990454, 'w': 0.8843165659776456}}}"
