time,north,east,heading
2025/04/09 09:49:46.902533920,7.67627975559729e-05,-1.99756226379591e-06,1.7557224679642956e-06
2025/04/09 09:49:46.999251334,7.610427686192798e-05,-1.9804258887747e-06,1.7406607503654787e-06
2025/04/09 09:49:47.100186298,7.545140538224159e-05,-1.9634365205691e-06,1.725728241876396e-06
2025/04/09 09:49:47.199923709,7.480413465427537e-05,-1.9465928980368074e-06,1.7109238340581247e-06
2025/04/09 09:49:47.302550382,7.416241663127165e-05,-1.929893770977879e-06,1.6962464279806438e-06
2025/04/09 09:49:47.400825049,7.352620367858753e-05,-1.9133378997794583e-06,1.681694934141262e-06
2025/04/09 09:49:47.499896028,7.289544857021324e-05,-1.8969240555578833e-06,1.6672682723837432e-06
2025/04/09 09:49:47.600014452,7.227010448514837e-05,-1.880651019874471e-06,1.6529653718181268e-06
2025/04/09 09:49:47.699243813,7.165012500420444e-05,-1.8645175847355163e-06,1.638785170741236e-06
2025/04/09 09:49:47.800094186,7.103546410638108e-05,-1.8485225525922925e-06,1.6247266165578674e-06
2025/04/09 09:49:47.899182922,7.042607616545551e-05,-1.8326647361989422e-06,1.6107886657026564e-06
2025/04/09 09:49:48.319488,6.982191594664292e-05,-1.8169429583993152e-06,1.596970283562614e-06
2025/04/09 09:49:48.100014530,6.922293860318589e-05,-1.8013560521269678e-06,1.5832704444003276e-06
2025/04/09 09:49:48.199382413,6.862909967301483e-05,-1.7859028603341093e-06,1.5696881312778207e-06
2025/04/09 09:49:48.301712511,6.804035507547951e-05,-1.7705822359916014e-06,1.5562223359810652e-06
2025/04/09 09:49:48.400592416,6.745666110815158e-05,-1.7553930418757955e-06,1.5428720589451418e-06
2025/04/09 09:49:48.501791868,6.687797444348505e-05,-1.740334150426424e-06,1.5296363091800428e-06
2025/04/09 09:49:48.599626420,6.630425212554777e-05,-1.7254044438176553e-06,1.5165141041971106e-06
