time,throttle_reference,angle_reference
2025/04/09 09:59:46.531923242,6,45
2025/04/09 09:59:46.633995250,11,46
2025/04/09 09:59:46.731574852,11,46
2025/04/09 09:59:46.822439802,8,45
2025/04/09 09:59:46.923950700,8,45
2025/04/09 09:59:47.22473687,11,46
2025/04/09 09:59:47.124206482,3,45
2025/04/09 09:59:47.235779185,8,45
2025/04/09 09:59:47.334450729,5,45
2025/04/09 09:59:47.421855691,5,45
2025/04/09 09:59:47.523556478,4,45
2025/04/09 09:59:47.626980640,2,44
2025/04/09 09:59:47.721885833,2,44
2025/04/09 09:59:47.823041074,5,45
2025/04/09 09:59:47.924529612,3,44
2025/04/09 09:59:48.25295197,7,45
2025/04/09 09:59:48.123702322,3,44
2025/04/09 09:59:48.225361095,8,45
2025/04/09 09:59:48.324585151,3,44
2025/04/09 09:59:48.423052659,8,45
2025/04/09 09:59:48.527188351,3,44
2025/04/09 09:59:48.625210347,8,45
2025/04/09 09:59:48.723068276,3,44
2025/04/09 09:59:48.823272785,8,45
2025/04/09 09:59:48.923975042,6,45
2025/04/09 09:59:49.21775864,5,45
2025/04/09 09:59:49.124482860,2,44
2025/04/09 09:59:49.223879056,7,45
2025/04/09 09:59:49.326179440,3,44
2025/04/09 09:59:49.429572159,7,45
2025/04/09 09:59:49.524092144,3,44
2025/04/09 09:59:49.621751617,3,44
2025/04/09 09:59:49.723130015,7,45
2025/04/09 09:59:49.825191626,3,44
2025/04/09 09:59:49.930233007,7,45
2025/04/09 09:59:50.30736083,2,44
2025/04/09 09:59:50.128721305,7,45
2025/04/09 09:59:50.225970302,2,44
2025/04/09 09:59:50.333424810,6,45
2025/04/09 09:59:50.422350850,4,45
2025/04/09 09:59:50.524604430,2,45
2025/04/09 09:59:50.626306988,4,45
2025/04/09 09:59:50.726264898,6,45
2025/04/09 09:59:50.826494902,2,44
2025/04/09 09:59:50.932280771,6,45
2025/04/09 09:59:51.27540890,2,44
2025/04/09 09:59:51.126939357,6,45
2025/04/09 09:59:51.223595210,2,44
2025/04/09 09:59:51.329771546,6,45
2025/04/09 09:59:51.434638043,58,42
2025/04/09 09:59:51.533129195,110,44
2025/04/09 09:59:51.632564623,161,41
