time,data
2025/04/09 09:59:47.374894559,dp
2025/04/09 09:59:47.476646283,dp
2025/04/09 09:59:47.576634113,dp
2025/04/09 09:59:47.676993142,dp
2025/04/09 09:59:47.777846212,dp
2025/04/09 09:59:47.878083963,dp
2025/04/09 09:59:47.978291406,dp
2025/04/09 09:59:48.79108350,dp
2025/04/09 09:59:48.179648528,dp
2025/04/09 09:59:48.280244816,dp
2025/04/09 09:59:48.380535738,dp
2025/04/09 09:59:48.481121540,dp
2025/04/09 09:59:48.581560724,dp
2025/04/09 09:59:48.681895865,dp
2025/04/09 09:59:48.781644460,dp
2025/04/09 09:59:48.881889353,dp
2025/04/09 09:59:48.982461169,dp
2025/04/09 09:59:49.82691452,dp
2025/04/09 09:59:49.182413629,dp
2025/04/09 09:59:49.285031459,dp
2025/04/09 09:59:49.385900552,dp
2025/04/09 09:59:49.486719611,dp
2025/04/09 09:59:49.587201263,dp
2025/04/09 09:59:49.688701151,dp
2025/04/09 09:59:49.788377800,dp
2025/04/09 09:59:49.889307551,dp
2025/04/09 09:59:49.988991283,dp
2025/04/09 09:59:50.89182500,dp
2025/04/09 09:59:50.189525588,dp
2025/04/09 09:59:50.289920975,dp
2025/04/09 09:59:50.390292891,dp
2025/04/09 09:59:50.490575334,dp
2025/04/09 09:59:50.591509460,dp
2025/04/09 09:59:50.691990516,dp
2025/04/09 09:59:50.794251286,dp
2025/04/09 09:59:50.892368270,dp
2025/04/09 09:59:50.992545919,dp
2025/04/09 09:59:51.93515759,dp
2025/04/09 09:59:51.193718680,dp
2025/04/09 09:59:51.293939232,dp
2025/04/09 09:59:51.394304482,dp
2025/04/09 09:59:51.494366142,dp
2025/04/09 09:59:51.594573322,dp
2025/04/09 09:59:51.694845446,dp
2025/04/09 09:59:51.795328999,dp
2025/04/09 09:59:51.896228909,dp
2025/04/09 09:59:51.996156313,dp
2025/04/09 09:59:52.102105437,dp
2025/04/09 09:59:52.199806219,dp
2025/04/09 09:59:52.301786717,dp
2025/04/09 09:59:52.402246518,dp
2025/04/09 09:59:52.501996004,dp
2025/04/09 09:59:52.602110150,dp
2025/04/09 09:59:52.702244337,dp
2025/04/09 09:59:52.803696894,dp
2025/04/09 09:59:52.905085254,dp
