time,north,east,heading
2025/04/10 10:33:47.887358974,-9.224897105754701e-07,-6.727556190428038e-07,1.0234245982810183e-08
2025/04/10 10:33:47.921731930,-9.14576000355006e-07,-6.669842882517549e-07,1.014645003234391e-08
2025/04/10 10:33:48.23864212,-9.067301789402301e-07,-6.61262467367991e-07,1.0059407252060491e-08
2025/04/10 10:33:48.124104525,-8.989516636860991e-07,-6.555897321974988e-07,9.973111180781238e-09
2025/04/10 10:33:48.220896615,-8.912398776319115e-07,-6.499656620989788e-07,9.887555412755611e-09
2025/04/10 10:33:48.319665919,-8.835942480802224e-07,-6.443898385627597e-07,9.802733597185718e-09
2025/04/10 10:33:48.421411829,-8.760142080179285e-07,-6.388618473424265e-07,9.7186394377549e-09
2025/04/10 10:33:48.520487366,-8.684991939846405e-07,-6.333812791653634e-07,9.635266692160363e-09
2025/04/10 10:33:48.619573516,-8.610486489148535e-07,-6.279477268905828e-07,9.552609171649801e-09
2025/04/10 10:33:48.722727463,-8.536620192957762e-07,-6.225607862192681e-07,9.470660740562011e-09
2025/04/10 10:33:48.819846946,-8.463387572989596e-07,-6.172200585369445e-07,9.389415315871433e-09
2025/04/10 10:33:48.919934832,-8.390783186486678e-07,-6.119251473607654e-07,9.308866866736624e-09
2025/04/10 10:33:49.19554850,-8.318801654640501e-07,-6.06675659760598e-07,9.229009414052575e-09
2025/04/10 10:33:49.120067371,-8.247437619958837e-07,-6.014712056484803e-07,9.149837030006902e-09
2025/04/10 10:33:49.221476518,-8.176685788898303e-07,-5.963113977786213e-07,9.071343837639798e-09
2025/04/10 10:33:49.320668608,-8.106540917653511e-07,-5.91195854589572e-07,8.993524010407806e-09
2025/04/10 10:33:49.419647532,-8.036997790840778e-07,-5.861241959409688e-07,8.916371771751312e-09
2025/04/10 10:33:49.519965513,-7.968051257025272e-07,-5.810960452451616e-07,8.839881394665749e-09
2025/04/10 10:33:49.622342595,-7.899696186088441e-07,-5.761110287566714e-07,8.764047201276477e-09
2025/04/10 10:33:49.722125965,-7.831927511860577e-07,-5.711687777038185e-07,8.688863562417319e-09
2025/04/10 10:33:49.819824257,-7.764740196593684e-07,-5.662689240254656e-07,8.614324897212719e-09
2025/04/10 10:33:49.920240484,-7.698129245172332e-07,-5.614111046342749e-07,8.540425672663455e-09
2025/04/10 10:33:50.19882575,-7.632089740640786e-07,-5.565949578639936e-07,8.467160403235938e-09
2025/04/10 10:33:50.119881731,-7.566616766043316e-07,-5.518201277327115e-07,8.394523650455017e-09
2025/04/10 10:33:50.219866414,-7.501705454162184e-07,-5.470862589690604e-07,8.322510022500281e-09
2025/04/10 10:33:50.320129373,-7.437351001728493e-07,-5.423930012754716e-07,8.251114173805826e-09
2025/04/10 10:33:50.419744466,-7.373548612578779e-07,-5.377400050649193e-07,8.18033080466346e-09
2025/04/10 10:33:50.519537275,-7.310293561603848e-07,-5.331269250136337e-07,8.11015466082929e-09
2025/04/10 10:33:50.620354465,-7.247581159221645e-07,-5.28553419350559e-07,8.04058053313371e-09
2025/04/10 10:33:50.720242608,-7.185406737166395e-07,-5.240191484362675e-07,7.97160325709473e-09
2025/04/10 10:33:50.819748971,-7.123765691121171e-07,-5.195237747629598e-07,7.90321771253461e-09
2025/04/10 10:33:50.919864882,-7.062653438085326e-07,-5.150669657966354e-07,7.835418823199789e-09
2025/04/10 10:33:51.19551284,-7.002065451901636e-07,-5.106483897138368e-07,7.768201556384077e-09
2025/04/10 10:33:51.119607226,-6.941997227729153e-07,-5.062677196649055e-07,7.701560922555082e-09
2025/04/10 10:33:51.220664891,-6.882444310464926e-07,-5.019246295107259e-07,7.635491974983823e-09
2025/04/10 10:33:51.320155453,-6.823402273427711e-07,-4.976187966648959e-07,7.569989809377556e-09
2025/04/10 10:33:51.420237086,-6.764866732568827e-07,-4.93349902093727e-07,7.50504956351571e-09
2025/04/10 10:33:51.519790204,-6.706833339366732e-07,-4.891176296057019e-07,7.440666416888975e-09
2025/04/10 10:33:51.620686485,-6.649297802143302e-07,-4.84921663719846e-07,7.376835590341468e-09
2025/04/10 10:33:51.719608133,-6.592255850536695e-07,-4.80761693218441e-07,7.3135523457159925e-09
2025/04/10 10:33:51.820253998,-6.535703235501352e-07,-4.766374104364822e-07,7.250811985502304e-09
2025/04/10 10:33:51.919928573,-6.479635764835131e-07,-4.7254850770896516e-07,7.188609852488434e-09
2025/04/10 10:33:52.19911065,-6.4240492747576e-07,-4.6849468234468436e-07,7.126941329414968e-09
2025/04/10 10:33:52.119648135,-6.368939644120894e-07,-4.6447563378406264e-07,7.0658018386323214e-09
2025/04/10 10:33:52.220047673,-6.314302780198852e-07,-4.604910628886082e-07,7.005186841760929e-09
2025/04/10 10:33:52.319754561,-6.260134625792454e-07,-4.565406733620002e-07,6.945091839354376e-09
2025/04/10 10:33:52.421119281,-6.206431166335244e-07,-4.5262417317117433e-07,6.885512370565387e-09
2025/04/10 10:33:52.521479675,-6.153188401471618e-07,-4.4874127099360886e-07,6.826444012814708e-09
2025/04/10 10:33:52.620182213,-6.100402387689394e-07,-4.4489167977003856e-07,6.7678823814628175e-09
2025/04/10 10:33:52.720091276,-6.048069209898097e-07,-4.4107511244119816e-07,6.709823129484455e-09
2025/04/10 10:33:52.820070486,-5.996184981428963e-07,-4.372912869216216e-07,6.652261947145945e-09
2025/04/10 10:33:52.920595462,-5.944745844034936e-07,-4.335399204153e-07,6.59519456168528e-09
2025/04/10 10:33:53.19983529,-5.893747982101526e-07,-4.298207365211092e-07,6.53861673699495e-09
2025/04/10 10:33:53.120406733,-5.843187615541377e-07,-4.261334581273823e-07,6.482524273307504e-09
2025/04/10 10:33:53.219691699,-5.793060985583419e-07,-4.2247781096462315e-07,6.426913006883805e-09
2025/04/10 10:33:53.319997970,-5.743364368983715e-07,-4.1885352431604953e-07,6.371778809703944e-09
2025/04/10 10:33:53.420512274,-5.694094085130895e-07,-4.152603288859646e-07,6.317117589160835e-09
2025/04/10 10:33:53.519494603,-5.645246474729869e-07,-4.1169795822084237e-07,6.2629252877564e-09
2025/04/10 10:33:53.620660914,-5.596817906907257e-07,-4.081661479987852e-07,6.209197882800393e-09
2025/04/10 10:33:53.720031191,-5.5488048076331e-07,-4.046646353189808e-07,6.155931386111797e-09
2025/04/10 10:33:53.820372956,-5.50120358866658e-07,-4.011931622544162e-07,6.10312184372278e-09
2025/04/10 10:33:53.920105986,0.05,-0.0007450385671894822,-6.424826103808337e-05
2025/04/10 10:33:54.19686141,0.05,-0.0012293136358628943,-0.00010600963071283757
2025/04/10 10:33:54.119812382,0.05,-0.00153105425557456,-0.00013203017643326133
2025/04/10 10:33:54.222019972,0.05,-0.0017055795399379295,-0.00014708033158143235
2025/04/10 10:33:54.321434031,0.05,-0.0017919807312765104,-0.00015453112210369257
2025/04/10 10:33:54.421807945,0.05,-0.0018178556878901023,-0.00015676244413196362
2025/04/10 10:33:54.521361812,0.05,-0.0018026633736418776,-0.0001554523377635545
