time,north,east,heading
2025/04/10 10:33:47.887347199,-480.00012534997853,-310.00009141554784,1.3906523813696107e-06
2025/04/10 10:33:47.921609069,-480.0001242746457,-310.00009063132643,1.3787224699921035e-06
2025/04/10 10:33:48.23007602,-480.0001232085378,-310.00008985383255,1.3668949010744246e-06
2025/04/10 10:33:48.121384365,-480.0001221515756,-310.0000890830085,1.355168796657069e-06
2025/04/10 10:33:48.220149226,-480.0001211036808,-310.0000883187971,1.343543286312234e-06
2025/04/10 10:33:48.319643524,-480.00012006477544,-310.00008756114164,1.3320175070792069e-06
2025/04/10 10:33:48.421381198,-480.00011903478253,-310.0000868099858,1.3205906034003074e-06
2025/04/10 10:33:48.520466687,-480.0001180136255,-310.0000860652739,1.3092617270573796e-06
2025/04/10 10:33:48.619554587,-480.00011700122866,-310.00008532695057,1.2980300371088295e-06
2025/04/10 10:33:48.722702163,-480.0001159975168,-310.00008459496104,1.2868946998272008e-06
2025/04/10 10:33:48.819826347,-480.0001150024154,-310.000083869251,1.2758548886372887e-06
2025/04/10 10:33:48.919870772,-480.0001140158506,-310.00008314976657,1.2649097840547824e-06
2025/04/10 10:33:49.19534883,-480.00011303774926,-310.00008243645436,1.2540585736254347e-06
2025/04/10 10:33:49.119547898,-480.0001120680387,-310.0000817292614,1.2433004518647542e-06
2025/04/10 10:33:49.221450679,-480.0001111066469,-310.0000810281352,1.2326346201982145e-06
2025/04/10 10:33:49.320396020,-480.00011015350253,-310.0000803330237,1.2220602869019747e-06
2025/04/10 10:33:49.419525153,-480.00010920853487,-310.00007964387527,1.2115766670441113e-06
2025/04/10 10:33:49.519743072,-480.00010827167375,-310.00007896063886,1.201182982426352e-06
2025/04/10 10:33:49.622328771,-480.0001073428496,-310.0000782832637,1.1908784615263103e-06
2025/04/10 10:33:49.719874579,-480.00010642199356,-310.00007761169945,1.1806623394402151e-06
2025/04/10 10:33:49.819492230,-480.0001055090372,-310.00007694589635,1.1705338578261328e-06
2025/04/10 10:33:49.919711305,-480.00010460391275,-310.00007628580494,1.1604922648476746e-06
2025/04/10 10:33:50.19729719,-480.00010370655303,-310.0000756313762,1.1505368151181885e-06
2025/04/10 10:33:50.119864709,-480.00010281689146,-310.00007498256156,1.1406667696454291e-06
2025/04/10 10:33:50.219846692,-480.00010193486196,-310.00007433931285,1.1308813957767021e-06
2025/04/10 10:33:50.319548637,-480.0001010603991,-310.0000737015824,1.1211799671444795e-06
2025/04/10 10:33:50.419509882,-480.00010019343796,-310.00007306932275,1.1115617636124819e-06
2025/04/10 10:33:50.519386924,-480.00009933391414,-310.00007244248707,1.1020260712222225e-06
2025/04/10 10:33:50.620333672,-480.00009848176387,-310.00007182102877,1.0925721821400097e-06
2025/04/10 10:33:50.720220472,-480.0000976369239,-310.00007120490176,1.0831993946044052e-06
2025/04/10 10:33:50.819730864,-480.0000967993315,-310.0000705940603,1.073907012874132e-06
2025/04/10 10:33:50.919846145,-480.00009596892454,-310.00006998845896,1.0646943471764298e-06
2025/04/10 10:33:51.19531834,-480.0000951456413,-310.0000693880529,1.055560713655853e-06
2025/04/10 10:33:51.119585719,-480.00009432942073,-310.0000687927975,1.046505434323508e-06
2025/04/10 10:33:51.219547868,-480.00009352020226,-310.0000682026486,1.037527837006727e-06
2025/04/10 10:33:51.320133668,-480.0000927179258,-310.00006761756237,1.0286272552991715e-06
2025/04/10 10:33:51.419435675,-480.00009192253174,-310.0000670374954,1.0198030285113658e-06
2025/04/10 10:33:51.519432750,-480.00009113396106,-310.0000664624046,1.011054501621654e-06
2025/04/10 10:33:51.619507487,-480.00009035215527,-310.00006589224733,1.0023810252275772e-06
2025/04/10 10:33:51.719588646,-480.0000895770563,-310.0000653269812,9.937819554976693e-07
2025/04/10 10:33:51.820186378,-480.0000888086067,-310.0000647665643,9.85256654123665e-07
2025/04/10 10:33:51.919403341,-480.0000880467493,-310.00006421095503,9.768044882731176e-07
2025/04/10 10:33:52.19889698,-480.0000872914276,-310.0000636601121,9.684248305424253e-07
2025/04/10 10:33:52.119624475,-480.0000865425855,-310.0000631139947,9.60117058910258e-07
2025/04/10 10:33:52.219806819,-480.0000858001675,-310.00006257256223,9.518805566913847e-07
2025/04/10 10:33:52.319738307,-480.0000850641184,-310.00006203577453,9.437147124908978e-07
2025/04/10 10:33:52.421096467,-480.00008433438364,-310.0000615035917,9.356189201588285e-07
2025/04/10 10:33:52.521452321,-480.00008361090903,-310.0000609759743,9.275925787451528e-07
2025/04/10 10:33:52.620156770,-480.0000828936408,-310.00006045288313,9.196350924551827e-07
2025/04/10 10:33:52.719578413,-480.0000821825258,-310.00005993427936,9.117458706053407e-07
2025/04/10 10:33:52.820046236,-480.0000814775112,-310.00005942012456,9.039243275793135e-07
2025/04/10 10:33:52.919680626,-480.00008077854466,-310.00005891038046,8.96169882784581e-07
2025/04/10 10:33:53.19961154,-480.0000800855743,-310.00005840500927,8.8848196060932e-07
2025/04/10 10:33:53.120329564,-480.00007939854873,-310.0000579039735,8.808599903796758e-07
2025/04/10 10:33:53.219355113,-480.0000787174169,-310.00005740723594,8.733034063174016e-07
