time,transforms_0
2025/04/10 10:33:49.339697743,"{'header': {'stamp': {'secs': 1744274029, 'nsecs': 220274888}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9566022549771, 'y': -310.03292641206036, 'z': 2.3072286916824027}, 'rotation': {'x': 0.0015446209017499508, 'y': 0.00041925293526570674, 'z': 0.0025053009818135252, 'w': 0.9999955809103542}}}"
2025/04/10 10:33:49.480867453,"{'header': {'stamp': {'secs': 1744274029, 'nsecs': 478712142}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9564944931528, 'y': -310.03745113642435, 'z': 2.30559584122739}, 'rotation': {'x': 0.0015576060112814489, 'y': 0.0004608474168830521, 'z': 0.0025049176809359896, 'w': 0.9999955434253613}}}"
2025/04/10 10:33:49.551752821,"{'header': {'stamp': {'secs': 1744274029, 'nsecs': 549615847}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95644939711724, 'y': -310.0223961062319, 'z': 2.3126616667594435}, 'rotation': {'x': 0.0020086386071108096, 'y': 0.00044802952740563307, 'z': 0.0025115948459161317, 'w': 0.9999947282520136}}}"
2025/04/10 10:33:49.625557821,"{'header': {'stamp': {'secs': 1744274029, 'nsecs': 621286222}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9563559659919, 'y': -310.0124771137987, 'z': 2.317409559783542}, 'rotation': {'x': -0.003190780747577933, 'y': 0.00046581827742433205, 'z': 0.00251698439655991, 'w': 0.9999916333255497}}}"
2025/04/10 10:33:49.765511421,"{'header': {'stamp': {'secs': 1744274029, 'nsecs': 763410642}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95631368037215, 'y': -309.9954115627487, 'z': 2.3250348086297166}, 'rotation': {'x': 0.0015575343849263056, 'y': 0.00035167975412902684, 'z': 0.0025131992995147253, 'w': 0.9999955671088104}}}"
2025/04/10 10:33:49.906613041,"{'header': {'stamp': {'secs': 1744274029, 'nsecs': 904473356}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95639217428084, 'y': -309.9890209469938, 'z': 2.3280411444691023}, 'rotation': {'x': -0.0031842118900577737, 'y': 0.0004088704472983576, 'z': 0.0025149389624174122, 'w': 0.9999916843162308}}}"
2025/04/10 10:33:50.47914372,"{'header': {'stamp': {'secs': 1744274030, 'nsecs': 44555333}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95642080942145, 'y': -309.9787048498546, 'z': 2.33240312723569}, 'rotation': {'x': 0.02791684199218222, 'y': 0.0004555854585412976, 'z': 0.0025050269925528936, 'w': 0.9996070063854295}}}"
2025/04/10 10:33:50.119485696,"{'header': {'stamp': {'secs': 1744274030, 'nsecs': 116914024}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9562515813872, 'y': -310.0226821402249, 'z': 2.312434248615053}, 'rotation': {'x': 0.0019898672779970145, 'y': 0.00038400787082123946, 'z': 0.00251744302896325, 'w': 0.9999947777097474}}}"
2025/04/10 10:33:50.338730458,"{'header': {'stamp': {'secs': 1744274030, 'nsecs': 255651078}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9562749580054, 'y': -310.0163522458085, 'z': 2.315220506510098}, 'rotation': {'x': -0.0034400737426210147, 'y': 0.0004722215423930462, 'z': 0.002520860755505898, 'w': 0.9999907940378809}}}"
2025/04/10 10:33:50.401423958,"{'header': {'stamp': {'secs': 1744274030, 'nsecs': 399342366}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9562159061532, 'y': -309.99989064429195, 'z': 2.3222591624268225}, 'rotation': {'x': 0.0015322542085986967, 'y': 0.0004776114651849672, 'z': 0.002530946457802776, 'w': 0.9999955091870946}}}"
2025/04/10 10:33:50.473065671,"{'header': {'stamp': {'secs': 1744274030, 'nsecs': 470933572}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9560851524033, 'y': -309.9949321105967, 'z': 2.324472591953274}, 'rotation': {'x': -0.029646513424405985, 'y': 0.0003784890666471841, 'z': 0.0025535703397620204, 'w': 0.999557112058297}}}"
2025/04/10 10:33:50.613618069,"{'header': {'stamp': {'secs': 1744274030, 'nsecs': 611915107}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9562399311566, 'y': -309.93759649803627, 'z': 2.3468635446580226}, 'rotation': {'x': 0.02792534103184591, 'y': 0.00046933796260912794, 'z': 0.002515999821494466, 'w': 0.9996067350688621}}}"
2025/04/10 10:33:50.754853395,"{'header': {'stamp': {'secs': 1744274030, 'nsecs': 751435049}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95603182430403, 'y': -309.99076981594743, 'z': 2.323569635796841}, 'rotation': {'x': 0.0019997119834642215, 'y': 0.00034484142888063476, 'z': 0.0025285395584084954, 'w': 0.9999947443482259}}}"
2025/04/10 10:33:50.905445120,"{'header': {'stamp': {'secs': 1744274030, 'nsecs': 822103688}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9561213065945, 'y': -309.9916057907333, 'z': 2.3239903234845145}, 'rotation': {'x': -0.003202426079227942, 'y': 0.00025306954270973677, 'z': 0.002534993253136569, 'w': 0.9999916270810573}}}"
2025/04/10 10:33:50.965650414,"{'header': {'stamp': {'secs': 1744274030, 'nsecs': 962970690}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95641261640526, 'y': -309.9835946930562, 'z': 2.327943001658803}, 'rotation': {'x': 0.0015545519262229236, 'y': 0.00035712161269975856, 'z': 0.0025407375690047274, 'w': 0.99999550023241}}}"
2025/04/10 10:33:51.193271751,"{'header': {'stamp': {'secs': 1744274031, 'nsecs': 105180358}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9563969794294, 'y': -309.98446555561776, 'z': 2.328115414181788}, 'rotation': {'x': -0.003180882417497924, 'y': 0.00040598087910309236, 'z': 0.0025393358660294523, 'w': 0.9999916344349744}}}"
2025/04/10 10:33:51.252465337,"{'header': {'stamp': {'secs': 1744274031, 'nsecs': 248162506}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95632440414414, 'y': -309.9778584450153, 'z': 2.3312663005105696}, 'rotation': {'x': 0.027915645881132264, 'y': 0.0004704611381377859, 'z': 0.002527485550794751, 'w': 0.999606976365285}}}"
2025/04/10 10:33:51.324277408,"{'header': {'stamp': {'secs': 1744274031, 'nsecs': 322066544}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95603443256755, 'y': -310.0243130056266, 'z': 2.3105662340669753}, 'rotation': {'x': 0.0019849070934680178, 'y': 0.00038750639099925383, 'z': 0.0025411002083473746, 'w': 0.9999947263822737}}}"
2025/04/10 10:33:51.398123964,"{'header': {'stamp': {'secs': 1744274031, 'nsecs': 395246902}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95603308685395, 'y': -310.01519352054265, 'z': 2.3149296071915586}, 'rotation': {'x': -0.029634753462389956, 'y': 0.00032951953927336377, 'z': 0.002552140986660563, 'w': 0.9995574817790525}}}"
2025/04/10 10:33:51.552971492,"{'header': {'stamp': {'secs': 1744274031, 'nsecs': 469108289}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95621415833676, 'y': -309.9565553909851, 'z': 2.338110214119939}, 'rotation': {'x': -0.0034311845880998604, 'y': 0.0004770379137940322, 'z': 0.0025442451104243026, 'w': 0.9999907630693242}}}"
2025/04/10 10:33:51.567139836,"{'header': {'stamp': {'secs': 1744274031, 'nsecs': 565289690}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9560465969867, 'y': -309.95428123493764, 'z': 2.339693658875008}, 'rotation': {'x': 0.001555652628054399, 'y': 0.0004511465747347178, 'z': 0.002541877941161675, 'w': 0.9999954576237841}}}"
2025/04/10 10:33:51.709036035,"{'header': {'stamp': {'secs': 1744274031, 'nsecs': 707122342}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9558509046, 'y': -309.95977076249255, 'z': 2.337913837720963}, 'rotation': {'x': -0.003196618683422498, 'y': 0.00034720036259522157, 'z': 0.0025695421387014043, 'w': 0.9999915292311723}}}"
2025/04/10 10:33:51.851319621,"{'header': {'stamp': {'secs': 1744274031, 'nsecs': 848658906}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95592389571283, 'y': -309.95998209321107, 'z': 2.3382713606431964}, 'rotation': {'x': 0.02792256064072851, 'y': 0.0004083772177888636, 'z': 0.002550889681319881, 'w': 0.9996067510762153}}}"
2025/04/10 10:33:51.922428258,"{'header': {'stamp': {'secs': 1744274031, 'nsecs': 920529913}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9557643657642, 'y': -310.0122978374154, 'z': 2.3152055086435346}, 'rotation': {'x': 0.00196196728613858, 'y': 0.00033816012289811226, 'z': 0.0025514640158654407, 'w': 0.9999947631680254}}}"
2025/04/10 10:33:52.63259388,"{'header': {'stamp': {'secs': 1744274032, 'nsecs': 61308726}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95579910471935, 'y': -310.01310279623584, 'z': 2.315413153021495}, 'rotation': {'x': -0.003489500075215972, 'y': 0.00043485574111318156, 'z': 0.002554886967923885, 'w': 0.9999905533765261}}}"
2025/04/10 10:33:52.286701513,"{'header': {'stamp': {'secs': 1744274032, 'nsecs': 203173063}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9557169735922, 'y': -310.00241805891307, 'z': 2.320361368233601}, 'rotation': {'x': 0.001993402297182738, 'y': 0.0004356106828972268, 'z': 0.00255095911642977, 'w': 0.9999946645848671}}}"
2025/04/10 10:33:52.429719552,"{'header': {'stamp': {'secs': 1744274032, 'nsecs': 344055059}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95560351260355, 'y': -309.9995458688031, 'z': 2.3219342716321654}, 'rotation': {'x': -0.003193911937418624, 'y': 0.000461800115557962, 'z': 0.0025540858928147156, 'w': 0.9999915311203598}}}"
2025/04/10 10:33:52.503850409,"{'header': {'stamp': {'secs': 1744274032, 'nsecs': 417429159}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9555374303606, 'y': -309.9882500853434, 'z': 2.326906776917037}, 'rotation': {'x': 0.02792998715456448, 'y': 0.0004871275392748093, 'z': 0.002542197512982992, 'w': 0.9996065304689197}}}"
2025/04/10 10:33:52.563427620,"{'header': {'stamp': {'secs': 1744274032, 'nsecs': 561744903}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9552899651942, 'y': -310.0302489691595, 'z': 2.3080125501768887}, 'rotation': {'x': -0.02963649774083374, 'y': 0.00029913020564417914, 'z': 0.0025660510602862584, 'w': 0.9995574040067602}}}"
2025/04/10 10:33:52.710738524,"{'header': {'stamp': {'secs': 1744274032, 'nsecs': 707556954}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95562727080465, 'y': -309.97009940492904, 'z': 2.331755902138691}, 'rotation': {'x': 0.027918497786645388, 'y': 0.00046789875694569353, 'z': 0.002547600785890191, 'w': 0.999606846856466}}}"
2025/04/10 10:33:52.928087389,"{'header': {'stamp': {'secs': 1744274032, 'nsecs': 925119546}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95532108971616, 'y': -310.0082030242076, 'z': 2.3158871612341363}, 'rotation': {'x': -0.0031931679899616632, 'y': 0.00037854599055229393, 'z': 0.0025635569235633086, 'w': 0.9999915442427605}}}"
2025/04/10 10:33:52.937883306,"{'header': {'stamp': {'secs': 1744274032, 'nsecs': 851873220}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9554385482998, 'y': -310.01501966766614, 'z': 2.3121039675133384}, 'rotation': {'x': 0.001996361991801718, 'y': 0.00047943914205364734, 'z': 0.002559439717224085, 'w': 0.9999946169581317}}}"
2025/04/10 10:33:53.72887238,"{'header': {'stamp': {'secs': 1744274033, 'nsecs': 71284262}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9556347484728, 'y': -309.98163554806183, 'z': 2.3283828569517007}, 'rotation': {'x': 0.0015468216403156673, 'y': 0.0004305774730424788, 'z': 0.002562269059794683, 'w': 0.999995428351109}}}"
2025/04/10 10:33:53.80663941,"{'header': {'stamp': {'secs': 1744274032, 'nsecs': 997811600}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9554519823337, 'y': -309.99334273421965, 'z': 2.3229192043256144}, 'rotation': {'x': -0.0034376710158708756, 'y': 0.00034001824833657584, 'z': 0.002563500909747835, 'w': 0.9999907475915281}}}"
2025/04/10 10:33:53.145374981,"{'header': {'stamp': {'secs': 1744274033, 'nsecs': 142822528}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95557696374095, 'y': -309.9824119035997, 'z': 2.328474406809155}, 'rotation': {'x': 0.001998437944705393, 'y': 0.0004284123983542827, 'z': 0.0025620733965927493, 'w': 0.9999946292298317}}}"
2025/04/10 10:33:53.218135696,"{'header': {'stamp': {'secs': 1744274033, 'nsecs': 215992436}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9554784559759, 'y': -309.9827417441548, 'z': 2.328679405921227}, 'rotation': {'x': -0.0031847033404672404, 'y': 0.0004122803772946115, 'z': 0.0025652893313534513, 'w': 0.9999915534544132}}}"
2025/04/10 10:33:53.441754610,"{'header': {'stamp': {'secs': 1744274033, 'nsecs': 357861525}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9554925954387, 'y': -309.9739398789173, 'z': 2.332654657987493}, 'rotation': {'x': 0.001545998748826809, 'y': 0.0003645493199149548, 'z': 0.0025666277541802067, 'w': 0.9999954446964414}}}"
2025/04/10 10:33:53.575937934,"{'header': {'stamp': {'secs': 1744274033, 'nsecs': 574106264}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.955736884601, 'y': -309.9259011292849, 'z': 2.3511984188838717}, 'rotation': {'x': -0.003474983144333982, 'y': 0.00032574653256215363, 'z': 0.0025813387075514734, 'w': 0.9999905774915182}}}"
2025/04/10 10:33:53.585143745,"{'header': {'stamp': {'secs': 1744274033, 'nsecs': 501589894}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95551317185664, 'y': -309.9763588235317, 'z': 2.331758968147158}, 'rotation': {'x': -0.029637221392455945, 'y': 0.0003027689421251742, 'z': 0.002584189344282096, 'w': 0.9995573347259952}}}"
2025/04/10 10:33:53.649267603,"{'header': {'stamp': {'secs': 1744274033, 'nsecs': 647189780}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95576982013927, 'y': -309.93526782532143, 'z': 2.347710194617342}, 'rotation': {'x': 0.027906147086601992, 'y': 0.00043282771138055054, 'z': 0.002569096244558451, 'w': 0.9996071525151465}}}"
2025/04/10 10:33:53.722867428,"{'header': {'stamp': {'secs': 1744274033, 'nsecs': 720809285}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9555136915845, 'y': -309.99151173453487, 'z': 2.322935816101901}, 'rotation': {'x': 0.0019927828600148465, 'y': 0.0003432974387662969, 'z': 0.0025692935391173903, 'w': 0.9999946548327402}}}"
2025/04/10 10:33:53.794755389,"{'header': {'stamp': {'secs': 1744274033, 'nsecs': 792239005}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9555411858138, 'y': -309.99198878485635, 'z': 2.323432237165789}, 'rotation': {'x': -0.029643329114837476, 'y': 0.000192539888067704, 'z': 0.0025766396609817506, 'w': 0.9995572004119816}}}"
2025/04/10 10:33:53.951973039,"{'header': {'stamp': {'secs': 1744274033, 'nsecs': 865397804}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9559216135153, 'y': -309.94039691462484, 'z': 2.3437063912581455}, 'rotation': {'x': -0.0034327459757414517, 'y': 0.0004159453481210515, 'z': 0.00257136990701731, 'w': 0.9999907156075675}}}"
2025/04/10 10:33:54.109248346,"{'header': {'stamp': {'secs': 1744274034, 'nsecs': 106099845}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95556286322517, 'y': -309.95527818041825, 'z': 2.338713623494436}, 'rotation': {'x': -0.0016304809229888736, 'y': 0.0008370672152933244, 'z': 0.0026097204749250978, 'w': 0.9999949150918117}}}"
2025/04/10 10:33:54.121974856,"{'header': {'stamp': {'secs': 1744274034, 'nsecs': 33051097}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9557915326945, 'y': -309.9412285338169, 'z': 2.343893307061576}, 'rotation': {'x': 0.0019927667755062655, 'y': 0.00041543065543479097, 'z': 0.002570380481805866, 'w': 0.999994624706617}}}"
2025/04/10 10:33:54.257338249,"{'header': {'stamp': {'secs': 1744274034, 'nsecs': 251925214}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9546129622353, 'y': -309.9610378892022, 'z': 2.3369264132776864}, 'rotation': {'x': 0.031238651070751373, 'y': 0.0007886572077288796, 'z': 0.002850913311137527, 'w': 0.9995075772561112}}}"
2025/04/10 10:33:54.405566201,"{'header': {'stamp': {'secs': 1744274034, 'nsecs': 401939276}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95417571402237, 'y': -310.05956331306714, 'z': 2.293489744786683}, 'rotation': {'x': 0.037261506194574655, 'y': -0.0003920226005630188, 'z': 0.0031432325723878035, 'w': 0.9993005286516105}}}"
2025/04/10 10:33:54.415150513,"{'header': {'stamp': {'secs': 1744274034, 'nsecs': 326315688}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9535234610506, 'y': -310.02007289809444, 'z': 2.310786248124615}, 'rotation': {'x': 0.027289517315696028, 'y': -0.0003751459684227183, 'z': 0.003130493857610558, 'w': 0.9996225995436409}}}"
2025/04/10 10:33:54.624688390,"{'header': {'stamp': {'secs': 1744274034, 'nsecs': 622373247}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95252905155314, 'y': -310.0344978867295, 'z': 2.3020051898760037}, 'rotation': {'x': 0.0038288457991859197, 'y': -0.00034997082486519813, 'z': 0.0035127708432381027, 'w': 0.9999864388586831}}}"
2025/04/10 10:33:54.633144701,"{'header': {'stamp': {'secs': 1744274034, 'nsecs': 548698375}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.95419961174326, 'y': -310.1046774535479, 'z': 2.2726089783590995}, 'rotation': {'x': -0.02301472008679702, 'y': 0.0001383612621523247, 'z': 0.003446733468236221, 'w': 0.9997291750988797}}}"
2025/04/10 10:33:54.698900539,"{'header': {'stamp': {'secs': 1744274034, 'nsecs': 695486418}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9514104550786, 'y': -310.021501223793, 'z': 2.308618547064638}, 'rotation': {'x': 0.005733305936771045, 'y': 0.0005821679741880681, 'z': 0.0035091986087868116, 'w': 0.9999772376452424}}}"
2025/04/10 10:33:54.848399401,"{'header': {'stamp': {'secs': 1744274034, 'nsecs': 844157420}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9435463650617, 'y': -310.0545262508277, 'z': 2.293873150488096}, 'rotation': {'x': 0.034727831993350056, 'y': 7.020141635856911e-05, 'z': 0.003456028850153133, 'w': 0.9993908287658987}}}"
2025/04/10 10:33:54.855013051,"{'header': {'stamp': {'secs': 1744274034, 'nsecs': 770584661}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.94725509209974, 'y': -310.0152639042083, 'z': 2.3118366653696176}, 'rotation': {'x': 0.03250918182927711, 'y': 0.0005253062909660793, 'z': 0.003438256405940841, 'w': 0.999465384864818}}}"
2025/04/10 10:33:54.921192122,"{'header': {'stamp': {'secs': 1744274034, 'nsecs': 918244803}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.93857587631237, 'y': -310.0886640528787, 'z': 2.2780577487981564}, 'rotation': {'x': 0.036410847545256524, 'y': 0.0005630261585754209, 'z': 0.0035063994214173597, 'w': 0.9993305951213934}}}"
2025/04/10 10:33:55.64236502,"{'header': {'stamp': {'secs': 1744274035, 'nsecs': 62327510}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9285656651925, 'y': -310.1217079914538, 'z': 2.262764988361812}, 'rotation': {'x': 0.006369810427280862, 'y': 0.0001137544009982603, 'z': 0.003939516007735666, 'w': 0.9999719460008273}}}"
2025/04/10 10:33:55.287249895,"{'header': {'stamp': {'secs': 1744274035, 'nsecs': 204363309}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9156922920551, 'y': -310.096845987676, 'z': 2.27491434978043}, 'rotation': {'x': -0.008957152658251803, 'y': -0.00041954435164163345, 'z': 0.003941769700494615, 'w': 0.9999520267744959}}}"
2025/04/10 10:33:55.428212360,"{'header': {'stamp': {'secs': 1744274035, 'nsecs': 425712521}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.89104577344256, 'y': -310.0750111951917, 'z': 2.285191163956767}, 'rotation': {'x': 0.0018701047703086426, 'y': 0.0004261522166068572, 'z': 0.0041205271793981115, 'w': 0.9999896711257573}}}"
2025/04/10 10:33:55.433408732,"{'header': {'stamp': {'secs': 1744274035, 'nsecs': 349991611}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.9048188795769, 'y': -310.04294076981483, 'z': 2.299362138958856}, 'rotation': {'x': 0.03584779868701108, 'y': 0.0005349553070900842, 'z': 0.0040155939382762705, 'w': 0.999349050210905}}}"
2025/04/10 10:33:55.507903935,"{'header': {'stamp': {'secs': 1744274035, 'nsecs': 501313325}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.87673299133695, 'y': -310.0448559229732, 'z': 2.299812342177267}, 'rotation': {'x': 0.0094777621401991, 'y': 0.0004133501151470782, 'z': 0.004027044717483538, 'w': 0.9999468906283672}}}"
2025/04/10 10:33:55.737955818,"{'header': {'stamp': {'secs': 1744274035, 'nsecs': 652447824}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.85715907938595, 'y': -310.0319640882257, 'z': 2.3068025991816556}, 'rotation': {'x': -0.02817789849103853, 'y': 0.00012565832454180777, 'z': 0.004089599136816272, 'w': 0.999594550518116}}}"
2025/04/10 10:33:55.800222793,"{'header': {'stamp': {'secs': 1744274035, 'nsecs': 798620769}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.84360733418424, 'y': -309.96135486466017, 'z': 2.3358882057204498}, 'rotation': {'x': 0.024245672515405124, 'y': 0.00040403621201370047, 'z': 0.004472879274740668, 'w': 0.9996959425095255}}}"
2025/04/10 10:33:55.876151680,"{'header': {'stamp': {'secs': 1744274035, 'nsecs': 873775780}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.8291959302323, 'y': -309.99489304290756, 'z': 2.3217339521283167}, 'rotation': {'x': -0.025225638075154547, 'y': -0.00019169285595787452, 'z': 0.004732194616460115, 'w': 0.9996705641218323}}}"
2025/04/10 10:33:55.952988005,"{'header': {'stamp': {'secs': 1744274035, 'nsecs': 949311009}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.8224413460427, 'y': -309.94398087269593, 'z': 2.3426492158558867}, 'rotation': {'x': 0.02661804669424033, 'y': 0.0006012326062438694, 'z': 0.0047250032115166265, 'w': 0.9996343293695888}}}"
2025/04/10 10:33:56.100689098,"{'header': {'stamp': {'secs': 1744274036, 'nsecs': 98591240}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.8016884626771, 'y': -309.9570048100399, 'z': 2.3372645034670487}, 'rotation': {'x': 0.0026863979001438354, 'y': 7.203508697019858e-05, 'z': 0.004258013644188613, 'w': 0.9999873236181918}}}"
2025/04/10 10:33:56.108871923,"{'header': {'stamp': {'secs': 1744274036, 'nsecs': 24521680}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -479.80816004421376, 'y': -309.98865201067593, 'z': 2.323520610277924}, 'rotation': {'x': -0.01590217416902733, 'y': 0.00030162290154008605, 'z': 0.004263277731077871, 'w': 0.9998644179804135}}}"
