time,throttle_reference,angle_reference
2025/05/19 02:18:25.250801716,0,-45
2025/05/19 02:18:25.368137350,0,-45
2025/05/19 02:18:25.456762075,0,-45
2025/05/19 02:18:25.550693442,0,-45
2025/05/19 02:18:25.650385619,0,-45
2025/05/19 02:18:25.748704859,0,-45
2025/05/19 02:18:25.850895889,0,-45
2025/05/19 02:18:25.950539965,0,-45
2025/05/19 02:18:26.76933727,0,-45
2025/05/19 02:18:26.176616730,0,-45
2025/05/19 02:18:26.276801888,0,-45
2025/05/19 02:18:26.348861157,0,-45
2025/05/19 02:18:26.452238845,0,-45
2025/05/19 02:18:26.548952527,0,-45
2025/05/19 02:18:26.649983784,0,-45
2025/05/19 02:18:26.748985022,0,-45
2025/05/19 02:18:26.857109946,0,-45
2025/05/19 02:18:26.951447928,0,-45
2025/05/19 02:18:27.75062648,0,-45
2025/05/19 02:18:27.168138688,0,-45
2025/05/19 02:18:27.273717675,0,-45
2025/05/19 02:18:27.355073137,0,-45
2025/05/19 02:18:27.458454779,0,-45
2025/05/19 02:18:27.554734969,0,-45
2025/05/19 02:18:27.670600324,0,-45
2025/05/19 02:18:27.752353379,0,-45
2025/05/19 02:18:27.900540110,0,-45
2025/05/19 02:18:27.996646386,0,-45
2025/05/19 02:18:28.57059921,0,-45
2025/05/19 02:18:28.170799965,0,-45
2025/05/19 02:18:28.271589688,12,-45
2025/05/19 02:18:28.351935844,12,-45
2025/05/19 02:18:28.476306259,12,-45
2025/05/19 02:18:28.562958325,12,-45
2025/05/19 02:18:28.714023953,38,-45
2025/05/19 02:18:28.802918461,63,-45
2025/05/19 02:18:28.858999370,85,-46
2025/05/19 02:18:28.973994387,83,-48
2025/05/19 02:18:29.90212019,82,-49
2025/05/19 02:18:29.174957188,81,-49
2025/05/19 02:18:29.287998651,81,-50
2025/05/19 02:18:29.372899626,80,-50
2025/05/19 02:18:29.453983218,80,-51
2025/05/19 02:18:29.551987163,80,-51
2025/05/19 02:18:29.662465767,79,-51
2025/05/19 02:18:29.749361951,65,-51
2025/05/19 02:18:29.850804591,65,-50
2025/05/19 02:18:29.949755375,65,-50
2025/05/19 02:18:30.51685883,65,-50
2025/05/19 02:18:30.150372263,65,-50
2025/05/19 02:18:30.250937822,65,-50
2025/05/19 02:18:30.349373451,65,-50
2025/05/19 02:18:30.450675464,66,-50
2025/05/19 02:18:30.551806364,66,-50
2025/05/19 02:18:30.651666991,66,-50
2025/05/19 02:18:30.749374660,24,-49
2025/05/19 02:18:30.849350924,24,-49
2025/05/19 02:18:30.949235169,24,-48
2025/05/19 02:18:31.49294154,25,-47
2025/05/19 02:18:31.148873579,25,-47
2025/05/19 02:18:31.249994094,25,-47
2025/05/19 02:18:31.349098140,25,-46
2025/05/19 02:18:31.469963027,79,-44
2025/05/19 02:18:31.568075923,144,-43
2025/05/19 02:18:31.663877488,198,-44
2025/05/19 02:18:31.750179408,256,-43
2025/05/19 02:18:31.848918250,313,-42
2025/05/19 02:18:31.949118845,313,-39
2025/05/19 02:18:32.50935942,307,-36
2025/05/19 02:18:32.149842257,302,-33
2025/05/19 02:18:32.249115003,294,-31
2025/05/19 02:18:32.349124692,286,-30
2025/05/19 02:18:32.449206424,277,-29
2025/05/19 02:18:32.549347411,268,-28
2025/05/19 02:18:32.650658996,243,-25
2025/05/19 02:18:32.749277308,243,-23
2025/05/19 02:18:32.849470884,244,-21
2025/05/19 02:18:32.949212814,246,-20
2025/05/19 02:18:33.49541107,248,-20
2025/05/19 02:18:33.149667477,251,-19
2025/05/19 02:18:33.249879024,254,-19
2025/05/19 02:18:33.350092433,257,-18
2025/05/19 02:18:33.448836625,261,-18
2025/05/19 02:18:33.549167244,265,-18
2025/05/19 02:18:33.649165506,269,-17
2025/05/19 02:18:33.749324795,261,-15
2025/05/19 02:18:33.850064039,296,-12
2025/05/19 02:18:33.949698836,311,-10
2025/05/19 02:18:34.49613316,315,-10
2025/05/19 02:18:34.149636153,320,-9
2025/05/19 02:18:34.249342807,325,-9
2025/05/19 02:18:34.350591101,330,-9
2025/05/19 02:18:34.449255141,335,-8
2025/05/19 02:18:34.550405190,341,-8
2025/05/19 02:18:34.648846844,344,-7
2025/05/19 02:18:34.748940184,350,-7
2025/05/19 02:18:34.849536680,356,-7
2025/05/19 02:18:34.950146154,362,-7
2025/05/19 02:18:35.49386587,368,-6
2025/05/19 02:18:35.149071160,374,-6
2025/05/19 02:18:35.249541196,381,-6
2025/05/19 02:18:35.349327807,387,-6
2025/05/19 02:18:35.449242597,394,-5
2025/05/19 02:18:35.549772457,401,-5
2025/05/19 02:18:35.651093365,387,-6
2025/05/19 02:18:35.749747275,392,-6
2025/05/19 02:18:35.849585494,400,-6
2025/05/19 02:18:35.949227144,407,-6
2025/05/19 02:18:36.50203345,412,-6
2025/05/19 02:18:36.149232302,414,-6
2025/05/19 02:18:36.249444440,414,-6
2025/05/19 02:18:36.350709259,413,-6
2025/05/19 02:18:36.448900480,411,-6
2025/05/19 02:18:36.549111623,408,-6
2025/05/19 02:18:36.649042479,406,-6
2025/05/19 02:18:36.767681430,333,-3
2025/05/19 02:18:36.849403416,361,-1
2025/05/19 02:18:36.949891952,403,0
2025/05/19 02:18:37.49517543,422,0
2025/05/19 02:18:37.149060399,439,0
2025/05/19 02:18:37.249473028,440,0
2025/05/19 02:18:37.349204025,437,0
2025/05/19 02:18:37.449163746,434,0
2025/05/19 02:18:37.549120996,431,0
2025/05/19 02:18:37.667545356,479,-3
2025/05/19 02:18:37.766909787,536,-6
2025/05/19 02:18:37.849090208,534,-8
2025/05/19 02:18:37.949816202,486,-11
2025/05/19 02:18:38.49911607,438,-14
2025/05/19 02:18:38.151801062,389,-17
2025/05/19 02:18:38.249446961,373,-17
2025/05/19 02:18:38.352024689,379,-17
2025/05/19 02:18:38.450131238,385,-16
2025/05/19 02:18:38.550933876,392,-15
2025/05/19 02:18:38.665109595,318,-12
2025/05/19 02:18:38.765806606,256,-10
2025/05/19 02:18:38.849983946,315,-7
2025/05/19 02:18:38.949425504,369,-4
2025/05/19 02:18:39.50082831,420,-1
2025/05/19 02:18:39.149693721,454,0
2025/05/19 02:18:39.252007246,458,0
2025/05/19 02:18:39.350430794,461,0
2025/05/19 02:18:39.449039729,465,0
2025/05/19 02:18:39.549781898,468,0
2025/05/19 02:18:39.650168618,472,0
2025/05/19 02:18:39.749306358,449,0
2025/05/19 02:18:39.849304404,460,0
2025/05/19 02:18:39.950883694,463,0
2025/05/19 02:18:40.49097202,465,0
2025/05/19 02:18:40.149155179,467,0
2025/05/19 02:18:40.251114185,469,0
2025/05/19 02:18:40.351704566,471,0
2025/05/19 02:18:40.449530599,473,0
2025/05/19 02:18:40.551099378,480,0
2025/05/19 02:18:40.651445661,486,0
2025/05/19 02:18:40.767724840,524,-3
2025/05/19 02:18:40.849807960,536,-5
2025/05/19 02:18:40.951806424,488,-7
2025/05/19 02:18:41.49692324,452,-8
2025/05/19 02:18:41.153218004,459,-7
2025/05/19 02:18:41.249378991,465,-7
2025/05/19 02:18:41.351954526,472,-7
2025/05/19 02:18:41.449485975,479,-7
2025/05/19 02:18:41.549341265,485,-6
2025/05/19 02:18:41.649852580,491,-6
2025/05/19 02:18:41.766094074,526,-9
2025/05/19 02:18:41.868289501,579,-12
2025/05/19 02:18:41.950978934,583,-14
2025/05/19 02:18:42.49006267,582,-16
2025/05/19 02:18:42.149443520,557,-18
2025/05/19 02:18:42.251525853,534,-21
2025/05/19 02:18:42.349279770,538,-21
2025/05/19 02:18:42.449169184,546,-20
2025/05/19 02:18:42.552980777,554,-19
2025/05/19 02:18:42.668602927,493,-16
2025/05/19 02:18:42.749023072,486,-13
2025/05/19 02:18:42.849924606,518,-11
2025/05/19 02:18:42.950100773,522,-8
2025/05/19 02:18:43.52435427,525,-7
2025/05/19 02:18:43.150624893,529,-6
2025/05/19 02:18:43.252496748,533,-6
2025/05/19 02:18:43.349518408,537,-6
2025/05/19 02:18:43.449998947,541,-6
2025/05/19 02:18:43.549174951,546,-6
2025/05/19 02:18:43.660478277,501,-4
2025/05/19 02:18:43.791459259,481,-2
2025/05/19 02:18:43.850173725,515,-1
2025/05/19 02:18:43.949669278,569,0
2025/05/19 02:18:44.50410536,613,0
2025/05/19 02:18:44.149978554,619,0
2025/05/19 02:18:44.249065487,623,0
2025/05/19 02:18:44.349672623,628,0
2025/05/19 02:18:44.451932224,632,0
2025/05/19 02:18:44.549916719,637,0
2025/05/19 02:18:44.663307130,641,0
2025/05/19 02:18:44.749282861,631,-1
2025/05/19 02:18:44.849366497,594,-1
2025/05/19 02:18:44.949334903,598,-1
2025/05/19 02:18:45.50788551,602,-1
2025/05/19 02:18:45.149038367,606,-1
2025/05/19 02:18:45.249796354,610,-1
2025/05/19 02:18:45.350347111,614,-1
2025/05/19 02:18:45.449339181,618,-1
2025/05/19 02:18:45.550324999,622,-1
2025/05/19 02:18:45.650647378,626,-1
2025/05/19 02:18:45.751981655,605,-1
2025/05/19 02:18:45.849380648,610,-1
2025/05/19 02:18:45.949152906,614,-1
2025/05/19 02:18:46.49212448,618,-1
2025/05/19 02:18:46.150913849,622,-1
2025/05/19 02:18:46.249057224,625,-1
2025/05/19 02:18:46.349085760,629,-1
2025/05/19 02:18:46.449721122,633,-1
2025/05/19 02:18:46.549114198,637,-1
2025/05/19 02:18:46.650899524,615,-3
2025/05/19 02:18:46.749454746,606,-3
2025/05/19 02:18:46.849533251,610,-3
2025/05/19 02:18:46.949281481,614,-3
2025/05/19 02:18:47.49112718,618,-3
2025/05/19 02:18:47.152299035,621,-3
2025/05/19 02:18:47.249761921,625,-3
2025/05/19 02:18:47.350768057,628,-3
2025/05/19 02:18:47.450022822,632,-3
2025/05/19 02:18:47.549461529,635,-3
2025/05/19 02:18:47.650669226,657,-1
2025/05/19 02:18:47.749743615,673,-1
2025/05/19 02:18:47.849343686,676,-1
2025/05/19 02:18:47.949449248,678,-1
2025/05/19 02:18:48.50285122,681,-1
2025/05/19 02:18:48.149092460,684,-1
2025/05/19 02:18:48.249380708,687,-1
2025/05/19 02:18:48.351781886,690,-1
2025/05/19 02:18:48.449428092,692,-1
2025/05/19 02:18:48.549816951,695,-1
2025/05/19 02:18:48.649762490,698,-2
2025/05/19 02:18:48.750315227,701,-2
2025/05/19 02:18:48.849337599,703,-2
2025/05/19 02:18:48.949098055,706,-2
2025/05/19 02:18:49.49405768,708,-2
2025/05/19 02:18:49.150719145,711,-2
2025/05/19 02:18:49.249365046,713,-2
2025/05/19 02:18:49.349789368,716,-2
2025/05/19 02:18:49.451557518,718,-2
2025/05/19 02:18:49.550247852,720,-2
2025/05/19 02:18:49.668277256,740,-4
2025/05/19 02:18:49.749290025,715,-6
2025/05/19 02:18:49.849074976,685,-8
2025/05/19 02:18:49.949656677,688,-8
2025/05/19 02:18:50.50227141,690,-7
2025/05/19 02:18:50.151024654,693,-7
2025/05/19 02:18:50.249414735,696,-7
2025/05/19 02:18:50.349707732,698,-7
2025/05/19 02:18:50.449204755,701,-7
2025/05/19 02:18:50.549908545,703,-7
2025/05/19 02:18:50.661794755,679,-7
2025/05/19 02:18:50.766694539,657,-4
2025/05/19 02:18:50.874096791,695,-1
2025/05/19 02:18:50.950723046,721,0
2025/05/19 02:18:51.49465159,755,0
2025/05/19 02:18:51.149575374,778,0
2025/05/19 02:18:51.250165628,780,0
2025/05/19 02:18:51.349369109,781,0
2025/05/19 02:18:51.449202461,782,0
2025/05/19 02:18:51.549524423,784,0
