time,transforms_0
2025/05/19 02:18:25.211092485,"{'header': {'stamp': {'secs': 1747613905, 'nsecs': 190192372}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183516695515628, 'y': -4.962177706306711, 'z': 0.43368726538327484}, 'rotation': {'x': -0.0002476972405826923, 'y': -0.000158988540462146, 'z': 0.5551622239150711, 'w': 0.8317420384388381}}}"
2025/05/19 02:18:25.290565517,"{'header': {'stamp': {'secs': 1747613905, 'nsecs': 287389385}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183511543355417, 'y': -4.96210852114636, 'z': 0.43368662416390547}, 'rotation': {'x': -0.00028248427956673543, 'y': -0.00018898336629536022, 'z': 0.5551601747442121, 'w': 0.8317433888320934}}}"
2025/05/19 02:18:25.404877487,"{'header': {'stamp': {'secs': 1747613905, 'nsecs': 392967248}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183567522567825, 'y': -4.962148811821741, 'z': 0.4336862545842906}, 'rotation': {'x': -0.0003373510727438991, 'y': -0.0002125000443392916, 'z': 0.5551582016977337, 'w': 0.8317446796497849}}}"
2025/05/19 02:18:25.492641035,"{'header': {'stamp': {'secs': 1747613905, 'nsecs': 487150005}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183573752272503, 'y': -4.962076547966503, 'z': 0.43368631222512394}, 'rotation': {'x': -0.00038112295602387716, 'y': -0.0002510113559916727, 'z': 0.5551563098972819, 'w': 0.8317459127160317}}}"
2025/05/19 02:18:25.587973877,"{'header': {'stamp': {'secs': 1747613905, 'nsecs': 582584884}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183611016236481, 'y': -4.962126723789249, 'z': 0.43368672495539584}, 'rotation': {'x': -0.00042195278569864266, 'y': -0.0002683622261080947, 'z': 0.5551544903175412, 'w': 0.8317471020796124}}}"
2025/05/19 02:18:25.685540786,"{'header': {'stamp': {'secs': 1747613905, 'nsecs': 682436153}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183575315427717, 'y': -4.962076039995291, 'z': 0.4336873622805833}, 'rotation': {'x': -0.00043288007105985485, 'y': -0.00028787915992654434, 'z': 0.5551527696777966, 'w': 0.8317482383867757}}}"
2025/05/19 02:18:25.791386437,"{'header': {'stamp': {'secs': 1747613905, 'nsecs': 785860949}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.1835585098804, 'y': -4.962152575466656, 'z': 0.43368802002623114}, 'rotation': {'x': -0.0004305012018768574, 'y': -0.00027875143588673246, 'z': 0.5551511337938873, 'w': 0.8317493346037096}}}"
2025/05/19 02:18:25.895836108,"{'header': {'stamp': {'secs': 1747613905, 'nsecs': 889415374}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183469949596839, 'y': -4.962125691732522, 'z': 0.4336885576708345}, 'rotation': {'x': -0.00039812824391965133, 'y': -0.0002709753085059777, 'z': 0.5551495857543582, 'w': 0.831750386536158}}}"
2025/05/19 02:18:25.988937134,"{'header': {'stamp': {'secs': 1747613905, 'nsecs': 986040231}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183413925773948, 'y': -4.962218882848331, 'z': 0.4336888470652305}, 'rotation': {'x': -0.0003618948627917393, 'y': -0.0002397200094133341, 'z': 0.5551480973442456, 'w': 0.8317514061193341}}}"
2025/05/19 02:18:26.91723533,"{'header': {'stamp': {'secs': 1747613906, 'nsecs': 81762628}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183308490898558, 'y': -4.962198045691256, 'z': 0.43368889744638994}, 'rotation': {'x': -0.0003123002491191691, 'y': -0.0002197072412044568, 'z': 0.5551466744279432, 'w': 0.831752381462703}}}"
2025/05/19 02:18:26.205132366,"{'header': {'stamp': {'secs': 1747613906, 'nsecs': 191440763}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183261705514022, 'y': -4.962285348875874, 'z': 0.43368868947912215}, 'rotation': {'x': -0.00027896925617170836, 'y': -0.000188583434747215, 'z': 0.555145300051982, 'w': 0.8317533182636767}}}"
2025/05/19 02:18:26.299889747,"{'header': {'stamp': {'secs': 1747613906, 'nsecs': 288385607}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183189304553231, 'y': -4.9622480563624345, 'z': 0.43368825075121287}, 'rotation': {'x': -0.0002512205674645982, 'y': -0.00018062574173437218, 'z': 0.5551439840542406, 'w': 0.8317542072216726}}}"
2025/05/19 02:18:26.390645814,"{'header': {'stamp': {'secs': 1747613906, 'nsecs': 382080882}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183191292223205, 'y': -4.962312186468747, 'z': 0.43368762982299414}, 'rotation': {'x': -0.0002530509442796974, 'y': -0.00017019674180363147, 'z': 0.5551427195383319, 'w': 0.8317550528502209}}}"
2025/05/19 02:18:26.492246946,"{'header': {'stamp': {'secs': 1747613906, 'nsecs': 488576152}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183171857472566, 'y': -4.962251267594482, 'z': 0.4336870010023654}, 'rotation': {'x': -0.00026503455940207483, 'y': -0.00018607568345005166, 'z': 0.5551415150536521, 'w': 0.8317558496316442}}}"
2025/05/19 02:18:26.592477605,"{'header': {'stamp': {'secs': 1747613906, 'nsecs': 590235079}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183217096966374, 'y': -4.962292309144233, 'z': 0.4336865551751905}, 'rotation': {'x': -0.0003013043540421441, 'y': -0.00019733479438123643, 'z': 0.5551403545885062, 'w': 0.8317566092205175}}}"
2025/05/19 02:18:26.683584823,"{'header': {'stamp': {'secs': 1747613906, 'nsecs': 680885489}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183224100587347, 'y': -4.962218047848749, 'z': 0.43368647321252185}, 'rotation': {'x': -0.00033532881559174597, 'y': -0.00022737004265366452, 'z': 0.5551392410364181, 'w': 0.8317573317494465}}}"
2025/05/19 02:18:26.783428272,"{'header': {'stamp': {'secs': 1747613906, 'nsecs': 781864605}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183275144112828, 'y': -4.962260355175832, 'z': 0.4336867657644847}, 'rotation': {'x': -0.0003771194966455927, 'y': -0.000242031788799274, 'z': 0.5551381607462303, 'w': 0.8317580307305671}}}"
2025/05/19 02:18:26.891616242,"{'header': {'stamp': {'secs': 1747613906, 'nsecs': 885798873}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.18326487140277, 'y': -4.962195461812315, 'z': 0.4336873136247728}, 'rotation': {'x': -0.00039897020636746826, 'y': -0.00026505617419793787, 'z': 0.5551371305311794, 'w': 0.8317587011108494}}}"
2025/05/19 02:18:26.994178682,"{'header': {'stamp': {'secs': 1747613906, 'nsecs': 984809181}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183281552075542, 'y': -4.962254423545274, 'z': 0.43368796123266246}, 'rotation': {'x': -0.0004144591733914457, 'y': -0.00026418030108336184, 'z': 0.5551361411017995, 'w': 0.8317593541854309}}}"
2025/05/19 02:18:27.90958917,"{'header': {'stamp': {'secs': 1747613907, 'nsecs': 86553619}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': -9.183229410658697, 'y': -4.962210295051148, 'z': 0.43368851209475917}, 'rotation': {'x': -0.0004027154167526066, 'y': -0.00026714825472830175, 'z': 0.555135207207696, 'w': 0.831759982308942}}}"
