time,throttle_reference,angle_reference
2025/05/20 12:56:10.692606634,341,-10
2025/05/20 12:56:10.767461554,285,-11
2025/05/20 12:56:10.866080274,211,-13
2025/05/20 12:56:10.965424494,134,-16
2025/05/20 12:56:11.65971779,77,-19
2025/05/20 12:56:11.165350447,35,-21
2025/05/20 12:56:11.265463016,16,-24
2025/05/20 12:56:11.365734530,15,-27
2025/05/20 12:56:11.474273153,14,-29
2025/05/20 12:56:11.590403857,13,-32
2025/05/20 12:56:11.665564132,13,-34
2025/05/20 12:56:11.765401777,13,-36
2025/05/20 12:56:11.872229107,12,-38
2025/05/20 12:56:11.976234309,12,-39
2025/05/20 12:56:12.67343841,12,-40
2025/05/20 12:56:12.212741768,37,-41
2025/05/20 12:56:12.308037788,69,-42
2025/05/20 12:56:12.400616590,86,-44
2025/05/20 12:56:12.516198458,85,-46
2025/05/20 12:56:12.623782681,83,-48
2025/05/20 12:56:12.678950154,82,-49
2025/05/20 12:56:12.788527862,81,-50
2025/05/20 12:56:12.902168611,81,-50
2025/05/20 12:56:13.147136902,80,-51
2025/05/20 12:56:13.268660273,80,-51
2025/05/20 12:56:13.406351112,65,-51
2025/05/20 12:56:13.658899493,65,-50
2025/05/20 12:56:13.715909876,65,-50
2025/05/20 12:56:13.828089278,65,-50
2025/05/20 12:56:13.916020968,65,-50
2025/05/20 12:56:13.982346346,65,-50
2025/05/20 12:56:14.66162939,66,-50
2025/05/20 12:56:14.167756059,66,-50
2025/05/20 12:56:14.267602332,24,-50
2025/05/20 12:56:14.365657614,24,-49
2025/05/20 12:56:14.469116435,24,-48
2025/05/20 12:56:14.567187873,25,-48
2025/05/20 12:56:14.666388569,25,-47
2025/05/20 12:56:14.766343388,25,-47
2025/05/20 12:56:14.866086178,25,-47
2025/05/20 12:56:14.994194555,63,-44
2025/05/20 12:56:15.90293200,120,-44
2025/05/20 12:56:15.198725335,183,-44
2025/05/20 12:56:15.274549656,232,-44
2025/05/20 12:56:15.367035884,291,-42
2025/05/20 12:56:15.467905611,315,-41
2025/05/20 12:56:15.565820271,308,-38
2025/05/20 12:56:15.671340223,303,-35
2025/05/20 12:56:15.807615926,298,-32
2025/05/20 12:56:15.866576729,293,-31
2025/05/20 12:56:15.968978435,285,-30
2025/05/20 12:56:16.66922442,276,-29
2025/05/20 12:56:16.176605708,249,-27
2025/05/20 12:56:16.266956812,244,-24
2025/05/20 12:56:16.365922741,244,-22
2025/05/20 12:56:16.466718993,246,-21
2025/05/20 12:56:16.566628669,248,-20
2025/05/20 12:56:16.666181253,251,-19
2025/05/20 12:56:16.765706930,254,-19
2025/05/20 12:56:16.865854742,257,-18
2025/05/20 12:56:16.966429458,261,-18
2025/05/20 12:56:17.80320592,265,-18
2025/05/20 12:56:17.168079840,269,-17
2025/05/20 12:56:17.281737758,255,-15
2025/05/20 12:56:17.368088809,286,-13
2025/05/20 12:56:17.465602302,311,-10
2025/05/20 12:56:17.565849142,315,-10
2025/05/20 12:56:17.668986921,320,-9
2025/05/20 12:56:17.766527045,325,-9
2025/05/20 12:56:17.866095860,330,-9
2025/05/20 12:56:17.965783372,335,-9
2025/05/20 12:56:18.67092363,341,-8
2025/05/20 12:56:18.167257137,344,-7
2025/05/20 12:56:18.266338025,350,-7
2025/05/20 12:56:18.365644288,356,-7
2025/05/20 12:56:18.466220735,362,-7
2025/05/20 12:56:18.566583545,368,-6
2025/05/20 12:56:18.666994817,374,-6
2025/05/20 12:56:18.766029753,381,-6
2025/05/20 12:56:18.865970351,387,-6
2025/05/20 12:56:18.966653046,394,-6
2025/05/20 12:56:19.65771138,401,-5
2025/05/20 12:56:19.167097468,387,-6
2025/05/20 12:56:19.265920915,392,-6
2025/05/20 12:56:19.366157072,400,-6
2025/05/20 12:56:19.467547667,407,-6
2025/05/20 12:56:19.567354955,412,-6
2025/05/20 12:56:19.667043326,414,-6
2025/05/20 12:56:19.765724807,414,-6
2025/05/20 12:56:19.866671073,413,-6
2025/05/20 12:56:19.966348650,411,-6
2025/05/20 12:56:20.66236449,408,-6
2025/05/20 12:56:20.166709854,406,-6
2025/05/20 12:56:20.271611128,360,-4
2025/05/20 12:56:20.366350293,334,-2
2025/05/20 12:56:20.469036593,393,0
2025/05/20 12:56:20.578532998,417,0
2025/05/20 12:56:20.667225733,433,0
2025/05/20 12:56:20.766759059,441,0
2025/05/20 12:56:20.869036774,438,0
2025/05/20 12:56:20.965906098,435,0
2025/05/20 12:56:21.66265374,433,0
2025/05/20 12:56:21.184666881,456,-2
2025/05/20 12:56:21.283097649,503,-4
2025/05/20 12:56:21.394619724,543,-6
2025/05/20 12:56:21.467612915,529,-8
2025/05/20 12:56:21.581473505,476,-11
2025/05/20 12:56:21.667542669,433,-14
2025/05/20 12:56:21.766319257,384,-17
2025/05/20 12:56:21.868593854,377,-17
2025/05/20 12:56:21.966965026,384,-16
2025/05/20 12:56:22.71063405,390,-16
2025/05/20 12:56:22.188478186,338,-13
2025/05/20 12:56:22.292145040,283,-11
2025/05/20 12:56:22.366763589,285,-9
2025/05/20 12:56:22.466627630,346,-6
2025/05/20 12:56:22.572409946,398,-3
2025/05/20 12:56:22.667115417,447,0
2025/05/20 12:56:22.772112531,459,0
2025/05/20 12:56:22.867265805,462,0
2025/05/20 12:56:22.969252301,465,0
2025/05/20 12:56:23.66751855,469,0
2025/05/20 12:56:23.165916170,473,0
2025/05/20 12:56:23.283089206,444,0
2025/05/20 12:56:23.366283098,461,0
2025/05/20 12:56:23.467135142,464,0
2025/05/20 12:56:23.566124758,466,0
2025/05/20 12:56:23.666179702,468,0
2025/05/20 12:56:23.767079376,470,0
2025/05/20 12:56:23.865892473,472,0
2025/05/20 12:56:23.969895110,474,0
2025/05/20 12:56:24.65723377,480,0
2025/05/20 12:56:24.167301469,486,0
2025/05/20 12:56:24.285028887,507,-2
2025/05/20 12:56:24.367257090,552,-4
2025/05/20 12:56:24.470939165,505,-6
2025/05/20 12:56:24.565835541,455,-8
2025/05/20 12:56:24.666587297,459,-7
2025/05/20 12:56:24.766911906,465,-7
2025/05/20 12:56:24.866558287,472,-7
2025/05/20 12:56:24.965767015,479,-7
2025/05/20 12:56:25.67336663,485,-6
2025/05/20 12:56:25.165988947,491,-6
2025/05/20 12:56:25.279020528,509,-8
2025/05/20 12:56:25.383353566,558,-11
2025/05/20 12:56:25.467100590,583,-13
2025/05/20 12:56:25.568242401,586,-15
2025/05/20 12:56:25.666220975,563,-18
2025/05/20 12:56:25.768500161,540,-20
2025/05/20 12:56:25.866347791,537,-21
2025/05/20 12:56:25.966145946,545,-20
2025/05/20 12:56:26.67148980,553,-19
2025/05/20 12:56:26.181743902,516,-17
2025/05/20 12:56:26.267138767,488,-15
2025/05/20 12:56:26.366426896,518,-12
2025/05/20 12:56:26.467575457,523,-9
2025/05/20 12:56:26.567806689,526,-7
2025/05/20 12:56:26.666664678,530,-6
2025/05/20 12:56:26.766083076,534,-6
2025/05/20 12:56:26.868779130,538,-6
2025/05/20 12:56:26.966021287,542,-6
2025/05/20 12:56:27.68886664,546,-6
2025/05/20 12:56:27.188337913,501,-4
2025/05/20 12:56:27.266320318,498,-2
2025/05/20 12:56:27.367159773,554,0
2025/05/20 12:56:27.466775554,602,0
2025/05/20 12:56:27.570112763,614,0
2025/05/20 12:56:27.666413464,619,0
2025/05/20 12:56:27.765890781,623,0
2025/05/20 12:56:27.870065313,628,0
2025/05/20 12:56:27.966580404,632,0
2025/05/20 12:56:28.66050178,637,0
2025/05/20 12:56:28.165757946,641,0
2025/05/20 12:56:28.267172027,635,-1
2025/05/20 12:56:28.367876343,594,-1
2025/05/20 12:56:28.467007030,598,-1
2025/05/20 12:56:28.566878840,602,-1
2025/05/20 12:56:28.667217147,606,-1
2025/05/20 12:56:28.767640447,610,-1
2025/05/20 12:56:28.868472685,614,-1
2025/05/20 12:56:28.965909401,618,-1
2025/05/20 12:56:29.65792631,622,-1
2025/05/20 12:56:29.168709181,626,-1
2025/05/20 12:56:29.266030257,605,-1
2025/05/20 12:56:29.367155198,610,-1
2025/05/20 12:56:29.466294426,614,-1
2025/05/20 12:56:29.567675408,618,-1
2025/05/20 12:56:29.667306231,622,-1
2025/05/20 12:56:29.767292413,625,-1
2025/05/20 12:56:29.866285841,629,-1
2025/05/20 12:56:29.966035657,633,-1
2025/05/20 12:56:30.65964632,637,-1
2025/05/20 12:56:30.168322794,629,-3
2025/05/20 12:56:30.265998977,606,-3
2025/05/20 12:56:30.365726119,610,-3
2025/05/20 12:56:30.466777819,614,-3
2025/05/20 12:56:30.566073383,618,-3
2025/05/20 12:56:30.666503902,621,-3
2025/05/20 12:56:30.776692169,625,-3
2025/05/20 12:56:30.865912531,628,-3
2025/05/20 12:56:30.965864801,632,-3
2025/05/20 12:56:31.66821640,635,-3
2025/05/20 12:56:31.166154674,644,-1
2025/05/20 12:56:31.266049989,673,-1
2025/05/20 12:56:31.367203292,676,-1
2025/05/20 12:56:31.465840183,678,-1
2025/05/20 12:56:31.567172301,681,-1
2025/05/20 12:56:31.667609658,684,-1
2025/05/20 12:56:31.766865886,687,-1
2025/05/20 12:56:31.865835120,690,-1
2025/05/20 12:56:31.965924107,692,-1
2025/05/20 12:56:32.67390584,695,-1
2025/05/20 12:56:32.165887010,698,-2
2025/05/20 12:56:32.266081858,701,-2
2025/05/20 12:56:32.367009731,703,-2
2025/05/20 12:56:32.467010131,706,-2
2025/05/20 12:56:32.566311224,708,-2
2025/05/20 12:56:32.668242363,711,-2
2025/05/20 12:56:32.766055943,713,-2
2025/05/20 12:56:32.866327424,716,-2
2025/05/20 12:56:32.965875363,718,-2
2025/05/20 12:56:33.65836687,720,-2
2025/05/20 12:56:33.190755654,737,-4
2025/05/20 12:56:33.266922543,723,-6
2025/05/20 12:56:33.367897005,685,-8
2025/05/20 12:56:33.466731348,687,-8
2025/05/20 12:56:33.566018284,690,-7
2025/05/20 12:56:33.667538596,693,-7
2025/05/20 12:56:33.766118188,696,-7
2025/05/20 12:56:33.866354433,698,-7
2025/05/20 12:56:33.967812210,701,-7
2025/05/20 12:56:34.67605880,703,-7
2025/05/20 12:56:34.181805252,687,-8
2025/05/20 12:56:34.268610843,668,-5
2025/05/20 12:56:34.366156818,670,-3
