time,transforms_0
2025/05/20 13:26:45.216935046,"{'header': {'stamp': {'secs': 1747740404, 'nsecs': 975653324}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 27.126694262240953, 'y': 20.911718768929557, 'z': 0.43389177999293993}, 'rotation': {'x': 0.0008151713722016568, 'y': -0.000547312038443361, 'z': -0.8122482969025254, 'w': 0.5833110149175252}}}"
2025/05/20 13:26:45.217567713,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 78540874}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 27.12690952483577, 'y': 20.9114115578906, 'z': 0.4338930885385718}, 'rotation': {'x': 0.0007804623534447408, 'y': -0.00017219283006419085, 'z': -0.8122448688954222, 'w': 0.583316067137879}}}"
2025/05/20 13:26:45.217716856,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 141802914}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -455.577008396585, 'y': -289.1647501383027, 'z': 2.335582997865739}, 'rotation': {'x': 0.01910960610228187, 'y': -0.02561422901959179, 'z': -0.8118389567910882, 'w': 0.5830062113414447}}}"
2025/05/20 13:26:45.217804631,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 181356763}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 27.127404864892767, 'y': 20.91116228719806, 'z': 0.433840029587731}, 'rotation': {'x': 0.0005399691090507718, 'y': 0.0003262747868211569, 'z': -0.8122414530000737, 'w': 0.583321029971022}}}"
2025/05/20 13:26:45.279499019,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 274727556}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 27.128008783464686, 'y': 20.910984610494385, 'z': 0.43374737175734435}, 'rotation': {'x': 0.00015276397337931735, 'y': 0.0008284032920332317, 'z': -0.812237923066364, 'w': 0.5833256781112878}}}"
2025/05/20 13:26:45.291142253,"{'header': {'stamp': {'secs': 1747740404, 'nsecs': 980863142}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -455.59231399898533, 'y': -289.16273134259825, 'z': 2.3286850904927348}, 'rotation': {'x': -0.015193181219905599, 'y': 0.02291635200558103, 'z': -0.8119103307141337, 'w': 0.5831343095161196}}}"
2025/05/20 13:26:45.291215248,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 34577834}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -455.5472705869005, 'y': -289.1770771879245, 'z': 2.3473310891492862}, 'rotation': {'x': -0.0010790923754545397, 'y': 0.0030790012931466836, 'z': -0.8122294874158974, 'w': 0.5833289081494168}}}"
2025/05/20 13:26:45.291262937,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 70236737}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -455.5414203107618, 'y': -289.1790694038652, 'z': 2.349663035969996}, 'rotation': {'x': 0.0023434596191892285, 'y': -0.0018457130870907991, 'z': -0.8122339746758191, 'w': 0.5833241568138031}}}"
2025/05/20 13:26:45.378397661,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 376293192}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 27.128556360014173, 'y': 20.910964056027705, 'z': 0.43363955404848187}, 'rotation': {'x': -0.00028471531672556044, 'y': 0.0012182964830019503, 'z': -0.8122343917718511, 'w': 0.5833298616682323}}}"
2025/05/20 13:26:45.480114222,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 477188895}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 27.128887415944163, 'y': 20.91109228691663, 'z': 0.4335443336455181}, 'rotation': {'x': -0.0006804567921631858, 'y': 0.0014014486636073757, 'z': -0.812231140440827, 'w': 0.5833336501680585}}}"
2025/05/20 13:26:45.579710423,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 572495695}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 27.128916447953713, 'y': 20.911373321630187, 'z': 0.43348799728451404}, 'rotation': {'x': -0.0009538782175050986, 'y': 0.0013374665829654225, 'z': -0.8122283580471045, 'w': 0.5833372915248863}}}"
2025/05/20 13:26:45.692820853,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 681698662}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 27.12863736205048, 'y': 20.9117923132373, 'z': 0.4334851513153849}, 'rotation': {'x': -0.0010549543818326697, 'y': 0.0010448167224978077, 'z': -0.8122259877453338, 'w': 0.5833410154106993}}}"
2025/05/20 13:26:45.719415717,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 681388861}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -455.6781870875433, 'y': -289.1277044697284, 'z': 2.294737707748651}, 'rotation': {'x': 0.01661122252417766, 'y': -0.023119154599678803, 'z': -0.811877706468091, 'w': 0.5831330566148353}}}"
2025/05/20 13:26:45.788552471,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 782042953}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 27.128072452467073, 'y': 20.912181013431308, 'z': 0.43353748106362}, 'rotation': {'x': -0.0009884863259133165, 'y': 0.0005848457484754026, 'z': -0.8122237481016974, 'w': 0.5833448927263052}}}"
2025/05/20 13:26:45.791567590,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 738255027}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -455.70271605126754, 'y': -289.120561344625, 'z': 2.2834017853177317}, 'rotation': {'x': -0.0007254300405974972, 'y': 0.0013422201833685997, 'z': -0.8122164553870357, 'w': 0.5833541821181667}}}"
2025/05/20 13:26:45.794046099,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 185523811}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -455.6323922710569, 'y': -289.1448165004973, 'z': 2.309832004939429}, 'rotation': {'x': 0.0007451415762139146, 'y': -0.00011476310816532553, 'z': -0.8122431243306659, 'w': 0.5833185566832405}}}"
2025/05/20 13:26:45.797792545,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 222654246}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -455.62288514509515, 'y': -289.1471517201466, 'z': 2.3154239581779685}, 'rotation': {'x': -0.017781063734002813, 'y': 0.02521638159946538, 'z': -0.8118303265600959, 'w': 0.5830776009664971}}}"
2025/05/20 13:26:45.797852405,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 269221489}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -455.5663460741802, 'y': -289.1651267129282, 'z': 2.339731634695463}, 'rotation': {'x': -0.016367487509053334, 'y': 0.023180223595830562, 'z': -0.811880347253269, 'w': 0.5831338476975932}}}"
2025/05/20 13:26:45.797901239,"{'header': {'stamp': {'secs': 1747740405, 'nsecs': 320258258}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -455.56292179692446, 'y': -289.16578020878893, 'z': 2.341154605828055}, 'rotation': {'x': 0.016188084934557586, 'y': -0.022570634412617308, 'z': -0.8119188515631138, 'w': 0.5831091586013702}}}"
