time,throttle_reference,angle_reference
2025/05/06 15:20:03.432727978,0,-135
2025/05/06 15:20:03.494506137,0,-135
2025/05/06 15:20:03.591224162,0,-135
2025/05/06 15:20:03.691499264,0,-135
2025/05/06 15:20:03.791549809,0,-135
2025/05/06 15:20:03.920646008,0,-135
2025/05/06 15:20:04.7627275,0,-135
2025/05/06 15:20:04.91573668,0,-135
2025/05/06 15:20:04.192940825,0,-135
2025/05/06 15:20:04.305250727,0,-135
2025/05/06 15:20:04.391557321,0,-135
2025/05/06 15:20:04.504974981,0,-135
2025/05/06 15:20:04.639377153,0,-135
2025/05/06 15:20:04.704180647,0,-135
2025/05/06 15:20:04.790869917,0,-135
2025/05/06 15:20:04.890240271,0,-135
2025/05/06 15:20:05.331976496,0,-135
2025/05/06 15:20:05.336750409,0,-135
2025/05/06 15:20:05.344722540,0,-135
2025/05/06 15:20:05.350803110,0,-135
2025/05/06 15:20:05.391532297,0,-135
2025/05/06 15:20:05.493635435,0,-135
2025/05/06 15:20:05.597090493,0,-135
2025/05/06 15:20:05.694024499,0,-135
2025/05/06 15:20:05.789844450,0,-135
2025/05/06 15:20:05.892542443,0,-135
2025/05/06 15:20:06.5117148,0,-135
2025/05/06 15:20:06.100950645,0,-135
2025/05/06 15:20:06.199707391,0,-135
2025/05/06 15:20:06.321951158,0,-135
2025/05/06 15:20:06.443817147,0,-135
2025/05/06 15:20:06.501375194,0,-135
2025/05/06 15:20:06.618103285,0,-135
2025/05/06 15:20:06.818635105,0,-135
2025/05/06 15:20:06.861468252,0,-135
2025/05/06 15:20:06.938771827,0,-135
2025/05/06 15:20:07.92688460,0,-135
2025/05/06 15:20:07.150435401,0,-135
2025/05/06 15:20:07.213150035,0,-135
2025/05/06 15:20:07.299847951,0,-135
2025/05/06 15:20:07.487975614,6,-135
2025/05/06 15:20:07.594143271,6,-135
2025/05/06 15:20:07.630390834,6,-135
2025/05/06 15:20:07.691242437,6,-135
2025/05/06 15:20:07.816368160,6,-135
2025/05/06 15:20:07.897957742,6,-135
2025/05/06 15:20:08.25020795,6,-135
2025/05/06 15:20:08.199159035,6,-135
2025/05/06 15:20:08.262618041,44,-135
2025/05/06 15:20:08.355475376,45,-135
2025/05/06 15:20:08.415287111,45,-135
2025/05/06 15:20:08.593573179,45,-135
2025/05/06 15:20:08.717379952,45,-135
2025/05/06 15:20:08.777279628,45,-135
2025/05/06 15:20:08.830077267,45,-135
2025/05/06 15:20:08.895381057,45,-135
2025/05/06 15:20:08.995385782,45,-135
2025/05/06 15:20:09.91881311,45,-135
2025/05/06 15:20:09.194252294,45,-135
2025/05/06 15:20:09.293368593,36,-135
2025/05/06 15:20:09.392476428,36,-135
2025/05/06 15:20:09.489590941,36,-135
2025/05/06 15:20:09.594640098,36,-135
2025/05/06 15:20:09.694765517,36,-135
2025/05/06 15:20:09.788964050,36,-135
2025/05/06 15:20:09.893692320,36,-135
2025/05/06 15:20:09.997195074,36,-135
2025/05/06 15:20:10.91691743,36,-135
2025/05/06 15:20:10.199380674,36,-135
2025/05/06 15:20:10.291324746,13,-135
2025/05/06 15:20:10.392384944,13,-135
2025/05/06 15:20:10.492024656,13,-135
2025/05/06 15:20:10.598477307,13,-135
2025/05/06 15:20:10.697651723,13,-135
2025/05/06 15:20:10.794504895,13,-135
2025/05/06 15:20:10.891659145,13,-135
2025/05/06 15:20:11.3341677,-232,-135
2025/05/06 15:20:11.89863459,-230,-135
2025/05/06 15:20:11.190015233,-190,-135
2025/05/06 15:20:11.289176223,-190,-135
2025/05/06 15:20:11.395201641,-191,-135
2025/05/06 15:20:11.492235912,-192,-135
2025/05/06 15:20:11.591588008,-193,-135
2025/05/06 15:20:11.690589590,-195,-135
2025/05/06 15:20:11.789581088,-196,-135
2025/05/06 15:20:11.892389330,-198,-135
2025/05/06 15:20:11.989645408,-201,-135
2025/05/06 15:20:12.90154119,-203,-135
2025/05/06 15:20:12.190541918,-225,-135
2025/05/06 15:20:12.291324765,-229,-135
2025/05/06 15:20:12.389051804,-232,-135
2025/05/06 15:20:12.491221220,-235,-135
2025/05/06 15:20:12.589450395,-238,-135
2025/05/06 15:20:12.692941878,-242,-135
2025/05/06 15:20:12.790198789,-245,-135
2025/05/06 15:20:12.890168500,-249,-135
2025/05/06 15:20:12.989002538,-253,-135
2025/05/06 15:20:13.92976071,-257,-135
2025/05/06 15:20:13.189747792,-262,-135
2025/05/06 15:20:13.290501466,-291,-135
2025/05/06 15:20:13.390277342,-296,-135
2025/05/06 15:20:13.497204296,-301,-135
2025/05/06 15:20:13.589116983,-305,-135
2025/05/06 15:20:13.690663333,-310,-135
2025/05/06 15:20:13.789810002,-316,-135
2025/05/06 15:20:13.895753849,-321,-135
2025/05/06 15:20:13.992769403,-326,-135
2025/05/06 15:20:14.89183435,-332,-135
2025/05/06 15:20:14.193253781,-335,-135
2025/05/06 15:20:14.289280560,-341,-135
2025/05/06 15:20:14.392184140,-347,-135
2025/05/06 15:20:14.489204327,-353,-135
2025/05/06 15:20:14.589914685,-359,-135
2025/05/06 15:20:14.689087941,-365,-135
2025/05/06 15:20:14.791929543,-372,-135
2025/05/06 15:20:14.892757368,-379,-135
2025/05/06 15:20:14.990706277,-385,-135
2025/05/06 15:20:15.89083668,-392,-135
2025/05/06 15:20:15.191839359,-381,-135
2025/05/06 15:20:15.289779857,-386,-135
2025/05/06 15:20:15.389584955,-394,-135
2025/05/06 15:20:15.489475262,-401,-135
2025/05/06 15:20:15.590646068,-407,-135
2025/05/06 15:20:15.690163051,-409,-135
2025/05/06 15:20:15.789794508,-409,-135
2025/05/06 15:20:15.890597469,-408,-135
2025/05/06 15:20:15.989792352,-406,-135
2025/05/06 15:20:16.89434755,-403,-135
2025/05/06 15:20:16.191254898,-401,-135
2025/05/06 15:20:16.289895873,-455,-135
2025/05/06 15:20:16.392011060,-453,-135
2025/05/06 15:20:16.494717026,-452,-135
2025/05/06 15:20:16.590870353,-451,-135
2025/05/06 15:20:16.688722626,-450,-135
2025/05/06 15:20:16.789773084,-450,-135
2025/05/06 15:20:16.891644935,-451,-135
2025/05/06 15:20:16.992007707,-451,-135
2025/05/06 15:20:17.89711223,-452,-135
2025/05/06 15:20:17.196530236,-313,-135
2025/05/06 15:20:17.288794425,-293,-135
2025/05/06 15:20:17.390260455,-295,-135
2025/05/06 15:20:17.491657925,-298,-135
2025/05/06 15:20:17.590527367,-302,-135
2025/05/06 15:20:17.689044539,-305,-135
2025/05/06 15:20:17.791474483,-309,-135
2025/05/06 15:20:17.894618313,-314,-135
2025/05/06 15:20:17.990779489,-318,-135
2025/05/06 15:20:18.88945347,-323,-135
2025/05/06 15:20:18.192341178,-424,-135
2025/05/06 15:20:18.290825953,-437,-135
2025/05/06 15:20:18.389619411,-442,-135
2025/05/06 15:20:18.490365987,-447,-135
2025/05/06 15:20:18.590959636,-452,-135
2025/05/06 15:20:18.689226677,-458,-135
2025/05/06 15:20:18.789620377,-463,-135
2025/05/06 15:20:18.889043268,-469,-135
2025/05/06 15:20:18.990663940,-474,-135
2025/05/06 15:20:19.90799739,-480,-135
2025/05/06 15:20:19.193841843,-486,-135
2025/05/06 15:20:19.289247247,-492,-135
2025/05/06 15:20:19.389175935,-498,-135
2025/05/06 15:20:19.490655430,-504,-135
2025/05/06 15:20:19.589931708,-509,-135
2025/05/06 15:20:19.688873593,-515,-135
2025/05/06 15:20:19.791081167,-521,-135
2025/05/06 15:20:19.889604750,-527,-135
2025/05/06 15:20:19.990980494,-533,-135
2025/05/06 15:20:20.90156085,-539,-135
2025/05/06 15:20:20.190507492,-545,-135
2025/05/06 15:20:20.289014163,-433,-135
2025/05/06 15:20:20.390908257,-440,-135
2025/05/06 15:20:20.489757128,-446,-135
2025/05/06 15:20:20.589813305,-453,-135
2025/05/06 15:20:20.689222049,-460,-135
2025/05/06 15:20:20.791310527,-466,-135
2025/05/06 15:20:20.889463245,-473,-135
2025/05/06 15:20:20.988997009,-479,-135
2025/05/06 15:20:21.89243460,-486,-135
2025/05/06 15:20:21.191178841,-492,-135
2025/05/06 15:20:21.289325923,-377,-135
2025/05/06 15:20:21.397080743,-384,-135
2025/05/06 15:20:21.488931493,-392,-135
2025/05/06 15:20:21.589601553,-399,-135
2025/05/06 15:20:21.689927164,-406,-135
2025/05/06 15:20:21.798282889,-413,-135
2025/05/06 15:20:21.890450397,-420,-135
2025/05/06 15:20:21.992149161,-426,-135
2025/05/06 15:20:22.90320644,-433,-135
2025/05/06 15:20:22.190116137,-499,-135
2025/05/06 15:20:22.289209332,-506,-135
2025/05/06 15:20:22.390766062,-512,-135
2025/05/06 15:20:22.489543456,-518,-135
2025/05/06 15:20:22.592854558,-524,-135
2025/05/06 15:20:22.695051223,-530,-135
2025/05/06 15:20:22.791661787,-536,-135
2025/05/06 15:20:22.894569396,-542,-135
2025/05/06 15:20:22.991011373,-547,-135
2025/05/06 15:20:23.89665591,-553,-135
2025/05/06 15:20:23.192826861,-573,-135
2025/05/06 15:20:23.290156815,-583,-135
2025/05/06 15:20:23.391044206,-588,-135
2025/05/06 15:20:23.489740105,-594,-135
2025/05/06 15:20:23.589936435,-599,-135
2025/05/06 15:20:23.690546198,-604,-135
2025/05/06 15:20:23.789637073,-608,-135
2025/05/06 15:20:23.889330177,-613,-135
2025/05/06 15:20:23.991126366,-618,-135
2025/05/06 15:20:24.90013184,-623,-135
2025/05/06 15:20:24.192320077,-627,-135
2025/05/06 15:20:24.290068286,-581,-135
2025/05/06 15:20:24.403810635,-586,-135
2025/05/06 15:20:24.489526512,-590,-135
2025/05/06 15:20:24.589744774,-595,-135
2025/05/06 15:20:24.689361107,-600,-135
2025/05/06 15:20:24.792982004,-604,-135
2025/05/06 15:20:24.889064666,-609,-135
2025/05/06 15:20:24.992297938,-613,-135
2025/05/06 15:20:25.89863882,-618,-135
2025/05/06 15:20:25.188848968,-622,-135
2025/05/06 15:20:25.289199112,-603,-135
2025/05/06 15:20:25.389739659,-607,-135
2025/05/06 15:20:25.492459424,-612,-135
2025/05/06 15:20:25.594985008,-616,-135
2025/05/06 15:20:25.690678614,-620,-135
2025/05/06 15:20:25.792830128,-624,-135
2025/05/06 15:20:25.891376098,-628,-135
2025/05/06 15:20:25.989447090,-632,-135
2025/05/06 15:20:26.89454833,-636,-135
2025/05/06 15:20:26.189843009,-610,-135
2025/05/06 15:20:26.295600753,-614,-135
2025/05/06 15:20:26.388678598,-618,-135
2025/05/06 15:20:26.491441124,-622,-135
2025/05/06 15:20:26.589564760,-626,-135
2025/05/06 15:20:26.691760136,-629,-135
2025/05/06 15:20:26.789743386,-633,-135
2025/05/06 15:20:26.890788206,-637,-135
2025/05/06 15:20:26.990500233,-640,-135
2025/05/06 15:20:27.91250125,-644,-135
2025/05/06 15:20:27.189925868,-671,-135
2025/05/06 15:20:27.290161481,-674,-135
2025/05/06 15:20:27.390384746,-678,-135
2025/05/06 15:20:27.489387050,-681,-135
2025/05/06 15:20:27.590181305,-684,-135
2025/05/06 15:20:27.690388955,-687,-135
2025/05/06 15:20:27.789064356,-690,-135
2025/05/06 15:20:27.892572331,-693,-135
2025/05/06 15:20:27.988655294,-696,-135
2025/05/06 15:20:28.90230945,-699,-135
2025/05/06 15:20:28.190672277,-708,-135
2025/05/06 15:20:28.289689438,-710,-135
2025/05/06 15:20:28.390414052,-713,-135
2025/05/06 15:20:28.490930837,-716,-135
2025/05/06 15:20:28.590260863,-719,-135
2025/05/06 15:20:28.689881892,-721,-135
2025/05/06 15:20:28.790785552,-724,-135
2025/05/06 15:20:28.894458767,-727,-135
2025/05/06 15:20:28.989637769,-729,-135
2025/05/06 15:20:29.89842941,-732,-135
2025/05/06 15:20:29.194766124,-702,-135
2025/05/06 15:20:29.290748864,-705,-135
2025/05/06 15:20:29.389874238,-707,-135
2025/05/06 15:20:29.492601751,-710,-135
2025/05/06 15:20:29.589534924,-713,-135
2025/05/06 15:20:29.692372338,-715,-135
2025/05/06 15:20:29.789626346,-718,-135
2025/05/06 15:20:29.890853601,-720,-135
2025/05/06 15:20:29.989990216,-723,-135
2025/05/06 15:20:30.89276362,-725,-135
2025/05/06 15:20:30.190510675,-767,-135
2025/05/06 15:20:30.289095039,-769,-135
2025/05/06 15:20:30.389884193,-771,-135
2025/05/06 15:20:30.491649499,-773,-135
2025/05/06 15:20:30.589129589,-775,-135
2025/05/06 15:20:30.689515612,-777,-135
2025/05/06 15:20:30.791567406,-779,-135
2025/05/06 15:20:30.891601840,-781,-135
2025/05/06 15:20:30.989366323,-783,-135
2025/05/06 15:20:31.90823257,-785,-135
2025/05/06 15:20:31.190366222,-713,-135
2025/05/06 15:20:31.291269306,-708,-135
2025/05/06 15:20:31.389005789,-711,-135
2025/05/06 15:20:31.488898050,-713,-135
2025/05/06 15:20:31.589463037,-715,-135
