time,transforms_0
2025/05/06 15:20:03.432664506,"{'header': {'stamp': {'secs': 1746537603, 'nsecs': 422184689}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 6.799160329134143, 'y': -15.817090384250045, 'z': 0.43368699262132687}, 'rotation': {'x': 4.4465697438175146e-05, 'y': -0.0003994871777590594, 'z': 0.9945503402619109, 'w': -0.1042566981911183}}}"
2025/05/06 15:20:03.530456002,"{'header': {'stamp': {'secs': 1746537603, 'nsecs': 523230647}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 6.799160486297279, 'y': -15.817090776185424, 'z': 0.4336873068577766}, 'rotation': {'x': 4.484480823041147e-05, 'y': -0.00039980407892004766, 'z': 0.9945503400002705, 'w': -0.10425669930986727}}}"
2025/05/06 15:20:03.625843689,"{'header': {'stamp': {'secs': 1746537603, 'nsecs': 619109202}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 6.799159943942629, 'y': -15.81709130489529, 'z': 0.43368800971237487}, 'rotation': {'x': 4.466488548264386e-05, 'y': -0.000400170131260759, 'z': 0.994550339724281, 'w': -0.10425670061550785}}}"
2025/05/06 15:20:03.736118994,"{'header': {'stamp': {'secs': 1746537603, 'nsecs': 725604407}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 6.799158942971755, 'y': -15.817091817490855, 'z': 0.43368850582528484}, 'rotation': {'x': 4.3967283561811694e-05, 'y': -0.0004004990357746579, 'z': 0.9945503394609284, 'w': -0.1042567021613113}}}"
2025/05/06 15:20:03.839640872,"{'header': {'stamp': {'secs': 1746537603, 'nsecs': 820911103}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 6.799157377764009, 'y': -15.81709226187678, 'z': 0.43368904426152644}, 'rotation': {'x': 4.2866763591703735e-05, 'y': -0.0004007183440450217, 'z': 0.9945503392388283, 'w': -0.10425670389562887}}}"
2025/05/06 15:20:03.941166957,"{'header': {'stamp': {'secs': 1746537603, 'nsecs': 926398758}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 6.799155547247153, 'y': -15.817092515042468, 'z': 0.43368908367382786}, 'rotation': {'x': 4.159538220163432e-05, 'y': -0.0004007535382407626, 'z': 0.9945503390889828, 'w': -0.10425670570478923}}}"
2025/05/06 15:20:04.41815600,"{'header': {'stamp': {'secs': 1746537604, 'nsecs': 20344594}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 6.799154246133677, 'y': -15.81709247150256, 'z': 0.43368901989194647}, 'rotation': {'x': 4.0267308797146e-05, 'y': -0.00040064051862096037, 'z': 0.9945503390033152, 'w': -0.10425670747778994}}}"
2025/05/06 15:20:04.139864768,"{'header': {'stamp': {'secs': 1746537604, 'nsecs': 130653194}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 6.799152821368075, 'y': -15.817092341967522, 'z': 0.43368848035359475}, 'rotation': {'x': 3.929037824415296e-05, 'y': -0.00040039439668976127, 'z': 0.9945503389541297, 'w': -0.10425670926525177}}}"
2025/05/06 15:20:04.242619098,"{'header': {'stamp': {'secs': 1746537604, 'nsecs': 223970336}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 6.799151761479308, 'y': -15.817092088771606, 'z': 0.43368800334236707}, 'rotation': {'x': 3.876110730578084e-05, 'y': -0.00040006015926374134, 'z': 0.9945503389274247, 'w': -0.10425671100121299}}}"
2025/05/06 15:20:04.350760947,"{'header': {'stamp': {'secs': 1746537604, 'nsecs': 323530373}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 6.799151378474229, 'y': -15.817091767668154, 'z': 0.4336873050497004}, 'rotation': {'x': 3.879317771901692e-05, 'y': -0.0003997285886399084, 'z': 0.9945503388952184, 'w': -0.10425671256830976}}}"
2025/05/06 15:20:04.437048303,"{'header': {'stamp': {'secs': 1746537604, 'nsecs': 422820711}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 6.7991516002808465, 'y': -15.817091524589932, 'z': 0.4336869871859684}, 'rotation': {'x': 3.936054702972221e-05, 'y': -0.0003995091529291809, 'z': 0.9945503388215198, 'w': -0.10425671389979749}}}"
2025/05/06 15:20:04.534232213,"{'header': {'stamp': {'secs': 1746537604, 'nsecs': 516329688}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 6.799153362028241, 'y': -15.817091194396452, 'z': 0.4336867543913197}, 'rotation': {'x': 4.0248234022420405e-05, 'y': -0.0003994516525350615, 'z': 0.9945503386979025, 'w': -0.10425671496044929}}}"
2025/05/06 15:20:06.492164909,"{'header': {'stamp': {'secs': 1746537605, 'nsecs': 524857889}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 6.7991516613891445, 'y': -15.817092068113787, 'z': 0.4336872332479094}, 'rotation': {'x': 4.022665018630779e-05, 'y': -0.00039999126225058945, 'z': 0.994550337509439, 'w': -0.10425672423718313}}}"
2025/05/06 15:20:06.492877829,"{'header': {'stamp': {'secs': 1746537605, 'nsecs': 625363424}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 6.79915008128498, 'y': -15.817092040990806, 'z': 0.4336868988064959}, 'rotation': {'x': 3.92533207854816e-05, 'y': -0.0003997954602040869, 'z': 0.9945503374752017, 'w': -0.1042567256858249}}}"
