time,throttle_reference,angle_reference
2025/05/07 10:24:02.408467101,0,-45
2025/05/07 10:24:02.508517004,0,-45
2025/05/07 10:24:02.614652532,0,-45
2025/05/07 10:24:02.721543389,0,-45
2025/05/07 10:24:02.809194442,0,-45
2025/05/07 10:24:02.918213538,0,-45
2025/05/07 10:24:03.8256355,0,-45
2025/05/07 10:24:03.132752573,0,-45
2025/05/07 10:24:03.208973596,0,-45
2025/05/07 10:24:03.312630695,0,-45
2025/05/07 10:24:04.21030490,4,-45
2025/05/07 10:24:04.193195769,4,-45
2025/05/07 10:24:04.321104732,4,-45
2025/05/07 10:24:04.455884432,4,-45
2025/05/07 10:24:04.555965739,4,-45
2025/05/07 10:24:04.628727014,4,-45
2025/05/07 10:24:04.699120447,4,-45
2025/05/07 10:24:04.767323957,4,-45
2025/05/07 10:24:04.880395306,4,-45
2025/05/07 10:24:04.975847172,4,-45
2025/05/07 10:24:05.68013911,4,-45
2025/05/07 10:24:05.163075455,4,-45
2025/05/07 10:24:05.359435396,4,-45
2025/05/07 10:24:05.419627705,4,-45
2025/05/07 10:24:05.472061028,4,-45
2025/05/07 10:24:05.562834517,4,-45
2025/05/07 10:24:05.658440560,4,-45
2025/05/07 10:24:05.756191136,4,-45
2025/05/07 10:24:05.853099546,4,-45
2025/05/07 10:24:05.959159820,4,-45
2025/05/07 10:24:06.80084815,4,-45
2025/05/07 10:24:06.186108745,4,-45
2025/05/07 10:24:06.258165273,4,-45
2025/05/07 10:24:06.353193999,4,-45
2025/05/07 10:24:06.488311260,4,-45
2025/05/07 10:24:06.556843573,4,-45
2025/05/07 10:24:06.656592973,4,-45
2025/05/07 10:24:06.758256355,4,-45
2025/05/07 10:24:06.889509192,4,-45
2025/05/07 10:24:06.993232910,4,-45
2025/05/07 10:24:07.83864611,4,-45
2025/05/07 10:24:07.209187702,4,-45
2025/05/07 10:24:07.308660124,4,-45
2025/05/07 10:24:07.400183305,4,-45
2025/05/07 10:24:07.493417487,4,-45
2025/05/07 10:24:07.595232878,4,-45
2025/05/07 10:24:07.749564652,4,-45
2025/05/07 10:24:07.905448117,4,-45
2025/05/07 10:24:07.987106398,4,-45
2025/05/07 10:24:08.64104893,4,-45
2025/05/07 10:24:08.310306374,4,-45
2025/05/07 10:24:08.547144185,4,-45
2025/05/07 10:24:08.643947154,4,-45
2025/05/07 10:24:08.802063988,4,-45
2025/05/07 10:24:08.973193833,4,-45
2025/05/07 10:24:09.186086857,4,-45
2025/05/07 10:24:09.280536012,18,-88
2025/05/07 10:24:09.356155211,18,-88
2025/05/07 10:24:09.440951535,4,-45
2025/05/07 10:24:09.493987519,4,-45
2025/05/07 10:24:09.554342244,4,-45
2025/05/07 10:24:09.655932092,4,-45
2025/05/07 10:24:09.763036571,4,-45
2025/05/07 10:24:09.857740504,4,-45
2025/05/07 10:24:09.954732108,4,-45
2025/05/07 10:24:10.73083822,4,-45
2025/05/07 10:24:10.157071539,4,-45
2025/05/07 10:24:10.256403152,4,-45
2025/05/07 10:24:10.440207148,9,-86
2025/05/07 10:24:10.491914699,9,-86
2025/05/07 10:24:10.591849245,4,-45
2025/05/07 10:24:10.663429664,4,-45
2025/05/07 10:24:10.757236949,5,-90
2025/05/07 10:24:10.869177164,5,-90
2025/05/07 10:24:10.957635491,5,-90
2025/05/07 10:24:11.53189184,7,-90
2025/05/07 10:24:11.159533913,7,-90
2025/05/07 10:24:11.260160993,7,-90
2025/05/07 10:24:11.356563894,9,-90
2025/05/07 10:24:11.461513808,9,-90
2025/05/07 10:24:11.554006622,11,-90
2025/05/07 10:24:11.657184790,11,-90
2025/05/07 10:24:11.781423744,11,-90
2025/05/07 10:24:11.856738696,14,-90
2025/05/07 10:24:11.954130306,14,-90
2025/05/07 10:24:12.57024180,14,-90
2025/05/07 10:24:12.151223249,19,-90
2025/05/07 10:24:12.252111632,19,-90
2025/05/07 10:24:12.354348932,19,-90
2025/05/07 10:24:12.459330493,19,-90
2025/05/07 10:24:12.548864337,19,-90
2025/05/07 10:24:12.682700372,19,-90
2025/05/07 10:24:12.778557989,19,-90
2025/05/07 10:24:12.877296935,19,-90
2025/05/07 10:24:13.6360674,19,-90
2025/05/07 10:24:13.59907612,19,-90
2025/05/07 10:24:13.159334039,21,-90
2025/05/07 10:24:13.276676658,21,-90
2025/05/07 10:24:13.367750434,24,-90
2025/05/07 10:24:13.453976414,24,-90
2025/05/07 10:24:13.556234481,24,-90
