time,set_throttle_stop,setup_allowed,in_charge,in_setup,bank_avaiable,no_menu,menu_off,motor_in_temp_limit,battery_charge_valid,battery_nearly_empty,battery_charging,range_miles_valid,range_minutes_valid,master_error_code,motor_voltage,motor_current,motor_power,motor_speed,motor_pcb_temp,motor_stator_temp,battery_charge,battery_voltage,battery_current,range_miles,range_minutes,temperature_motor_power_switches,temperature_reverse_voltage_protection
2025/05/07 10:24:01.349877170,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,1.977480173110962,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:01.460496051,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,1.977480173110962,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:01.578837421,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,1.977480173110962,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:01.699216476,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,1.977480173110962,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:01.846030278,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,1.977480173110962,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:02.10909396,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,1.977480173110962,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:02.112733359,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,1.977480173110962,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:02.259795104,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,1.977480173110962,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:02.367087433,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,1.977480173110962,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:02.527224012,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,1.977480173110962,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:02.672665440,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,1.977480173110962,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:02.837423390,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,1.977480173110962,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:02.982484169,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,1.977480173110962,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:03.138535911,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,1.977480173110962,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:03.229162795,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.5309900641441345,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:03.348778919,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.5309900641441345,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:03.457492761,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.5309900641441345,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:03.580116863,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.5309900641441345,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:03.722329480,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.5309900641441345,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:03.844546359,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.5309900641441345,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:03.957158867,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.5309900641441345,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:04.100781959,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.5309900641441345,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:04.192971396,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.5309900641441345,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:04.290992840,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:04.441997056,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:04.527797262,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:04.639403823,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:04.747751322,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:04.858198006,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:04.966151944,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:05.79425151,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:05.182124956,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:05.313503338,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:05.436322647,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:05.544857591,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:05.638228285,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:05.745382394,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:05.851778185,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:05.943463446,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:06.60770272,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:06.179122706,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:06.288784607,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:06.398464368,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:06.503901259,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:06.611011823,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:06.704976871,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:06.812183130,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:06.944893529,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:07.58872194,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:07.164684000,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:07.271542113,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:07.379322476,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
2025/05/07 10:24:07.489431660,False,False,False,False,False,False,False,False,False,False,False,False,False,nan,nan,0.27465003728866577,0.0,0.0,nan,nan,0.0,25.729999542236328,0.0,0.0,0.0,0.0,nan
