time,transforms_0
2025/05/07 10:24:04.572096217,"{'header': {'stamp': {'secs': 1746606244, 'nsecs': 558623091}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.233039353115, 'y': 1013.7489012089152, 'z': -40.87897968429731}, 'rotation': {'x': 0.006667165438930588, 'y': 0.0008058795991188932, 'z': 0.07941566255500603, 'w': 0.9968189665149992}}}"
2025/05/07 10:24:04.893962528,"{'header': {'stamp': {'secs': 1746606241, 'nsecs': 992553152}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 254.93466369507502, 'y': 1013.743094919646, 'z': -40.882547695554834}, 'rotation': {'x': 0.006136153248172568, 'y': -5.578009127301255e-05, 'z': 0.09683315112952308, 'w': 0.9952817115541828}}}"
2025/05/07 10:24:04.895164680,"{'header': {'stamp': {'secs': 1746606243, 'nsecs': 25264279}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.07143786918766, 'y': 1013.7415765689261, 'z': -40.88893292449397}, 'rotation': {'x': 0.005802595774013349, 'y': -0.0013699467943060646, 'z': 0.08459093347386391, 'w': 0.9963979260827898}}}"
2025/05/07 10:24:04.896045745,"{'header': {'stamp': {'secs': 1746606243, 'nsecs': 668829801}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.1340898799822, 'y': 1013.7443103493348, 'z': -40.885295479117836}, 'rotation': {'x': 0.007403600472671881, 'y': -0.0004823104097136212, 'z': 0.08880766082366194, 'w': 0.9960211611485668}}}"
2025/05/07 10:24:04.928332950,"{'header': {'stamp': {'secs': 1746606244, 'nsecs': 918655611}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.3082206429892, 'y': 1013.752902704618, 'z': -40.87607738684578}, 'rotation': {'x': 0.0044212208103754655, 'y': -0.0005852537819133142, 'z': 0.07920757020994275, 'w': 0.9968481685321962}}}"
2025/05/07 10:24:05.328239890,"{'header': {'stamp': {'secs': 1746606245, 'nsecs': 324455218}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.37795139637748, 'y': 1013.7611076453355, 'z': -40.87412083794222}, 'rotation': {'x': 0.004480206541237303, 'y': -0.000436861104459971, 'z': 0.07746085932503625, 'w': 0.9969852316731429}}}"
2025/05/07 10:24:05.644647143,"{'header': {'stamp': {'secs': 1746606245, 'nsecs': 641448060}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.41419131183758, 'y': 1013.7670193338021, 'z': -40.872691931951195}, 'rotation': {'x': 0.005668889904646567, 'y': -0.0008270561483053732, 'z': 0.07814825289859613, 'w': 0.996925288190782}}}"
2025/05/07 10:24:05.940843469,"{'header': {'stamp': {'secs': 1746606245, 'nsecs': 922585979}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.4500102782112, 'y': 1013.771158543266, 'z': -40.87345401181004}, 'rotation': {'x': 0.0055436420186247455, 'y': -0.0019723204357022296, 'z': 0.07676121305041854, 'w': 0.997032142990534}}}"
2025/05/07 10:24:06.248177578,"{'header': {'stamp': {'secs': 1746606246, 'nsecs': 243410228}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.4828970315912, 'y': 1013.7745059982296, 'z': -40.874856235663785}, 'rotation': {'x': 0.0060386274901060326, 'y': -0.0012628988541709637, 'z': 0.07637427716015663, 'w': 0.9970601335189285}}}"
2025/05/07 10:24:06.522008747,"{'header': {'stamp': {'secs': 1746606246, 'nsecs': 518889469}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.51595158416725, 'y': 1013.7765691691028, 'z': -40.87472071378479}, 'rotation': {'x': 0.0059423087877155355, 'y': -0.0018783383277548936, 'z': 0.07552506943162668, 'w': 0.9971244278918986}}}"
2025/05/07 10:24:06.796959125,"{'header': {'stamp': {'secs': 1746606246, 'nsecs': 793108051}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.54420466544943, 'y': 1013.7776379768173, 'z': -40.876106763443815}, 'rotation': {'x': 0.005783053970602485, 'y': -0.0020648570988750195, 'z': 0.07443029015099553, 'w': 0.9972073127288894}}}"
2025/05/07 10:24:07.198983329,"{'header': {'stamp': {'secs': 1746606247, 'nsecs': 174825512}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.589668904786, 'y': 1013.7802631138263, 'z': -40.878551710004885}, 'rotation': {'x': 0.00599882277387942, 'y': -0.0022066747651354633, 'z': 0.07105691528583741, 'w': 0.9974517830461129}}}"
2025/05/07 10:24:07.656514309,"{'header': {'stamp': {'secs': 1746606247, 'nsecs': 625651898}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.6366874740474, 'y': 1013.7844797598696, 'z': -40.87760388066082}, 'rotation': {'x': 0.00652942111437271, 'y': -0.0025111424193135067, 'z': 0.0692024825409782, 'w': 0.9975781058312311}}}"
2025/05/07 10:24:08.379033402,"{'header': {'stamp': {'secs': 1746606248, 'nsecs': 352370093}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.71111340759273, 'y': 1013.7907643469446, 'z': -40.87486827377919}, 'rotation': {'x': 0.007114972730984147, 'y': -0.0018871220169845338, 'z': 0.06452847964140784, 'w': 0.9978887168661137}}}"
2025/05/07 10:24:09.132650900,"{'header': {'stamp': {'secs': 1746606248, 'nsecs': 940294833}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.76182251527098, 'y': 1013.7961762365476, 'z': -40.876497219592984}, 'rotation': {'x': 0.004900247014842304, 'y': -0.0006516342414998269, 'z': 0.06365455183028154, 'w': 0.9979597491799431}}}"
2025/05/07 10:24:09.459225721,"{'header': {'stamp': {'secs': 1746606249, 'nsecs': 455743609}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.8130497838061, 'y': 1013.8088570203695, 'z': -40.879553018322596}, 'rotation': {'x': 0.0038637389114274264, 'y': -0.00015552118266610643, 'z': 0.06302888063523207, 'w': 0.9980042121858282}}}"
2025/05/07 10:24:09.719071244,"{'header': {'stamp': {'secs': 1746606249, 'nsecs': 715356015}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.83924066164835, 'y': 1013.81988692354, 'z': -40.87823179370665}, 'rotation': {'x': 0.0033806328856448033, 'y': -0.0007994620875693135, 'z': 0.06428494454106862, 'w': 0.9979255373458557}}}"
2025/05/07 10:24:10.4152760,"{'header': {'stamp': {'secs': 1746606250, 'nsecs': 938922}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.8695686174264, 'y': 1013.8334140419915, 'z': -40.87829497373624}, 'rotation': {'x': 0.00398243941032872, 'y': -0.0010193339625535463, 'z': 0.06336717391111185, 'w': 0.9979818146665473}}}"
2025/05/07 10:24:10.327376978,"{'header': {'stamp': {'secs': 1746606250, 'nsecs': 319213149}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.8984611398675, 'y': 1013.8441799375162, 'z': -40.87661839742472}, 'rotation': {'x': 0.0033693451309929805, 'y': -0.0005819521625875896, 'z': 0.06247225660895644, 'w': 0.998040843853223}}}"
2025/05/07 10:24:10.630171692,"{'header': {'stamp': {'secs': 1746606250, 'nsecs': 625473857}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.92906515441186, 'y': 1013.8517716550514, 'z': -40.872160728724005}, 'rotation': {'x': 0.0035819330271075946, 'y': -0.0011674587110407592, 'z': 0.06166421634179612, 'w': 0.9980898412562366}}}"
2025/05/07 10:24:10.924015613,"{'header': {'stamp': {'secs': 1746606250, 'nsecs': 909085492}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.95807573819678, 'y': 1013.8567428804773, 'z': -40.866596650905116}, 'rotation': {'x': 0.0021679187739903094, 'y': -0.0006281907877583186, 'z': 0.06117258793237906, 'w': 0.9981246515291459}}}"
2025/05/07 10:24:11.189633796,"{'header': {'stamp': {'secs': 1746606251, 'nsecs': 186575020}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 255.98047553740759, 'y': 1013.8621114831501, 'z': -40.86266711084784}, 'rotation': {'x': 0.003635823857149981, 'y': -0.00024361465370592017, 'z': 0.060677246162905284, 'w': 0.9981507868227458}}}"
2025/05/07 10:24:11.465270215,"{'header': {'stamp': {'secs': 1746606251, 'nsecs': 461380040}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 256.00606086953115, 'y': 1013.8671910831182, 'z': -40.86163634096122}, 'rotation': {'x': 0.004702970036260045, 'y': -0.0002421261215311185, 'z': 0.06016905067755847, 'w': 0.998177092899021}}}"
2025/05/07 10:24:11.751288184,"{'header': {'stamp': {'secs': 1746606251, 'nsecs': 747127323}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 256.0259293918245, 'y': 1013.8698369588176, 'z': -40.86527459088076}, 'rotation': {'x': 0.004136598920704063, 'y': -0.0012401667493841433, 'z': 0.05933910474780377, 'w': 0.9982285415592624}}}"
2025/05/07 10:24:12.65027800,"{'header': {'stamp': {'secs': 1746606252, 'nsecs': 62126850}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 256.0508783168945, 'y': 1013.8756104897652, 'z': -40.872021743859015}, 'rotation': {'x': 0.005147730254376558, 'y': -0.001992909995711334, 'z': 0.057876962029551074, 'w': 0.9983084625751738}}}"
2025/05/07 10:24:12.331501904,"{'header': {'stamp': {'secs': 1746606252, 'nsecs': 321013868}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 256.0653507076481, 'y': 1013.8796150181333, 'z': -40.880529905819614}, 'rotation': {'x': 0.005157577268889576, 'y': -0.0015935388012588091, 'z': 0.05789257317789647, 'w': 0.9983082239477176}}}"
2025/05/07 10:24:12.584453327,"{'header': {'stamp': {'secs': 1746606252, 'nsecs': 581304999}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 256.0817470230857, 'y': 1013.884132057835, 'z': -40.88636125938475}, 'rotation': {'x': 0.005029858231109787, 'y': -0.0013072254447945813, 'z': 0.058159064609110175, 'w': 0.9982938018898068}}}"
2025/05/07 10:24:12.919648080,"{'header': {'stamp': {'secs': 1746606252, 'nsecs': 916469010}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 256.10874800483475, 'y': 1013.8908857576236, 'z': -40.88903883954621}, 'rotation': {'x': 0.0044000149409215835, 'y': -0.0018814968041296943, 'z': 0.0579320186674721, 'w': 0.9983090608881637}}}"
2025/05/07 10:24:13.201991554,"{'header': {'stamp': {'secs': 1746606253, 'nsecs': 199374316}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 256.1335639115393, 'y': 1013.898252154171, 'z': -40.88515463315385}, 'rotation': {'x': 0.004469334839881047, 'y': -0.0017245632484693006, 'z': 0.05754094823355741, 'w': 0.998331653411868}}}"
2025/05/07 10:24:13.508827370,"{'header': {'stamp': {'secs': 1746606253, 'nsecs': 494138421}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 256.15475109579495, 'y': 1013.9052704769363, 'z': -40.878339898328825}, 'rotation': {'x': 0.004875203874185592, 'y': -0.001482679018841632, 'z': 0.05687776177809618, 'w': 0.998368145658317}}}"
2025/05/07 10:24:13.813438042,"{'header': {'stamp': {'secs': 1746606253, 'nsecs': 807457674}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 256.18164280363135, 'y': 1013.9146987894526, 'z': -40.86872939704352}, 'rotation': {'x': 0.0036182757278528307, 'y': -0.001392518554121581, 'z': 0.055741582817096125, 'w': 0.9984377020715306}}}"
2025/05/07 10:24:14.86968893,"{'header': {'stamp': {'secs': 1746606254, 'nsecs': 81229656}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 256.19781687075294, 'y': 1013.9244594633604, 'z': -40.863989686323784}, 'rotation': {'x': 0.0038377745585498595, 'y': -0.0014528122394179173, 'z': 0.05520811218878897, 'w': 0.9984664366775605}}}"
2025/05/07 10:24:14.376890433,"{'header': {'stamp': {'secs': 1746606254, 'nsecs': 373486121}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 256.2168563364361, 'y': 1013.934573363959, 'z': -40.86139656856144}, 'rotation': {'x': 0.004740988147101514, 'y': -0.0023751248954430666, 'z': 0.05443580017740691, 'w': 0.9985031925197664}}}"
2025/05/07 10:24:14.628506661,"{'header': {'stamp': {'secs': 1746606254, 'nsecs': 622757675}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 256.2297748111622, 'y': 1013.9398529146936, 'z': -40.863588912355105}, 'rotation': {'x': 0.004385688734844683, 'y': -0.0018167506061223554, 'z': 0.054560497987768235, 'w': 0.9984991823786753}}}"
2025/05/07 10:24:14.915231014,"{'header': {'stamp': {'secs': 1746606254, 'nsecs': 911783621}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 256.24521054653115, 'y': 1013.9460383512944, 'z': -40.86810148065492}, 'rotation': {'x': 0.004125340760133673, 'y': -0.0016860328001388903, 'z': 0.054545355152906407, 'w': 0.9985013485660663}}}"
