time,throttle_reference,angle_reference
2025/05/07 10:29:53.410321781,0,-135
2025/05/07 10:29:53.519460216,0,-135
2025/05/07 10:29:53.608462518,0,-135
2025/05/07 10:29:53.723575721,0,-135
2025/05/07 10:29:53.819635845,0,-135
2025/05/07 10:29:53.907928076,0,-135
2025/05/07 10:29:54.8196221,0,-135
2025/05/07 10:29:54.111133265,0,-135
2025/05/07 10:29:54.223771302,0,-135
2025/05/07 10:29:54.308888770,0,-135
2025/05/07 10:29:54.408325602,0,-135
2025/05/07 10:29:54.508267682,0,-135
2025/05/07 10:29:54.608802898,0,-135
2025/05/07 10:29:54.709042334,0,-135
2025/05/07 10:29:54.809581423,0,-135
2025/05/07 10:29:54.908018238,0,-135
2025/05/07 10:29:55.7754754,0,-135
2025/05/07 10:29:55.112326135,0,-135
2025/05/07 10:29:55.208646148,0,-135
2025/05/07 10:29:55.308109217,0,-135
2025/05/07 10:29:55.409527179,0,-135
2025/05/07 10:29:55.535209258,0,-135
2025/05/07 10:29:55.609302336,0,-135
2025/05/07 10:29:55.750993766,0,-135
2025/05/07 10:29:55.810898353,0,-135
2025/05/07 10:29:55.907879872,0,-135
2025/05/07 10:29:56.40859074,0,-135
2025/05/07 10:29:56.108300178,0,-135
2025/05/07 10:29:56.224639589,0,-135
2025/05/07 10:29:56.309530263,0,-135
2025/05/07 10:29:56.408018191,0,-135
2025/05/07 10:29:56.510671666,0,-135
2025/05/07 10:29:56.608343494,0,-135
2025/05/07 10:29:56.708610497,0,-135
2025/05/07 10:29:56.808239334,0,-135
2025/05/07 10:29:56.913201132,0,-135
2025/05/07 10:29:57.8922455,0,-135
2025/05/07 10:29:57.108647577,0,-135
2025/05/07 10:29:57.208558859,0,-135
2025/05/07 10:29:57.308323021,0,-135
2025/05/07 10:29:57.408178178,0,-135
2025/05/07 10:29:57.507964096,0,-135
2025/05/07 10:29:57.608177906,0,-135
2025/05/07 10:29:57.707948026,0,-135
2025/05/07 10:29:57.807815537,0,-135
2025/05/07 10:29:57.908980288,0,-135
2025/05/07 10:29:58.9387725,0,-135
2025/05/07 10:29:58.107689504,0,-135
2025/05/07 10:29:58.207794650,0,-135
2025/05/07 10:29:58.308427548,0,-135
2025/05/07 10:29:58.407838063,0,-135
2025/05/07 10:29:58.507886051,0,-135
2025/05/07 10:29:58.607725820,0,-135
2025/05/07 10:29:58.707659572,0,-135
2025/05/07 10:29:58.807624286,0,-135
2025/05/07 10:29:58.907794974,0,-135
2025/05/07 10:29:59.8191013,0,-135
2025/05/07 10:29:59.107700434,0,-135
2025/05/07 10:29:59.207574540,0,-135
2025/05/07 10:29:59.307643932,0,-135
2025/05/07 10:29:59.412146955,0,-135
2025/05/07 10:29:59.508257588,0,-135
2025/05/07 10:29:59.607689622,0,-135
2025/05/07 10:29:59.707786367,0,-135
2025/05/07 10:29:59.807585670,0,-135
2025/05/07 10:29:59.907749128,0,-135
2025/05/07 10:30:00.7795984,0,-135
2025/05/07 10:30:00.107794469,0,-135
2025/05/07 10:30:00.208130512,0,-135
2025/05/07 10:30:00.317638752,0,-135
2025/05/07 10:30:00.407686360,0,-135
2025/05/07 10:30:00.508259118,0,-135
2025/05/07 10:30:00.607909792,0,-135
2025/05/07 10:30:00.709230062,0,-135
