time,transforms_0
2025/05/07 10:29:56.538322772,"{'header': {'stamp': {'secs': 1746606596, 'nsecs': 511440175}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.65814214694115, 'y': 1016.8581175213875, 'z': -40.85607915395136}, 'rotation': {'x': 0.002541931609762318, 'y': -0.013295378105292395, 'z': 0.06013163583160337, 'w': 0.9980986714132747}}}"
2025/05/07 10:29:56.932544992,"{'header': {'stamp': {'secs': 1746606593, 'nsecs': 347374063}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.45714016941068, 'y': 1016.7237065100377, 'z': -40.8403543606943}, 'rotation': {'x': 0.00123775869486587, 'y': -0.012922603975775498, 'z': 0.050770500720101766, 'w': 0.9986259712808039}}}"
2025/05/07 10:29:56.933224137,"{'header': {'stamp': {'secs': 1746606595, 'nsecs': 803073899}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.61558930827576, 'y': 1016.8270463439376, 'z': -40.85292632120115}, 'rotation': {'x': 0.00487426072282198, 'y': -0.012647810209697206, 'z': 0.054685249380911904, 'w': 0.9984116375420776}}}"
2025/05/07 10:29:57.175133645,"{'header': {'stamp': {'secs': 1746606597, 'nsecs': 149532741}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.68814453689868, 'y': 1016.8942448543789, 'z': -40.853889972272746}, 'rotation': {'x': 0.004148201121386446, 'y': -0.013082585788929832, 'z': 0.06014680939352512, 'w': 0.9980951856893764}}}"
2025/05/07 10:29:57.255060782,"{'header': {'stamp': {'secs': 1746606595, 'nsecs': 36362639}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.59192837156306, 'y': 1016.8153902336693, 'z': -40.849615866465264}, 'rotation': {'x': 0.005443140610181889, 'y': -0.011655057259429957, 'z': 0.05587799055284303, 'w': 0.9983547375719484}}}"
2025/05/07 10:29:57.255636916,"{'header': {'stamp': {'secs': 1746606594, 'nsecs': 405026791}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.54621673150484, 'y': 1016.7811371744965, 'z': -40.84177644258266}, 'rotation': {'x': 0.0035992918209512064, 'y': -0.01470155378761573, 'z': 0.057261436949810764, 'w': 0.9982444776972526}}}"
2025/05/07 10:29:57.631905493,"{'header': {'stamp': {'secs': 1746606597, 'nsecs': 628254483}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.72856569627112, 'y': 1016.9457204781121, 'z': -40.85062317485794}, 'rotation': {'x': 0.0018980629695429755, 'y': -0.01318634596057364, 'z': 0.06149191772227474, 'w': 0.9980186680077726}}}"
2025/05/07 10:29:58.51169239,"{'header': {'stamp': {'secs': 1746606598, 'nsecs': 47258028}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.74786205711757, 'y': 1016.9725144240531, 'z': -40.848438058807446}, 'rotation': {'x': 0.0022001732842158385, 'y': -0.012630090237766222, 'z': 0.06096601205689008, 'w': 0.9980575060746673}}}"
2025/05/07 10:29:58.454999629,"{'header': {'stamp': {'secs': 1746606598, 'nsecs': 451075648}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.76763285216566, 'y': 1017.0028195040537, 'z': -40.84328288885532}, 'rotation': {'x': 0.001865838445664248, 'y': -0.012481880287584094, 'z': 0.06242143491892366, 'w': 0.997970082604706}}}"
2025/05/07 10:29:58.842770823,"{'header': {'stamp': {'secs': 1746606598, 'nsecs': 826824364}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.78207512485247, 'y': 1017.0250852539015, 'z': -40.83687091492149}, 'rotation': {'x': 0.0017127959609113872, 'y': -0.012328083440458253, 'z': 0.06296551473375814, 'w': 0.9979380885821497}}}"
2025/05/07 10:29:59.229445935,"{'header': {'stamp': {'secs': 1746606599, 'nsecs': 225218731}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.79937729869596, 'y': 1017.0481034570237, 'z': -40.83212231808455}, 'rotation': {'x': 0.001923475404237571, 'y': -0.013152120095650649, 'z': 0.06336051014393268, 'w': 0.9979021834496904}}}"
2025/05/07 10:29:59.682602719,"{'header': {'stamp': {'secs': 1746606599, 'nsecs': 679323966}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.81737993953797, 'y': 1017.0715650916542, 'z': -40.83401728225431}, 'rotation': {'x': 0.0019298719990620045, 'y': -0.01264121054877145, 'z': 0.0638218531408407, 'w': 0.9978793746999673}}}"
2025/05/07 10:30:00.71428847,"{'header': {'stamp': {'secs': 1746606600, 'nsecs': 67751914}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.83207870082325, 'y': 1017.0913141731177, 'z': -40.839771342972455}, 'rotation': {'x': 0.0015339702129131341, 'y': -0.013672828898965293, 'z': 0.0641867070307002, 'w': 0.997843057462365}}}"
2025/05/07 10:30:00.561986367,"{'header': {'stamp': {'secs': 1746606600, 'nsecs': 557063257}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.8485463567526, 'y': 1017.1147831010137, 'z': -40.84700471294511}, 'rotation': {'x': 0.0019100542727867509, 'y': -0.014180403090321437, 'z': 0.06575982238915239, 'w': 0.9977328869092259}}}"
2025/05/07 10:30:00.966268091,"{'header': {'stamp': {'secs': 1746606600, 'nsecs': 962117273}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.8602239599849, 'y': 1017.1342831946776, 'z': -40.85031828024598}, 'rotation': {'x': 0.0019896669418912336, 'y': -0.014065490057942165, 'z': 0.06695835242794389, 'w': 0.9976546407725599}}}"
2025/05/07 10:30:01.346411392,"{'header': {'stamp': {'secs': 1746606601, 'nsecs': 341856878}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.8706112076301, 'y': 1017.1530348767922, 'z': -40.848591847172486}, 'rotation': {'x': 0.0013925189869479963, 'y': -0.01407629964756486, 'z': 0.06780227835611928, 'w': 0.9975985012663273}}}"
2025/05/07 10:30:01.736710384,"{'header': {'stamp': {'secs': 1746606601, 'nsecs': 733325374}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.88213382288478, 'y': 1017.1768862793775, 'z': -40.84424841485582}, 'rotation': {'x': 0.00029244711221743645, 'y': -0.013510446077122056, 'z': 0.06790994187257794, 'w': 0.9975999308923126}}}"
2025/05/07 10:30:02.209384320,"{'header': {'stamp': {'secs': 1746606602, 'nsecs': 206103406}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': 253.89707659966584, 'y': 1017.2081023050753, 'z': -40.8401642425275}, 'rotation': {'x': 9.565793397921588e-06, 'y': -0.01304872191567553, 'z': 0.06773640021651113, 'w': 0.9976179182685982}}}"
