time,data
2025/05/07 10:48:46.219360023,dp
2025/05/07 10:48:46.321090735,dp
2025/05/07 10:48:46.421813812,dp
2025/05/07 10:48:46.520974670,dp
2025/05/07 10:48:46.620660934,dp
2025/05/07 10:48:46.723005702,dp
2025/05/07 10:48:46.821274383,dp
2025/05/07 10:48:46.921772988,dp
2025/05/07 10:48:47.21684391,dp
2025/05/07 10:48:47.121879697,dp
2025/05/07 10:48:47.222142924,dp
2025/05/07 10:48:47.322514717,dp
2025/05/07 10:48:47.423217500,dp
2025/05/07 10:48:47.527038050,dp
2025/05/07 10:48:47.632457340,dp
2025/05/07 10:48:47.728597289,dp
2025/05/07 10:48:47.832649020,dp
2025/05/07 10:48:47.933968803,dp
2025/05/07 10:48:48.34143108,dp
2025/05/07 10:48:48.134433757,dp
2025/05/07 10:48:48.239628004,dp
2025/05/07 10:48:48.335415644,dp
2025/05/07 10:48:48.437138933,dp
2025/05/07 10:48:48.587986433,dp
2025/05/07 10:48:48.653847641,dp
2025/05/07 10:48:48.736884705,dp
2025/05/07 10:48:48.844123918,dp
2025/05/07 10:48:48.937981034,dp
2025/05/07 10:48:49.38115548,dp
2025/05/07 10:48:49.137955132,dp
2025/05/07 10:48:49.249546029,dp
2025/05/07 10:48:49.338693089,dp
2025/05/07 10:48:49.442724450,dp
2025/05/07 10:48:49.539044016,dp
2025/05/07 10:48:49.661698040,dp
2025/05/07 10:48:49.741215897,dp
2025/05/07 10:48:49.845179215,dp
2025/05/07 10:48:50.10837700,dp
2025/05/07 10:48:50.55188222,dp
2025/05/07 10:48:50.144916502,dp
2025/05/07 10:48:50.255031216,dp
2025/05/07 10:48:50.345274166,dp
2025/05/07 10:48:50.517309268,dp
2025/05/07 10:48:50.573297024,dp
2025/05/07 10:48:50.653239574,dp
2025/05/07 10:48:50.746614532,dp
2025/05/07 10:48:50.846170152,dp
2025/05/07 10:48:50.958141179,dp
2025/05/07 10:48:51.47134744,dp
2025/05/07 10:48:51.157856946,dp
2025/05/07 10:48:51.253379230,dp
2025/05/07 10:48:51.380453635,dp
2025/05/07 10:48:51.526075116,dp
2025/05/07 10:48:51.560158155,dp
2025/05/07 10:48:51.651213086,dp
2025/05/07 10:48:51.770807007,dp
2025/05/07 10:48:51.880699036,dp
2025/05/07 10:48:51.955453221,dp
2025/05/07 10:48:52.71338319,dp
2025/05/07 10:48:52.151986453,dp
2025/05/07 10:48:52.254837711,dp
2025/05/07 10:48:52.426696995,dp
2025/05/07 10:48:52.497975015,dp
2025/05/07 10:48:52.563671000,dp
2025/05/07 10:48:52.653764626,dp
2025/05/07 10:48:52.793203041,dp
2025/05/07 10:48:52.941009550,dp
2025/05/07 10:48:53.32788769,dp
2025/05/07 10:48:53.82263142,dp
2025/05/07 10:48:53.155151929,dp
2025/05/07 10:48:53.278694043,dp
2025/05/07 10:48:53.391419509,dp
2025/05/07 10:48:53.507444963,dp
2025/05/07 10:48:53.626000077,dp
2025/05/07 10:48:53.718465682,dp
2025/05/07 10:48:53.757591973,dp
2025/05/07 10:48:53.860113621,dp
2025/05/07 10:48:53.958365098,dp
2025/05/07 10:48:54.58315895,dp
2025/05/07 10:48:54.158799368,dp
2025/05/07 10:48:54.259114655,dp
2025/05/07 10:48:54.359448894,dp
2025/05/07 10:48:54.459576198,dp
2025/05/07 10:48:54.560051183,dp
2025/05/07 10:48:54.660109677,dp
2025/05/07 10:48:54.760386575,dp
2025/05/07 10:48:54.860912106,dp
2025/05/07 10:48:54.961135328,dp
2025/05/07 10:48:55.61291454,dp
2025/05/07 10:48:55.161732141,dp
2025/05/07 10:48:55.261769237,dp
