time,throttle_reference,angle_reference
2025/04/09 10:58:23.960600429,5,135
2025/04/09 10:58:24.15208685,5,135
2025/04/09 10:58:24.97984493,5,135
2025/04/09 10:58:24.184277354,5,135
2025/04/09 10:58:24.325030680,5,135
2025/04/09 10:58:24.422343099,5,135
2025/04/09 10:58:24.506215708,5,135
2025/04/09 10:58:24.615720886,5,135
2025/04/09 10:58:24.683980439,5,135
2025/04/09 10:58:24.767205170,5,135
2025/04/09 10:58:24.863975648,5,135
2025/04/09 10:58:24.963502169,5,135
2025/04/09 10:58:25.87929679,5,135
2025/04/09 10:58:25.163241246,5,135
2025/04/09 10:58:25.262785802,5,135
2025/04/09 10:58:25.359104217,5,135
2025/04/09 10:58:25.459501600,5,135
2025/04/09 10:58:25.572376042,5,135
2025/04/09 10:58:25.672046968,5,135
2025/04/09 10:58:25.760715298,5,135
2025/04/09 10:58:25.861802677,5,135
2025/04/09 10:58:25.964708682,5,135
2025/04/09 10:58:26.64606197,5,135
2025/04/09 10:58:26.164984095,5,135
2025/04/09 10:58:26.284010745,5,135
2025/04/09 10:58:26.361909885,5,135
2025/04/09 10:58:26.459166514,5,135
2025/04/09 10:58:26.558906485,5,135
2025/04/09 10:58:26.658939645,5,135
2025/04/09 10:58:26.762399579,5,135
2025/04/09 10:58:26.859649845,5,135
2025/04/09 10:58:26.961096237,5,135
2025/04/09 10:58:27.59976501,5,135
2025/04/09 10:58:27.166902699,5,135
2025/04/09 10:58:27.262153994,5,135
2025/04/09 10:58:27.359040398,5,135
2025/04/09 10:58:27.484663834,5,135
2025/04/09 10:58:27.562469224,5,135
2025/04/09 10:58:27.663655577,7,53
2025/04/09 10:58:27.760796175,5,135
2025/04/09 10:58:27.861392176,8,84
2025/04/09 10:58:27.964472472,5,135
2025/04/09 10:58:28.72280784,9,85
2025/04/09 10:58:28.292948699,5,86
2025/04/09 10:58:28.461667689,7,89
2025/04/09 10:58:28.521384426,10,89
2025/04/09 10:58:28.571671377,10,89
2025/04/09 10:58:28.657170058,10,89
2025/04/09 10:58:28.786709174,5,89
2025/04/09 10:58:28.861543735,9,89
2025/04/09 10:58:28.958377302,9,89
2025/04/09 10:58:29.59134933,5,135
2025/04/09 10:58:29.167274470,5,89
2025/04/09 10:58:29.261104607,5,135
2025/04/09 10:58:29.358437329,5,135
2025/04/09 10:58:29.459836097,5,135
2025/04/09 10:58:29.559109725,9,90
2025/04/09 10:58:29.662853685,9,89
2025/04/09 10:58:29.759209872,5,135
2025/04/09 10:58:29.860509871,5,135
2025/04/09 10:58:29.985011578,5,89
2025/04/09 10:58:30.65036396,5,89
2025/04/09 10:58:30.163478812,5,135
2025/04/09 10:58:30.259748280,5,135
2025/04/09 10:58:30.364436059,5,135
