time,north,east,heading
2025/04/09 10:58:23.910739663,-480.0000003138883,-300.0000018563941,-1.4768123170876533e-07
2025/04/09 10:58:23.910901378,-480.00000031119555,-300.0000018404687,-1.464143270315005e-07
2025/04/09 10:58:23.911202610,-480.0000003085259,-300.00000182468,-1.4515829067814318e-07
2025/04/09 10:58:23.936285395,-480.00000030587915,-300.00000180902674,-1.4391302941321433e-07
2025/04/09 10:58:24.38799102,-480.00000030325515,-300.00000179350775,-1.4267845080106875e-07
2025/04/09 10:58:24.137408369,-480.00000030065365,-300.0000017781219,-1.4145446319903382e-07
2025/04/09 10:58:24.236616793,-480.00000029807444,-300.000001762868,-1.402409757506067e-07
2025/04/09 10:58:24.336216842,-480.00000029551734,-300.000001747745,-1.3903789837871013e-07
2025/04/09 10:58:24.437786978,-480.0000002929822,-300.0000017327517,-1.3784514177900602e-07
2025/04/09 10:58:24.539434322,-480.0000002904688,-300.000001717887,-1.3666261741326637e-07
2025/04/09 10:58:24.639190261,-480.00000028797695,-300.00000170314985,-1.354902375028011e-07
2025/04/09 10:58:24.740213374,-480.0000002855065,-300.00000168853916,-1.3432791502194225e-07
2025/04/09 10:58:24.836806186,-480.0000002830572,-300.0000016740538,-1.3317556369158404e-07
2025/04/09 10:58:24.935719822,-480.00000028062897,-300.0000016596927,-1.3203309797277844e-07
2025/04/09 10:58:25.36374066,-480.00000027822153,-300.0000016454548,-1.3090043306038556e-07
2025/04/09 10:58:25.135637529,-480.0000002758348,-300.00000163133905,-1.297774848767786e-07
2025/04/09 10:58:25.237884046,-480.0000002734685,-300.00000161734437,-1.2866417006560276e-07
2025/04/09 10:58:25.336106355,-480.00000027112253,-300.00000160346974,-1.2756040598558774e-07
2025/04/09 10:58:25.436651251,-480.00000026879667,-300.00000158971415,-1.264661107044132e-07
2025/04/09 10:58:25.539371389,-480.00000026649076,-300.00000157607656,-1.2538120299262708e-07
2025/04/09 10:58:25.636856810,-480.00000026420463,-300.00000156255595,-1.2430560231761574e-07
2025/04/09 10:58:25.738263696,-480.0000002619381,-300.00000154915136,-1.2323922883762624e-07
2025/04/09 10:58:25.836846040,-480.00000025969103,-300.00000153586177,-1.2218200339583955e-07
2025/04/09 10:58:25.936302508,-480.0000002574632,-300.00000152268615,-1.211338475144948e-07
2025/04/09 10:58:26.35761189,-480.0000002552545,-300.0000015096236,-1.200946833890639e-07
2025/04/09 10:58:26.136263960,-480.0000002530648,-300.00000149667306,-1.19064433882476e-07
