time,data
2025/04/09 10:58:23.994240759,dp
2025/04/09 10:58:24.95438077,dp
2025/04/09 10:58:24.199241783,dp
2025/04/09 10:58:24.301676431,dp
2025/04/09 10:58:24.407497434,dp
2025/04/09 10:58:24.506197909,dp
2025/04/09 10:58:24.606123535,dp
2025/04/09 10:58:24.707207431,dp
2025/04/09 10:58:24.807180676,dp
2025/04/09 10:58:24.909037794,dp
2025/04/09 10:58:25.9365674,dp
2025/04/09 10:58:25.111314388,dp
2025/04/09 10:58:25.211169987,dp
2025/04/09 10:58:25.311400135,dp
2025/04/09 10:58:25.413708053,dp
2025/04/09 10:58:25.511937965,dp
2025/04/09 10:58:25.612040981,dp
2025/04/09 10:58:25.712361902,dp
2025/04/09 10:58:25.812489501,dp
2025/04/09 10:58:25.913044065,dp
2025/04/09 10:58:26.13016927,dp
2025/04/09 10:58:26.113346652,dp
2025/04/09 10:58:26.215194469,dp
2025/04/09 10:58:26.315071840,dp
2025/04/09 10:58:26.416847677,dp
2025/04/09 10:58:26.517025082,dp
2025/04/09 10:58:26.617990561,dp
2025/04/09 10:58:26.718092864,dp
2025/04/09 10:58:26.818948346,dp
2025/04/09 10:58:26.919247475,dp
2025/04/09 10:58:27.20181837,dp
2025/04/09 10:58:27.122382031,dp
2025/04/09 10:58:27.221933237,dp
2025/04/09 10:58:27.322986853,dp
2025/04/09 10:58:27.423388660,dp
2025/04/09 10:58:27.523895564,dp
2025/04/09 10:58:27.623621652,dp
2025/04/09 10:58:27.724512875,dp
2025/04/09 10:58:27.824198512,dp
2025/04/09 10:58:27.924986449,dp
2025/04/09 10:58:28.25626208,dp
2025/04/09 10:58:28.126308345,dp
2025/04/09 10:58:28.228007654,dp
2025/04/09 10:58:28.327804097,dp
2025/04/09 10:58:28.428011321,dp
2025/04/09 10:58:28.528635628,dp
2025/04/09 10:58:28.628550478,dp
2025/04/09 10:58:28.729253915,dp
2025/04/09 10:58:28.829434571,dp
2025/04/09 10:58:28.929552691,dp
2025/04/09 10:58:29.30346036,dp
2025/04/09 10:58:29.130494452,dp
2025/04/09 10:58:29.230882196,dp
2025/04/09 10:58:29.331416760,dp
2025/04/09 10:58:29.431536596,dp
2025/04/09 10:58:29.532750336,dp
2025/04/09 10:58:29.633099496,dp
2025/04/09 10:58:29.734136175,dp
2025/04/09 10:58:29.833674847,dp
2025/04/09 10:58:29.934124824,dp
2025/04/09 10:58:30.34849023,dp
2025/04/09 10:58:30.137437350,dp
2025/04/09 10:58:30.237493797,dp
2025/04/09 10:58:30.338179906,dp
2025/04/09 10:58:30.439059526,dp
2025/04/09 10:58:30.539200055,dp
2025/04/09 10:58:30.639952962,dp
2025/04/09 10:58:30.740262256,dp
2025/04/09 10:58:30.841086314,dp
2025/04/09 10:58:30.941206907,dp
2025/04/09 10:58:31.41459841,dp
2025/04/09 10:58:31.141913116,dp
2025/04/09 10:58:31.242698383,dp
2025/04/09 10:58:31.344197607,dp
2025/04/09 10:58:31.445547843,dp
2025/04/09 10:58:31.546404720,dp
2025/04/09 10:58:31.646908681,dp
2025/04/09 10:58:31.747605101,dp
2025/04/09 10:58:31.848300725,dp
2025/04/09 10:58:31.947757100,dp
2025/04/09 10:58:32.47593006,dp
2025/04/09 10:58:32.150074457,dp
2025/04/09 10:58:32.249025349,dp
2025/04/09 10:58:32.349162111,dp
2025/04/09 10:58:32.449946842,dp
2025/04/09 10:58:32.549712503,dp
2025/04/09 10:58:32.653021199,dp
2025/04/09 10:58:32.751764944,dp
2025/04/09 10:58:32.852328836,dp
2025/04/09 10:58:32.952783972,dp
2025/04/09 10:58:33.55275588,dp
2025/04/09 10:58:33.155764367,dp
2025/04/09 10:58:33.256596762,dp
2025/04/09 10:58:33.356332224,dp
2025/04/09 10:58:33.457345835,dp
2025/04/09 10:58:33.558705466,dp
2025/04/09 10:58:33.659052965,dp
2025/04/09 10:58:33.761008817,dp
2025/04/09 10:58:33.860928707,dp
2025/04/09 10:58:33.961077144,dp
2025/04/09 10:58:34.61997071,dp
2025/04/09 10:58:34.164669674,dp
2025/04/09 10:58:34.264568724,dp
2025/04/09 10:58:34.365937138,dp
2025/04/09 10:58:34.465887064,dp
2025/04/09 10:58:34.567095975,dp
2025/04/09 10:58:34.667075702,dp
2025/04/09 10:58:34.767513302,dp
2025/04/09 10:58:34.868276208,dp
2025/04/09 10:58:34.968649140,dp
2025/04/09 10:58:35.69135994,dp
2025/04/09 10:58:35.169204562,dp
2025/04/09 10:58:35.270088865,dp
2025/04/09 10:58:35.370871050,dp
2025/04/09 10:58:35.472409984,dp
2025/04/09 10:58:35.572926271,dp
2025/04/09 10:58:35.672829771,dp
2025/04/09 10:58:35.773164838,dp
2025/04/09 10:58:35.874243131,dp
2025/04/09 10:58:35.973934885,dp
2025/04/09 10:58:36.74093424,dp
2025/04/09 10:58:36.174199009,dp
2025/04/09 10:58:36.275684899,dp
2025/04/09 10:58:36.376256198,dp
2025/04/09 10:58:36.475717726,dp
2025/04/09 10:58:36.576429557,dp
2025/04/09 10:58:36.676860340,dp
2025/04/09 10:58:36.776621841,dp
2025/04/09 10:58:36.878040999,dp
2025/04/09 10:58:36.978476766,dp
2025/04/09 10:58:37.78580870,dp
2025/04/09 10:58:37.179400203,dp
2025/04/09 10:58:37.282720367,dp
2025/04/09 10:58:37.382703957,dp
2025/04/09 10:58:37.483142478,dp
2025/04/09 10:58:37.582653077,dp
2025/04/09 10:58:37.682910590,dp
2025/04/09 10:58:37.784134351,dp
2025/04/09 10:58:37.884366671,dp
2025/04/09 10:58:37.985447633,dp
2025/04/09 10:58:38.86525622,dp
2025/04/09 10:58:38.186163931,dp
2025/04/09 10:58:38.286298128,dp
2025/04/09 10:58:38.387898494,dp
2025/04/09 10:58:38.487737072,dp
2025/04/09 10:58:38.587825062,dp
2025/04/09 10:58:38.688593663,dp
2025/04/09 10:58:38.788848440,dp
2025/04/09 10:58:38.889189375,dp
2025/04/09 10:58:38.989034276,dp
2025/04/09 10:58:39.89329522,dp
2025/04/09 10:58:39.190879815,dp
2025/04/09 10:58:39.291073792,dp
2025/04/09 10:58:39.391940389,dp
2025/04/09 10:58:39.491913722,dp
2025/04/09 10:58:39.592320833,dp
2025/04/09 10:58:39.692210986,dp
2025/04/09 10:58:39.792819449,dp
2025/04/09 10:58:39.893589195,dp
2025/04/09 10:58:39.993732958,dp
2025/04/09 10:58:40.94174097,dp
2025/04/09 10:58:40.194083067,dp
2025/04/09 10:58:40.294269073,dp
2025/04/09 10:58:40.394440418,dp
2025/04/09 10:58:40.495312398,dp
2025/04/09 10:58:40.594791100,dp
2025/04/09 10:58:40.695151318,dp
2025/04/09 10:58:40.795264203,dp
2025/04/09 10:58:40.895513463,dp
2025/04/09 10:58:40.996299463,dp
2025/04/09 10:58:41.96874354,dp
2025/04/09 10:58:41.196361463,dp
2025/04/09 10:58:41.296736843,dp
2025/04/09 10:58:41.397589649,dp
2025/04/09 10:58:41.498501936,dp
2025/04/09 10:58:41.599379743,dp
2025/04/09 10:58:41.699576630,dp
2025/04/09 10:58:41.800356425,dp
2025/04/09 10:58:41.900389505,dp
2025/04/09 10:58:42.272050,dp
2025/04/09 10:58:42.100502497,dp
2025/04/09 10:58:42.201207623,dp
2025/04/09 10:58:42.301522133,dp
2025/04/09 10:58:42.401896740,dp
2025/04/09 10:58:42.501614640,dp
2025/04/09 10:58:42.602851320,dp
2025/04/09 10:58:42.702180158,dp
2025/04/09 10:58:42.803184435,dp
2025/04/09 10:58:42.903389539,dp
2025/04/09 10:58:43.3804903,dp
2025/04/09 10:58:43.103854878,dp
2025/04/09 10:58:43.204621605,dp
2025/04/09 10:58:43.306234140,dp
2025/04/09 10:58:43.406964899,dp
2025/04/09 10:58:43.506517443,dp
2025/04/09 10:58:43.606849462,dp
2025/04/09 10:58:43.707086767,dp
2025/04/09 10:58:43.808073298,dp
2025/04/09 10:58:43.907543846,dp
2025/04/09 10:58:44.7799042,dp
2025/04/09 10:58:44.109339247,dp
2025/04/09 10:58:44.209521738,dp
2025/04/09 10:58:44.310551363,dp
2025/04/09 10:58:44.410304178,dp
2025/04/09 10:58:44.510089847,dp
2025/04/09 10:58:44.611422924,dp
2025/04/09 10:58:44.710852026,dp
2025/04/09 10:58:44.810938013,dp
2025/04/09 10:58:44.911067048,dp
2025/04/09 10:58:45.11407556,dp
2025/04/09 10:58:45.111578359,dp
2025/04/09 10:58:45.211805444,dp
2025/04/09 10:58:45.312489490,dp
2025/04/09 10:58:45.412855999,dp
2025/04/09 10:58:45.513225157,dp
2025/04/09 10:58:45.613445777,dp
2025/04/09 10:58:45.713820708,dp
2025/04/09 10:58:45.814135298,dp
2025/04/09 10:58:45.915066286,dp
2025/04/09 10:58:46.14767525,dp
2025/04/09 10:58:46.116483952,dp
2025/04/09 10:58:46.217942396,dp
2025/04/09 10:58:46.317297881,dp
2025/04/09 10:58:46.417532123,dp
2025/04/09 10:58:46.518375683,dp
2025/04/09 10:58:46.618048750,dp
2025/04/09 10:58:46.719875907,dp
2025/04/09 10:58:46.819536233,dp
2025/04/09 10:58:46.919734896,dp
2025/04/09 10:58:47.20003819,dp
2025/04/09 10:58:47.120699828,dp
2025/04/09 10:58:47.221329243,dp
2025/04/09 10:58:47.322404659,dp
2025/04/09 10:58:47.423598629,dp
2025/04/09 10:58:47.523992999,dp
2025/04/09 10:58:47.623800749,dp
2025/04/09 10:58:47.725955650,dp
2025/04/09 10:58:47.826059050,dp
2025/04/09 10:58:47.926575143,dp
2025/04/09 10:58:48.27530170,dp
2025/04/09 10:58:48.128067353,dp
2025/04/09 10:58:48.230019334,dp
2025/04/09 10:58:48.329408178,dp
2025/04/09 10:58:48.429340851,dp
2025/04/09 10:58:48.530735916,dp
2025/04/09 10:58:48.630730239,dp
2025/04/09 10:58:48.731913126,dp
2025/04/09 10:58:48.832163322,dp
2025/04/09 10:58:48.933556187,dp
2025/04/09 10:58:49.33947452,dp
2025/04/09 10:58:49.135438542,dp
2025/04/09 10:58:49.236465568,dp
2025/04/09 10:58:49.337185824,dp
2025/04/09 10:58:49.438486203,dp
2025/04/09 10:58:49.538652957,dp
2025/04/09 10:58:49.638867952,dp
2025/04/09 10:58:49.739927548,dp
2025/04/09 10:58:49.841079747,dp
2025/04/09 10:58:49.943721295,dp
2025/04/09 10:58:50.44042879,dp
2025/04/09 10:58:50.143523195,dp
2025/04/09 10:58:50.246504868,dp
2025/04/09 10:58:50.346101324,dp
2025/04/09 10:58:50.446333146,dp
2025/04/09 10:58:50.546596569,dp
2025/04/09 10:58:50.646652475,dp
2025/04/09 10:58:50.747190350,dp
2025/04/09 10:58:50.847501604,dp
2025/04/09 10:58:50.949916608,dp
2025/04/09 10:58:51.50133723,dp
2025/04/09 10:58:51.150391781,dp
2025/04/09 10:58:51.252088417,dp
2025/04/09 10:58:51.352114828,dp
2025/04/09 10:58:51.452343779,dp
2025/04/09 10:58:51.552772226,dp
2025/04/09 10:58:51.654251408,dp
2025/04/09 10:58:51.754287246,dp
2025/04/09 10:58:51.854722104,dp
2025/04/09 10:58:51.956141068,dp
2025/04/09 10:58:52.57783375,dp
2025/04/09 10:58:52.157999608,dp
2025/04/09 10:58:52.258854578,dp
2025/04/09 10:58:52.359225410,dp
2025/04/09 10:58:52.460554065,dp
2025/04/09 10:58:52.560765949,dp
2025/04/09 10:58:52.661456516,dp
2025/04/09 10:58:52.761287608,dp
2025/04/09 10:58:52.862738214,dp
2025/04/09 10:58:52.963833351,dp
2025/04/09 10:58:53.63139741,dp
2025/04/09 10:58:53.165913481,dp
2025/04/09 10:58:53.264445431,dp
2025/04/09 10:58:53.365230504,dp
2025/04/09 10:58:53.466195990,dp
2025/04/09 10:58:53.566319739,dp
2025/04/09 10:58:53.666998090,dp
2025/04/09 10:58:53.767795869,dp
2025/04/09 10:58:53.868736608,dp
2025/04/09 10:58:53.969060418,dp
2025/04/09 10:58:54.69912556,dp
2025/04/09 10:58:54.169392593,dp
2025/04/09 10:58:54.269693592,dp
2025/04/09 10:58:54.369909706,dp
2025/04/09 10:58:54.470840509,dp
2025/04/09 10:58:54.570289512,dp
2025/04/09 10:58:54.671231940,dp
2025/04/09 10:58:54.771982028,dp
2025/04/09 10:58:54.871665129,dp
2025/04/09 10:58:54.971775125,dp
2025/04/09 10:58:55.75479143,dp
2025/04/09 10:58:55.174853573,dp
2025/04/09 10:58:55.278038968,dp
2025/04/09 10:58:55.378690299,dp
2025/04/09 10:58:55.478904615,dp
2025/04/09 10:58:55.579134182,dp
2025/04/09 10:58:55.680047011,dp
2025/04/09 10:58:55.779578370,dp
2025/04/09 10:58:55.879878032,dp
2025/04/09 10:58:55.980118144,dp
2025/04/09 10:58:56.80471115,dp
2025/04/09 10:58:56.180639866,dp
2025/04/09 10:58:56.281394564,dp
2025/04/09 10:58:56.381040203,dp
2025/04/09 10:58:56.481464336,dp
2025/04/09 10:58:56.582192767,dp
2025/04/09 10:58:56.683866678,dp
2025/04/09 10:58:56.782725986,dp
2025/04/09 10:58:56.883009004,dp
2025/04/09 10:58:56.983257653,dp
2025/04/09 10:58:57.84544976,dp
2025/04/09 10:58:57.184933334,dp
2025/04/09 10:58:57.285296589,dp
2025/04/09 10:58:57.385479144,dp
2025/04/09 10:58:57.486208360,dp
2025/04/09 10:58:57.586503582,dp
2025/04/09 10:58:57.688038139,dp
2025/04/09 10:58:57.788340812,dp
2025/04/09 10:58:57.889086808,dp
2025/04/09 10:58:57.989427446,dp
2025/04/09 10:58:58.89141649,dp
2025/04/09 10:58:58.189365227,dp
2025/04/09 10:58:58.290314178,dp
2025/04/09 10:58:58.389705665,dp
2025/04/09 10:58:58.490480310,dp
2025/04/09 10:58:58.590704133,dp
2025/04/09 10:58:58.691103366,dp
2025/04/09 10:58:58.791510673,dp
2025/04/09 10:58:58.891148802,dp
2025/04/09 10:58:58.991413230,dp
2025/04/09 10:58:59.91798951,dp
2025/04/09 10:58:59.192521088,dp
2025/04/09 10:58:59.292983348,dp
2025/04/09 10:58:59.393240064,dp
2025/04/09 10:58:59.493477429,dp
2025/04/09 10:58:59.594261087,dp
2025/04/09 10:58:59.694926286,dp
2025/04/09 10:58:59.794442258,dp
2025/04/09 10:58:59.895104479,dp
2025/04/09 10:58:59.994971059,dp
2025/04/09 10:59:00.95540925,dp
2025/04/09 10:59:00.196056553,dp
2025/04/09 10:59:00.296735470,dp
2025/04/09 10:59:00.397117654,dp
2025/04/09 10:59:00.497198993,dp
2025/04/09 10:59:00.597037417,dp
2025/04/09 10:59:00.697840984,dp
2025/04/09 10:59:00.798107535,dp
2025/04/09 10:59:00.900003636,dp
2025/04/09 10:59:00.998667865,dp
2025/04/09 10:59:01.99401424,dp
2025/04/09 10:59:01.199142735,dp
2025/04/09 10:59:01.299798391,dp
2025/04/09 10:59:01.399533650,dp
2025/04/09 10:59:01.499791302,dp
2025/04/09 10:59:01.599944606,dp
2025/04/09 10:59:01.700634743,dp
2025/04/09 10:59:01.800593249,dp
2025/04/09 10:59:01.900803640,dp
2025/04/09 10:59:02.1625539,dp
2025/04/09 10:59:02.102108199,dp
2025/04/09 10:59:02.203126095,dp
2025/04/09 10:59:02.304016765,dp
2025/04/09 10:59:02.407514626,dp
2025/04/09 10:59:02.510111685,dp
2025/04/09 10:59:02.609555341,dp
2025/04/09 10:59:02.709727319,dp
2025/04/09 10:59:02.810312397,dp
2025/04/09 10:59:02.910230875,dp
2025/04/09 10:59:03.11699275,dp
2025/04/09 10:59:03.111079669,dp
2025/04/09 10:59:03.211147223,dp
2025/04/09 10:59:03.311938000,dp
2025/04/09 10:59:03.411597141,dp
2025/04/09 10:59:03.511714863,dp
2025/04/09 10:59:03.612036505,dp
2025/04/09 10:59:03.713621561,dp
2025/04/09 10:59:03.813326518,dp
2025/04/09 10:59:03.913064764,dp
2025/04/09 10:59:04.14462475,dp
2025/04/09 10:59:04.113601613,dp
2025/04/09 10:59:04.216522954,dp
2025/04/09 10:59:04.314645313,dp
2025/04/09 10:59:04.415237137,dp
2025/04/09 10:59:04.516129509,dp
2025/04/09 10:59:04.616553121,dp
2025/04/09 10:59:04.717971148,dp
2025/04/09 10:59:04.817914731,dp
2025/04/09 10:59:04.920402354,dp
2025/04/09 10:59:05.20204296,dp
2025/04/09 10:59:05.120900467,dp
2025/04/09 10:59:05.221522692,dp
2025/04/09 10:59:05.322004778,dp
2025/04/09 10:59:05.423098950,dp
2025/04/09 10:59:05.523904341,dp
2025/04/09 10:59:05.624006380,dp
2025/04/09 10:59:05.724615826,dp
2025/04/09 10:59:05.824495038,dp
2025/04/09 10:59:05.924892004,dp
2025/04/09 10:59:06.25552559,dp
2025/04/09 10:59:06.125688439,dp
2025/04/09 10:59:06.226871890,dp
2025/04/09 10:59:06.327022905,dp
2025/04/09 10:59:06.427265106,dp
2025/04/09 10:59:06.527660360,dp
2025/04/09 10:59:06.627881807,dp
2025/04/09 10:59:06.728432519,dp
2025/04/09 10:59:06.828638505,dp
2025/04/09 10:59:06.928772489,dp
2025/04/09 10:59:07.29881190,dp
2025/04/09 10:59:07.131480484,dp
2025/04/09 10:59:07.231340274,dp
2025/04/09 10:59:07.331173243,dp
2025/04/09 10:59:07.431298236,dp
2025/04/09 10:59:07.532208783,dp
2025/04/09 10:59:07.632180294,dp
2025/04/09 10:59:07.732923329,dp
2025/04/09 10:59:07.833924029,dp
2025/04/09 10:59:07.934726589,dp
2025/04/09 10:59:08.34804460,dp
2025/04/09 10:59:08.136064572,dp
2025/04/09 10:59:08.240139274,dp
2025/04/09 10:59:08.338397076,dp
2025/04/09 10:59:08.438461346,dp
2025/04/09 10:59:08.541410432,dp
2025/04/09 10:59:08.643196490,dp
2025/04/09 10:59:08.744806054,dp
2025/04/09 10:59:08.845344450,dp
2025/04/09 10:59:08.946126083,dp
2025/04/09 10:59:09.46507770,dp
2025/04/09 10:59:09.146039189,dp
2025/04/09 10:59:09.246925441,dp
2025/04/09 10:59:09.347044791,dp
2025/04/09 10:59:09.448624318,dp
2025/04/09 10:59:09.550589844,dp
2025/04/09 10:59:09.650376176,dp
2025/04/09 10:59:09.751066790,dp
2025/04/09 10:59:09.852177235,dp
2025/04/09 10:59:09.953372243,dp
2025/04/09 10:59:10.52808841,dp
2025/04/09 10:59:10.152752355,dp
2025/04/09 10:59:10.254746998,dp
2025/04/09 10:59:10.353228841,dp
2025/04/09 10:59:10.453441329,dp
2025/04/09 10:59:10.554203967,dp
2025/04/09 10:59:10.657294905,dp
2025/04/09 10:59:10.756240631,dp
2025/04/09 10:59:10.863988014,dp
2025/04/09 10:59:10.965082752,dp
2025/04/09 10:59:11.64454203,dp
2025/04/09 10:59:11.164635052,dp
2025/04/09 10:59:11.268835036,dp
2025/04/09 10:59:11.372044515,dp
2025/04/09 10:59:11.471228157,dp
2025/04/09 10:59:11.571358195,dp
2025/04/09 10:59:11.672178546,dp
2025/04/09 10:59:11.771924956,dp
2025/04/09 10:59:11.873560583,dp
2025/04/09 10:59:11.973297639,dp
2025/04/09 10:59:12.72911836,dp
2025/04/09 10:59:12.173269342,dp
2025/04/09 10:59:12.273448531,dp
2025/04/09 10:59:12.373775019,dp
2025/04/09 10:59:12.474047092,dp
2025/04/09 10:59:12.574726078,dp
2025/04/09 10:59:12.675730313,dp
2025/04/09 10:59:12.775428726,dp
2025/04/09 10:59:12.875780118,dp
2025/04/09 10:59:12.976398137,dp
2025/04/09 10:59:13.76934049,dp
2025/04/09 10:59:13.179742201,dp
