time,transforms_0
2025/04/09 10:58:24.688139708,"{'header': {'stamp': {'secs': 1744189104, 'nsecs': 684550858}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -480.02694290074345, 'y': -300.02787072731934, 'z': 2.324688808860806}, 'rotation': {'x': -0.0032853639051201107, 'y': 0.0005709083721491212, 'z': -4.5585726784412714e-05, 'w': 0.9999944391693303}}}"
2025/04/09 10:58:24.748398874,"{'header': {'stamp': {'secs': 1744189104, 'nsecs': 415201866}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -480.0283861778412, 'y': -299.93652910521416, 'z': 2.362927269120487}, 'rotation': {'x': 0.028222040994676154, 'y': 0.0011862306566305216, 'z': -0.00040568680918295495, 'w': 0.9996008926952482}}}"
2025/04/09 10:58:24.748734128,"{'header': {'stamp': {'secs': 1744189103, 'nsecs': 888516199}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -480.0300906761384, 'y': -299.9411323961339, 'z': 2.358094060556676}, 'rotation': {'x': -0.0032290573120614015, 'y': 0.00038244924319676637, 'z': -0.00045105257417557294, 'w': 0.9999946117219969}}}"
2025/04/09 10:58:24.748973662,"{'header': {'stamp': {'secs': 1744189104, 'nsecs': 260258931}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -480.03015180348166, 'y': -299.90950913618633, 'z': 2.372439372820973}, 'rotation': {'x': -0.003218332628966656, 'y': 0.0013666876127385065, 'z': -0.0004465177868618652, 'w': 0.9999937875416649}}}"
2025/04/09 10:58:24.749805742,"{'header': {'stamp': {'secs': 1744189104, 'nsecs': 150149013}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -480.03016761148064, 'y': -299.9405644789619, 'z': 2.3596047584270505}, 'rotation': {'x': -0.0297863497405578, 'y': 0.00041080753029286296, 'z': -0.00043871640173237823, 'w': 0.9995561075468576}}}"
2025/04/09 10:58:24.760257301,"{'header': {'stamp': {'secs': 1744189104, 'nsecs': 756765934}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -480.02726408446694, 'y': -300.02978669424965, 'z': 2.3248823045226583}, 'rotation': {'x': 0.0017412874251479932, 'y': 9.397482647404839e-06, 'z': -4.730738697575825e-05, 'w': 0.9999984827947498}}}"
2025/04/09 10:58:24.897077225,"{'header': {'stamp': {'secs': 1744189104, 'nsecs': 895363442}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -480.0286151222505, 'y': -300.0372713089864, 'z': 2.3224389754032253}, 'rotation': {'x': -0.0031002382661392577, 'y': 1.771610153163292e-05, 'z': 0.00019292591250622936, 'w': 0.9999951754825747}}}"
2025/04/09 10:58:24.970888895,"{'header': {'stamp': {'secs': 1744189104, 'nsecs': 967248058}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -480.02945534285914, 'y': -300.03243399432176, 'z': 2.3248181790821887}, 'rotation': {'x': 0.0016300352895604932, 'y': -0.0005286467229990113, 'z': 0.00033114019137492573, 'w': 0.9999984769307255}}}"
2025/04/09 10:58:25.111266361,"{'header': {'stamp': {'secs': 1744189105, 'nsecs': 106305768}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -480.0310074581027, 'y': -300.03792232442316, 'z': 2.3227808972159276}, 'rotation': {'x': -0.029814430635605543, 'y': 0.0005801816772299227, 'z': -8.41315601385754e-05, 'w': 0.9995552791301623}}}"
2025/04/09 10:58:25.252154005,"{'header': {'stamp': {'secs': 1744189105, 'nsecs': 244316243}, 'frame_id': 'piren'}, 'child_frame_id': 'vessel_center', 'transform': {'translation': {'x': -480.0305235103559, 'y': -299.9846406918232, 'z': 2.3432688893074753}, 'rotation': {'x': 0.02818900337792455, 'y': 0.0005620555914087453, 'z': -0.0002158615464527914, 'w': 0.9996024297618851}}}"
