time,throttle_reference,angle_reference
2025/05/19 02:27:16.751909272,4,-45
2025/05/19 02:27:16.853122739,4,-45
2025/05/19 02:27:16.952038512,4,-45
2025/05/19 02:27:17.53251012,4,-45
2025/05/19 02:27:17.153038767,4,-45
2025/05/19 02:27:17.258798762,4,-45
2025/05/19 02:27:17.358334017,4,-45
2025/05/19 02:27:17.453087695,4,-45
2025/05/19 02:27:17.552575533,4,-45
2025/05/19 02:27:17.651867477,4,-45
2025/05/19 02:27:17.751898666,4,-45
2025/05/19 02:27:17.855008005,4,-45
2025/05/19 02:27:17.953641695,4,-45
2025/05/19 02:27:18.55901982,4,-45
2025/05/19 02:27:18.155179328,4,-45
2025/05/19 02:27:18.255866219,4,-45
2025/05/19 02:27:18.362560973,4,-45
2025/05/19 02:27:18.453975769,4,-45
2025/05/19 02:27:18.574379008,4,-45
2025/05/19 02:27:18.655328803,4,-45
2025/05/19 02:27:18.752534508,4,-45
2025/05/19 02:27:18.855836925,4,-45
2025/05/19 02:27:18.961093271,4,-45
2025/05/19 02:27:19.54238540,4,-45
2025/05/19 02:27:19.179130247,13,-86
2025/05/19 02:27:19.256093038,34,-88
2025/05/19 02:27:19.372765395,34,-88
2025/05/19 02:27:19.459060710,34,-88
2025/05/19 02:27:19.574750004,34,-88
2025/05/19 02:27:19.655653345,34,-88
2025/05/19 02:27:19.755704480,34,-88
2025/05/19 02:27:19.854264717,34,-88
2025/05/19 02:27:19.952963886,34,-88
2025/05/19 02:27:20.69152877,34,-88
2025/05/19 02:27:20.157131107,18,-87
2025/05/19 02:27:20.260901574,9,-86
2025/05/19 02:27:20.354598128,9,-86
2025/05/19 02:27:20.460140715,17,-86
2025/05/19 02:27:20.554119942,60,-88
2025/05/19 02:27:20.655388695,65,-88
2025/05/19 02:27:20.861808530,65,-88
2025/05/19 02:27:20.885740922,65,-88
2025/05/19 02:27:20.954451538,65,-88
2025/05/19 02:27:21.76101887,65,-88
2025/05/19 02:27:21.183302083,65,-88
2025/05/19 02:27:21.267783560,65,-88
2025/05/19 02:27:21.365845524,65,-88
2025/05/19 02:27:21.493211465,65,-88
2025/05/19 02:27:21.571659561,52,-88
2025/05/19 02:27:21.661272904,52,-88
2025/05/19 02:27:21.781566656,52,-88
2025/05/19 02:27:21.856574241,52,-88
2025/05/19 02:27:21.953910484,52,-88
2025/05/19 02:27:22.58911353,52,-88
2025/05/19 02:27:22.187029521,52,-88
2025/05/19 02:27:22.255776999,52,-88
2025/05/19 02:27:22.358339489,52,-88
2025/05/19 02:27:22.454739489,52,-88
2025/05/19 02:27:22.552501305,19,-87
2025/05/19 02:27:22.654624484,19,-87
2025/05/19 02:27:22.752976413,19,-87
2025/05/19 02:27:22.852854920,19,-87
2025/05/19 02:27:22.954992974,19,-87
2025/05/19 02:27:23.56640766,19,-87
2025/05/19 02:27:23.152541102,19,-87
2025/05/19 02:27:23.253132212,35,-14
2025/05/19 02:27:23.352762219,87,-8
2025/05/19 02:27:23.458287410,157,-19
2025/05/19 02:27:23.553190186,304,-16
2025/05/19 02:27:23.652443019,310,-14
2025/05/19 02:27:23.754170489,274,-13
2025/05/19 02:27:23.855973009,250,-12
2025/05/19 02:27:23.954471173,252,-12
2025/05/19 02:27:24.54687025,253,-12
2025/05/19 02:27:24.152442948,255,-11
2025/05/19 02:27:24.252750998,257,-11
2025/05/19 02:27:24.352681867,259,-11
2025/05/19 02:27:24.453314976,258,-6
2025/05/19 02:27:24.552402153,261,-6
2025/05/19 02:27:24.653543405,264,-6
2025/05/19 02:27:24.753052572,267,-6
2025/05/19 02:27:24.854978832,270,-6
2025/05/19 02:27:24.953270742,273,-6
2025/05/19 02:27:25.53150666,277,-5
2025/05/19 02:27:25.152739552,280,-5
2025/05/19 02:27:25.252762451,284,-5
2025/05/19 02:27:25.352456816,288,-5
2025/05/19 02:27:25.453104628,293,-5
2025/05/19 02:27:25.552508431,295,0
2025/05/19 02:27:25.653536023,300,0
2025/05/19 02:27:25.754464244,305,0
2025/05/19 02:27:25.852097851,310,0
2025/05/19 02:27:25.952192892,315,0
2025/05/19 02:27:26.52567951,320,0
2025/05/19 02:27:26.152305409,325,0
2025/05/19 02:27:26.252684916,331,0
