time,throttle_reference,angle_reference
2025/05/20 13:01:59.969636452,4,-135
2025/05/20 13:02:00.68058801,4,-135
2025/05/20 13:02:00.172023721,4,-135
2025/05/20 13:02:00.268495001,4,-135
2025/05/20 13:02:00.388383350,4,-135
2025/05/20 13:02:00.528711851,4,-135
2025/05/20 13:02:00.590993302,4,-135
2025/05/20 13:02:00.673227649,4,-135
2025/05/20 13:02:00.775619583,4,-135
2025/05/20 13:02:00.879262299,4,-135
2025/05/20 13:02:01.39729443,4,-135
2025/05/20 13:02:01.124034160,4,-135
2025/05/20 13:02:01.233966545,4,-135
2025/05/20 13:02:01.338402757,4,-135
2025/05/20 13:02:01.435367103,4,-135
2025/05/20 13:02:01.532416638,4,-135
2025/05/20 13:02:01.621906189,4,-135
2025/05/20 13:02:01.784806849,4,-135
2025/05/20 13:02:01.855658460,4,-135
2025/05/20 13:02:01.891029990,4,-135
2025/05/20 13:02:01.979374012,4,-135
2025/05/20 13:02:02.78011686,4,-135
2025/05/20 13:02:02.172138496,4,-135
2025/05/20 13:02:02.290465090,4,-135
2025/05/20 13:02:02.409388260,4,-135
2025/05/20 13:02:02.469744983,4,-135
2025/05/20 13:02:02.573749054,4,-135
2025/05/20 13:02:02.670583872,4,-135
2025/05/20 13:02:02.771543029,4,-135
2025/05/20 13:02:02.875929135,4,-135
2025/05/20 13:02:02.980318711,4,-135
2025/05/20 13:02:03.76333077,35,-104
2025/05/20 13:02:03.172693750,35,-104
2025/05/20 13:02:03.277408046,35,-104
2025/05/20 13:02:03.370068916,35,-104
2025/05/20 13:02:03.478406660,35,-104
2025/05/20 13:02:03.572663113,35,-104
2025/05/20 13:02:03.669130092,35,-104
2025/05/20 13:02:03.770030138,35,-104
2025/05/20 13:02:03.869147353,35,-104
2025/05/20 13:02:03.968168919,35,-104
2025/05/20 13:02:04.68855646,19,-104
2025/05/20 13:02:04.168209343,19,-104
2025/05/20 13:02:04.268025484,19,-104
2025/05/20 13:02:04.367783816,19,-104
2025/05/20 13:02:04.468166143,9,-104
2025/05/20 13:02:04.568683129,9,-104
2025/05/20 13:02:04.668037802,9,-104
2025/05/20 13:02:04.770080370,9,-104
2025/05/20 13:02:04.867986641,9,-104
2025/05/20 13:02:04.968178830,9,-104
2025/05/20 13:02:05.67925819,9,-104
2025/05/20 13:02:05.168054844,9,-104
2025/05/20 13:02:05.268054890,9,-104
2025/05/20 13:02:05.367723837,63,-104
2025/05/20 13:02:05.469440916,67,-104
2025/05/20 13:02:05.568076283,67,-104
2025/05/20 13:02:05.667885568,67,-104
2025/05/20 13:02:05.769093512,67,-104
2025/05/20 13:02:05.867858068,67,-104
2025/05/20 13:02:05.968877814,67,-104
2025/05/20 13:02:06.69418409,67,-104
2025/05/20 13:02:06.170850262,67,-104
2025/05/20 13:02:06.268171988,67,-104
2025/05/20 13:02:06.368064904,67,-104
2025/05/20 13:02:06.467981400,54,-104
2025/05/20 13:02:06.568860693,54,-104
2025/05/20 13:02:06.667935868,54,-104
2025/05/20 13:02:06.767933790,54,-104
2025/05/20 13:02:06.868316085,54,-104
2025/05/20 13:02:06.968072525,54,-104
2025/05/20 13:02:07.68826252,54,-104
2025/05/20 13:02:07.169426306,54,-104
2025/05/20 13:02:07.269111779,54,-104
2025/05/20 13:02:07.368317204,54,-104
2025/05/20 13:02:07.467891826,19,-104
2025/05/20 13:02:07.567924653,19,-104
2025/05/20 13:02:07.669779549,19,-104
2025/05/20 13:02:07.768037844,19,-104
2025/05/20 13:02:07.868366475,19,-104
2025/05/20 13:02:07.967873912,19,-104
2025/05/20 13:02:08.67814409,19,-104
2025/05/20 13:02:08.170691364,4,-135
2025/05/20 13:02:08.267803150,4,-135
2025/05/20 13:02:08.368021470,39,-104
2025/05/20 13:02:08.468632720,45,-104
2025/05/20 13:02:08.567965251,45,-104
2025/05/20 13:02:08.668223064,45,-104
2025/05/20 13:02:08.767739097,45,-104
2025/05/20 13:02:08.867798058,45,-104
2025/05/20 13:02:08.969080150,45,-104
2025/05/20 13:02:09.68002910,45,-104
2025/05/20 13:02:09.170280520,44,-104
2025/05/20 13:02:09.267960716,44,-104
2025/05/20 13:02:09.368767319,21,-104
2025/05/20 13:02:09.468150908,19,-104
2025/05/20 13:02:09.567778648,19,-104
2025/05/20 13:02:09.667832908,19,-104
2025/05/20 13:02:09.770037317,18,-104
2025/05/20 13:02:09.869054272,18,-104
2025/05/20 13:02:09.968512103,18,-104
2025/05/20 13:02:10.68253160,17,-104
2025/05/20 13:02:10.168855225,17,-104
2025/05/20 13:02:10.268576757,17,-104
2025/05/20 13:02:10.367935262,16,-104
2025/05/20 13:02:10.469041634,4,-135
2025/05/20 13:02:10.568935178,4,-135
2025/05/20 13:02:10.668097910,4,-135
2025/05/20 13:02:10.768771747,4,-135
2025/05/20 13:02:10.867899157,4,-135
2025/05/20 13:02:10.967922759,4,-135
2025/05/20 13:02:11.70406252,4,-135
2025/05/20 13:02:11.168747340,4,-135
2025/05/20 13:02:11.268198487,4,-135
2025/05/20 13:02:11.372088377,4,-135
2025/05/20 13:02:11.467821317,4,-135
2025/05/20 13:02:11.568011202,4,-135
2025/05/20 13:02:11.667913506,4,-135
2025/05/20 13:02:11.771047134,4,-135
2025/05/20 13:02:11.867978361,4,-135
2025/05/20 13:02:11.968554810,4,-135
2025/05/20 13:02:12.68248250,4,-135
2025/05/20 13:02:12.168089976,4,-135
2025/05/20 13:02:12.269221054,4,-135
2025/05/20 13:02:12.368801303,4,-135
2025/05/20 13:02:12.469135895,4,-135
2025/05/20 13:02:12.569248137,4,-135
2025/05/20 13:02:12.667819591,4,-135
