time,transforms_0
2025/05/20 13:02:00.188196862,"{'header': {'stamp': {'secs': 1747738920, 'nsecs': 176904265}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 25.534166787523212, 'y': 19.75241512854387, 'z': 0.433687304572112}, 'rotation': {'x': -1.6228965911413283e-05, 'y': -0.00040238228040440137, 'z': 0.9984817088386655, 'w': 0.05508280076157612}}}"
2025/05/20 13:02:00.280054577,"{'header': {'stamp': {'secs': 1747738920, 'nsecs': 276066401}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 25.53422314724092, 'y': 19.75239303668081, 'z': 0.43368708893462604}, 'rotation': {'x': -2.4427766218076998e-05, 'y': -0.00040289417611578867, 'z': 0.9984817286060962, 'w': 0.05508243567008645}}}"
2025/05/20 13:02:00.388430351,"{'header': {'stamp': {'secs': 1747738920, 'nsecs': 375249398}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 25.534165931896407, 'y': 19.752384847264185, 'z': 0.43368698557970486}, 'rotation': {'x': -1.7026568048386442e-05, 'y': -0.00040358048856171675, 'z': 0.9984817485589331, 'w': 0.05508207174372464}}}"
2025/05/20 13:02:00.541477147,"{'header': {'stamp': {'secs': 1747738920, 'nsecs': 478931667}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 25.53422123781529, 'y': 19.752365395141986, 'z': 0.433687068274362}, 'rotation': {'x': -2.5629686453653108e-05, 'y': -0.00040277900898505985, 'z': 0.9984817679684344, 'w': 0.05508172243874218}}}"
2025/05/20 13:02:00.595372035,"{'header': {'stamp': {'secs': 1747738920, 'nsecs': 584270343}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 25.534162729234026, 'y': 19.752359679237554, 'z': 0.433687250952758}, 'rotation': {'x': -1.8325715644218285e-05, 'y': -0.0004022574402886171, 'z': 0.9984817875787706, 'w': 0.05508137368133196}}}"
2025/05/20 13:02:00.690760627,"{'header': {'stamp': {'secs': 1747738920, 'nsecs': 680029848}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 25.53421887065008, 'y': 19.752341947767604, 'z': 0.4336875803635696}, 'rotation': {'x': -2.7048883486093687e-05, 'y': -0.0004006139589825367, 'z': 0.9984818064998899, 'w': 0.05508103907453315}}}"
2025/05/20 13:02:00.788385957,"{'header': {'stamp': {'secs': 1747738920, 'nsecs': 772676181}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 25.53416215528428, 'y': 19.752337171752618, 'z': 0.4336879085968512}, 'rotation': {'x': -1.9741898914619728e-05, 'y': -0.00039977156238553305, 'z': 0.9984818254692618, 'w': 0.055080704430191293}}}"
2025/05/20 13:02:00.890482779,"{'header': {'stamp': {'secs': 1747738920, 'nsecs': 874037422}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 25.534218590401263, 'y': 19.752319794540107, 'z': 0.43368820473211006}, 'rotation': {'x': -2.7993497937821365e-05, 'y': -0.0003984317634855868, 'z': 0.9984818435182398, 'w': 0.055080383376584774}}}"
2025/05/20 13:02:01.75779902,"{'header': {'stamp': {'secs': 1747738920, 'nsecs': 976512615}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 25.534162038643853, 'y': 19.752314765323554, 'z': 0.4336883227878138}, 'rotation': {'x': -2.0003453088576814e-05, 'y': -0.00039841560045776966, 'z': 0.9984818614339495, 'w': 0.05508006220282326}}}"
2025/05/20 13:02:01.133575114,"{'header': {'stamp': {'secs': 1747738921, 'nsecs': 74722263}, 'frame_id': 'world_ned'}, 'child_frame_id': 'base_link', 'transform': {'translation': {'x': 25.534219053629904, 'y': 19.752296762139327, 'z': 0.4336883366907582}, 'rotation': {'x': -2.757927031762889e-05, 'y': -0.00039818314837535365, 'z': 0.9984818783206665, 'w': 0.055079754491084404}}}"
